Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,42.69,0.2172,0.4482,0.0,1.0997,74.5,0.2155,0.639,0.0,17.76,2.7191,74.6,0.4318,13.8,0.1175,31.810000000000002,-0.001700000000000007,Cascade,Joint
LSTM,39.79,0.236,0.4741,0.0,0.48,43.65,0.1692,0.5022,0.0,0.81,1.3982,57.48,0.534,0.99,0.0065,3.8599999999999994,-0.0668,Cascade,Joint
LightGBM,73.96,0.2126,0.6289,0.0,0.1426,74.75,0.2139,0.6394,0.0,,0.6565,74.75,0.4277,78.92,0.2941,0.7900000000000063,0.0012999999999999956,Cascade,Cascade
MAMBA,34.37,0.2188,0.4318,0.1689,0.3704,64.49,0.2506,0.6231,0.0622,36.98,1.1785,68.08,0.5296,30.91,0.2361,30.119999999999997,0.031799999999999995,Cascade,Cascade
MiniRocket,74.74,0.2139,0.6394,0.0,,74.78,0.2183,0.6404,0.0,100.0,0.5424,74.78,0.4296,80.89,0.3702,0.04000000000000625,0.004399999999999987,Cascade,Cascade
TRANSFORMER,34.97,0.2024,0.4423,0.1032,0.1866,44.97,0.2422,0.5308,0.1865,30.24,0.9056,56.06,0.5331,27.47,0.2219,10.0,0.0398,Cascade,Cascade
