model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,33,23,0.0144,0.0223,0.9979,0.9893,94780.0,0.723114013671875,42.2777,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LSTM,Stage1,cascade,23,13,0.0144,0.0215,0.9955,0.9936,94646.0,0.7220916748046875,29.3953,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LSTM,Stage2,cascade,65,32,0.0,0.0002,1.0,1.0,94713.0,0.7226028442382812,83.1668,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MAMBA,Joint,joint,19,9,0.0963,0.1093,0.9409,0.9375,25018.0,0.1908721923828125,69.476,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MAMBA,Stage1,cascade,24,14,0.0195,0.028,0.9951,0.9949,24664.0,0.18817138671875,87.294,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MAMBA,Stage2,cascade,23,13,0.1218,0.1723,0.9501,0.9477,24841.0,0.18952178955078125,84.7885,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
TRANSFORMER,Joint,joint,26,16,0.0142,0.0234,0.9979,0.9979,404956.0,3.089569091796875,34.1106,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
TRANSFORMER,Stage1,cascade,13,3,0.0133,0.0169,0.9955,0.9955,404778.0,3.0882110595703125,16.7366,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
TRANSFORMER,Stage2,cascade,40,23,0.0,0.0,1.0,1.0,404867.0,3.0888900756835938,52.3855,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
CNN,Joint,joint,17,7,0.0817,0.1028,0.9414,0.9414,473668.0,3.613800048828125,61.0593,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
CNN,Stage1,cascade,14,4,0.0131,0.0179,0.9955,0.9893,473410.0,3.6118316650390625,50.8639,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
CNN,Stage2,cascade,19,9,0.1125,0.1712,0.9522,0.9449,473539.0,3.6128158569335938,68.9736,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LightGBM,Joint,joint,0,-1,,,,,,0.3979759216308594,0.3958,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.2034912109375,0.2331,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.30100154876708984,0.1639,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0486,,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0672,1.9957,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
