model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,23,13,0.4734,0.519,0.7911,0.78,50500.0,0.385284423828125,23.8227,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LSTM,Stage1,cascade,41,31,0.3368,0.3566,0.7035,0.6857,50402.0,0.3845367431640625,42.5608,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LSTM,Stage2,cascade,49,39,0.2007,0.2375,0.9214,0.9102,50451.0,0.38491058349609375,50.3561,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Joint,joint,49,39,0.7324,0.7818,0.5781,0.5622,17044.0,0.130035400390625,197.2587,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Stage1,cascade,31,21,0.4837,0.4852,0.5522,0.543,16786.0,0.1280670166015625,118.0451,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Stage2,cascade,29,19,0.6658,0.7052,0.6768,0.6768,16915.0,0.12905120849609375,112.9901,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Joint,joint,56,46,0.33,0.3568,0.8095,0.7976,288196.0,2.198760986328125,74.3644,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Stage1,cascade,13,3,0.6019,0.6052,0.4933,0.492,288066.0,2.1977691650390625,16.5336,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Stage2,cascade,19,9,0.1598,0.1881,0.934,0.9028,288131.0,2.1982650756835938,25.1094,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Joint,joint,26,16,0.4532,0.4751,0.8008,0.7885,473092.0,3.609405517578125,94.2208,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Stage1,cascade,27,17,0.3221,0.3416,0.7103,0.7098,472834.0,3.6074371337890625,98.1519,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Stage2,cascade,27,17,0.1565,0.1872,0.9304,0.9205,472963.0,3.6084213256835938,98.5881,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Joint,joint,0,-1,,,,,,0.4025115966796875,0.3191,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20366477966308594,0.179,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.30349159240722656,0.1554,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0857,,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0485,,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0671,2.0102,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed2.log
