Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,0.4356,0.8841,0.977,0.9271,0.085
LSTM,Joint,2,0.0507,0.9857,0.9924,0.989,0.0372
LSTM,Joint,3,0.0338,0.9836,0.9903,0.9869,0.0404
LSTM,Joint,4,0.0302,0.9885,0.9924,0.9904,0.0307
LSTM,Joint,5,0.0252,0.9936,0.9927,0.9931,0.0308
LSTM,Joint,6,0.0374,0.9911,0.9922,0.9915,0.0316
LSTM,Joint,7,0.0276,0.9928,0.9924,0.9925,0.0295
LSTM,Joint,8,0.0275,0.9935,0.9926,0.993,0.027
LSTM,Joint,9,0.0216,0.9934,0.9927,0.993,0.0257
LSTM,Joint,10,0.0195,0.993,0.9928,0.9929,0.027
LSTM,Joint,11,0.024,0.9931,0.9924,0.9927,0.0267
LSTM,Joint,12,0.0207,0.9948,0.9927,0.9937,0.0374
LSTM,Joint,13,0.0178,0.9974,0.9929,0.9951,0.0256
LSTM,Joint,14,0.0187,0.9864,0.9906,0.9885,0.0324
LSTM,Joint,15,0.0193,0.9953,0.9929,0.994,0.0249
LSTM,Joint,16,0.0168,0.991,0.9918,0.9914,0.0244
LSTM,Joint,17,0.0185,0.9918,0.9658,0.9783,0.0543
LSTM,Joint,18,0.0177,0.9938,0.9926,0.9932,0.024
LSTM,Joint,19,0.0152,0.9977,0.9929,0.9953,0.0227
LSTM,Joint,20,0.0119,0.9979,0.9927,0.9953,0.0237
LSTM,Joint,21,0.0145,0.9894,0.9917,0.9905,0.0318
LSTM,Joint,22,0.0165,0.9965,0.9956,0.996,0.0239
LSTM,Joint,23,0.0166,0.9966,0.9929,0.9948,0.018
LSTM,Joint,24,0.0125,0.9923,0.9965,0.9944,0.0308
LSTM,Joint,25,0.0115,0.9931,0.9962,0.9946,0.0215
LSTM,Joint,26,0.0096,0.9994,0.9947,0.9971,0.0196
LSTM,Joint,27,0.0086,0.998,0.995,0.9965,0.021
LSTM,Joint,28,0.0102,0.9972,0.9942,0.9957,0.0213
LSTM,Joint,29,0.0089,0.9992,0.9943,0.9968,0.0235
LSTM,Joint,30,0.0078,0.9985,0.9946,0.9965,0.025
LSTM,Joint,31,0.0073,0.9959,0.9957,0.9958,0.0223
LSTM,Joint,32,0.0071,0.9982,0.9947,0.9964,0.0246
LSTM,Joint,33,0.007,0.9967,0.9944,0.9955,0.0273
LSTM,Stage1,1,0.1463,0.986,0.9838,0.9849,0.0332
LSTM,Stage1,2,0.0444,0.9984,0.9837,0.991,0.0403
LSTM,Stage1,3,0.0372,0.9999,0.9838,0.9918,0.0273
LSTM,Stage1,4,0.0337,0.9999,0.9838,0.9918,0.0275
LSTM,Stage1,5,0.0327,0.9999,0.9838,0.9918,0.0269
LSTM,Stage1,6,0.0297,1.0,0.9838,0.9918,0.0283
LSTM,Stage1,7,0.0302,0.9999,0.9838,0.9918,0.0281
LSTM,Stage1,8,0.0288,1.0,0.9838,0.9918,0.0253
LSTM,Stage1,9,0.03,1.0,0.9838,0.9918,0.0364
LSTM,Stage1,10,0.0264,1.0,0.9838,0.9918,0.0243
LSTM,Stage1,11,0.0269,1.0,0.9838,0.9918,0.0236
LSTM,Stage1,12,0.0252,1.0,0.9838,0.9918,0.0291
LSTM,Stage1,13,0.0246,1.0,0.9838,0.9918,0.0251
LSTM,Stage1,14,0.023,1.0,0.9838,0.9918,0.0223
LSTM,Stage1,15,0.0233,0.9987,0.9845,0.9916,0.0255
LSTM,Stage1,16,0.0208,1.0,0.9838,0.9918,0.0293
LSTM,Stage1,17,0.0214,0.9997,0.9848,0.9922,0.0335
LSTM,Stage1,18,0.021,0.9953,0.9877,0.9915,0.0261
LSTM,Stage1,19,0.0175,0.9918,0.9872,0.9895,0.0259
LSTM,Stage1,20,0.0192,0.9991,0.9876,0.9933,0.0265
LSTM,Stage1,21,0.016,0.9996,0.9853,0.9924,0.0224
LSTM,Stage1,22,0.0143,0.9999,0.9879,0.9938,0.0219
LSTM,Stage1,23,0.0117,0.9994,0.9854,0.9924,0.025
LSTM,Stage1,24,0.0126,0.9994,0.9876,0.9935,0.0248
LSTM,Stage1,25,0.0126,0.996,0.9894,0.9927,0.0272
LSTM,Stage1,26,0.0119,0.9985,0.9866,0.9925,0.0256
LSTM,Stage1,27,0.011,0.9981,0.9882,0.9931,0.0245
LSTM,Stage1,28,0.0099,0.9924,0.9895,0.9909,0.0302
LSTM,Stage1,29,0.0092,0.9928,0.9891,0.9909,0.029
LSTM,Stage1,30,0.0075,0.9956,0.9873,0.9914,0.0291
LSTM,Stage1,31,0.0074,0.9948,0.9854,0.9901,0.0311
LSTM,Stage1,32,0.0069,0.9947,0.9863,0.9905,0.0319
LSTM,Stage2,1,0.3179,0.9217,0.9902,0.952,0.0453
LSTM,Stage2,2,0.0369,0.9363,0.9957,0.9631,0.0203
LSTM,Stage2,3,0.0204,0.9421,0.9941,0.9657,0.0313
LSTM,Stage2,4,0.0136,0.9483,0.9967,0.9706,0.0089
LSTM,Stage2,5,0.0157,0.9668,0.9965,0.9809,0.0178
LSTM,Stage2,6,0.0082,0.9964,0.9991,0.9978,0.006
LSTM,Stage2,7,0.0102,0.9961,0.9988,0.9975,0.0062
LSTM,Stage2,8,0.0064,0.9964,0.9991,0.9978,0.0051
LSTM,Stage2,9,0.0074,0.9909,0.9649,0.9769,0.1828
LSTM,Stage2,10,0.016,0.9969,0.9992,0.9981,0.0036
LSTM,Stage2,11,0.0031,0.9964,0.9991,0.9978,0.0041
LSTM,Stage2,12,0.0016,0.9979,0.9992,0.9986,0.003
LSTM,Stage2,13,0.0245,0.9922,0.9983,0.9953,0.0079
LSTM,Stage2,14,0.0048,0.9964,0.9991,0.9978,0.0045
LSTM,Stage2,15,0.0074,0.9959,0.9976,0.9967,0.0057
LSTM,Stage2,16,0.0029,0.9972,0.9993,0.9982,0.0035
LSTM,Stage2,17,0.0025,0.9969,0.9992,0.9981,0.0033
LSTM,Stage2,18,0.0041,0.9954,0.9989,0.9971,0.005
LSTM,Stage2,19,0.0039,0.9967,0.9992,0.9979,0.0028
LSTM,Stage2,20,0.002,0.9975,0.9994,0.9984,0.0021
LSTM,Stage2,21,0.0013,0.9984,0.9994,0.9989,0.0026
LSTM,Stage2,22,0.001,0.9984,0.9994,0.9989,0.0017
LSTM,Stage2,23,0.0006,0.998,0.9995,0.9987,0.0013
LSTM,Stage2,24,0.0006,0.9982,0.9996,0.9989,0.0012
LSTM,Stage2,25,0.0004,0.9994,0.9996,0.9995,0.0015
LSTM,Stage2,26,0.0004,0.9992,0.9996,0.9994,0.0011
LSTM,Stage2,27,0.0013,0.9984,0.9994,0.9989,0.0017
LSTM,Stage2,28,0.0006,0.9985,0.9996,0.999,0.001
LSTM,Stage2,29,0.0003,0.9995,0.9999,0.9997,0.0008
