Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,99.1,0.9896,0.991,0.9555,1.0028,99.17,0.992,0.9916,0.9584,99.78,2.6007,99.23,0.9898,99.78,0.9977,0.07000000000000739,0.0023999999999999577,Cascade,Cascade
LSTM,99.11,0.9923,0.9911,0.9599,0.1958,99.23,0.9924,0.9922,0.962,99.93,0.854,99.24,0.99,99.93,0.998,0.12000000000000455,9.999999999998899e-05,Cascade,Cascade
LightGBM,99.16,0.9928,0.9915,0.9608,0.0642,97.51,0.9596,0.9746,0.8756,100.0,0.5956,97.51,0.9663,100.0,1.0,-1.6499999999999915,-0.03320000000000001,Joint,Joint
MAMBA,98.84,0.9876,0.9883,0.9646,0.2561,98.68,0.9839,0.9867,0.9599,99.48,0.9169,98.81,0.9843,99.4,0.9897,-0.1599999999999966,-0.0037000000000000366,Joint,Joint
MiniRocket,99.0,0.9871,0.99,0.9569,,99.15,0.9906,0.9915,0.9607,99.91,0.5529,99.17,0.9891,99.91,0.9969,0.15000000000000568,0.0035000000000000586,Cascade,Cascade
TRANSFORMER,99.39,0.9946,0.9939,0.979,0.0937,99.22,0.9936,0.9922,0.961,99.99,0.6215,99.23,0.9898,99.99,0.9998,-0.1700000000000017,-0.0010000000000000009,Joint,Joint
