Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,97.54,0.981,0.9758,0.9851,1.131,98.0,0.9845,0.9803,0.9857,100.0,2.6282,98.0,0.9741,100.0,1.0,0.45999999999999375,0.0035000000000000586,Cascade,Cascade
LSTM,96.86,0.9745,0.9693,0.9935,0.5338,97.16,0.9765,0.9721,0.9816,100.0,1.4724,97.16,0.9635,100.0,1.0,0.29999999999999716,0.0020000000000000018,Cascade,Cascade
LightGBM,90.41,0.797,0.8958,0.5857,0.1615,90.39,0.7807,0.8944,0.4311,98.74,0.6735,90.6,0.8599,99.17,0.831,-0.01999999999999602,-0.016300000000000092,Joint,Joint
MAMBA,96.84,0.9737,0.9689,0.9658,0.5915,96.93,0.9739,0.9698,0.9648,99.98,1.6016,96.94,0.9603,99.98,0.9998,0.09000000000000341,0.00019999999999997797,Cascade,Cascade
MiniRocket,90.02,0.7748,0.8911,0.4533,,89.96,0.7756,0.8906,0.4622,98.63,0.5751,90.19,0.8549,99.07,0.8242,-0.060000000000002274,0.0007999999999999119,Joint,Cascade
TRANSFORMER,96.94,0.9766,0.97,0.9858,0.2269,96.91,0.9747,0.9697,0.9833,100.0,0.8595,96.91,0.9603,100.0,1.0,-0.030000000000001137,-0.0019000000000000128,Joint,Joint
