Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,99.58,0.9956,0.9958,0.978,0.3128,99.6,0.9965,0.996,0.978,100.0,1.0255,99.6,0.9947,100.0,1.0,0.01999999999999602,0.0009000000000000119,Cascade,Cascade
LSTM,99.6,0.9965,0.996,0.978,0.0991,99.59,0.996,0.9959,0.978,100.0,0.6818,99.59,0.9946,100.0,1.0,-0.009999999999990905,-0.000500000000000056,Joint,Joint
LightGBM,99.57,0.9965,0.9957,0.9778,0.0178,90.41,0.8094,0.8959,0.5822,100.0,0.4371,90.41,0.854,100.0,1.0,-9.159999999999997,-0.18710000000000004,Joint,Joint
MAMBA,99.28,0.9885,0.9928,0.9749,0.2079,99.41,0.9881,0.9941,0.9743,99.47,0.8293,99.54,0.994,99.48,0.9894,0.12999999999999545,-0.00040000000000006697,Cascade,Joint
MiniRocket,99.5,0.9941,0.995,0.9743,,99.5,0.9939,0.995,0.9731,99.73,0.4351,99.57,0.9943,99.7,0.9966,0.0,-0.00019999999999997797,Tie,Joint
TRANSFORMER,99.59,0.9957,0.9959,0.978,0.0697,99.6,0.9965,0.996,0.978,100.0,0.5548,99.6,0.9947,100.0,1.0,0.009999999999990905,0.0008000000000000229,Cascade,Cascade
