Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,98.28,0.977,0.9829,0.9771,1.1093,96.63,0.906,0.9667,0.8356,99.32,2.6256,96.8,0.9581,99.23,0.9789,-1.6500000000000057,-0.07099999999999995,Joint,Joint
LSTM,96.67,0.8745,0.9672,0.9349,0.4736,94.01,0.8224,0.9409,0.8444,99.12,1.3402,94.21,0.9236,98.97,0.9659,-2.6599999999999966,-0.052100000000000035,Joint,Joint
LightGBM,74.23,0.3424,0.6373,0.001,0.2332,74.96,0.2524,0.6466,0.0041,63.61,0.7024,75.08,0.4413,82.04,0.4752,0.7299999999999898,-0.08999999999999997,Cascade,Joint
MAMBA,67.98,0.6209,0.7049,0.6227,0.4559,75.66,0.6808,0.7669,0.5778,96.21,1.3235,76.29,0.7088,95.61,0.8675,7.679999999999993,0.05989999999999995,Cascade,Cascade
MiniRocket,98.98,0.9479,0.9898,0.7511,,99.04,0.9489,0.9904,0.7911,99.59,0.5459,99.14,0.9885,99.59,0.9534,0.060000000000002274,0.0010000000000000009,Cascade,Cascade
TRANSFORMER,86.52,0.6443,0.8872,0.9195,0.1996,91.45,0.6582,0.9257,0.3022,96.7,0.8043,92.21,0.9013,95.99,0.7654,4.930000000000007,0.013900000000000023,Cascade,Cascade
