Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,77.81,0.8138,0.7994,0.8531,0.3087,77.46,0.8018,0.7954,0.8246,96.91,1.0452,78.24,0.765,96.94,0.9262,-0.3500000000000085,-0.01200000000000001,Joint,Joint
LSTM,77.28,0.8074,0.7943,0.8531,0.0894,78.16,0.81,0.8019,0.8596,96.87,0.5709,78.94,0.7707,96.98,0.9259,0.8799999999999955,0.0026000000000000467,Cascade,Cascade
LightGBM,72.72,0.26,0.6174,0.0,0.0247,74.0,0.2244,0.6311,0.0,44.0,0.4862,74.16,0.4361,81.5,0.5252,1.2800000000000011,-0.03560000000000002,Cascade,Joint
MAMBA,61.21,0.5649,0.6456,0.6467,0.2075,71.74,0.5983,0.7366,0.5811,83.02,0.8359,75.03,0.7124,85.58,0.7099,10.529999999999994,0.033400000000000096,Cascade,Cascade
MiniRocket,81.22,0.6367,0.8006,0.2978,,81.49,0.6681,0.8056,0.4395,84.78,0.4328,83.88,0.7775,90.85,0.7602,0.269999999999996,0.031399999999999983,Cascade,Cascade
TRANSFORMER,87.83,0.8649,0.8841,0.8557,0.0659,55.63,0.4669,0.5966,0.7434,97.6,0.5334,56.12,0.5506,97.28,0.933,-32.199999999999996,-0.398,Joint,Joint
