Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.7866,65.78
LSTM,2,0.6703,68.89
LSTM,3,0.4299,84.67
LSTM,4,0.2002,92.56
LSTM,5,0.1823,93.0
LSTM,6,0.1631,93.56
LSTM,7,0.1634,94.33
LSTM,8,0.1673,93.44
LSTM,9,0.1556,94.11
LSTM,10,0.1417,94.56
LSTM,11,0.1483,93.89
LSTM,12,0.1272,94.22
LSTM,13,0.1413,94.22
LSTM,14,0.1329,94.22
LSTM,15,0.1322,94.89
LSTM,16,0.112,95.78
LSTM,17,0.1184,94.89
LSTM,18,0.1143,95.22
LSTM,19,0.123,94.33
LSTM,20,0.1045,95.22
LSTM,21,0.1213,94.22
LSTM,22,0.1065,95.33
LSTM,23,0.1096,94.78
LSTM,24,0.1082,95.67
LSTM,25,0.1115,94.67
LSTM,26,0.1007,95.56
LSTM,27,0.0993,95.56
LSTM,28,0.106,95.0
LSTM,29,0.101,95.56
LSTM,30,0.0998,95.56
LSTM,31,0.0964,95.78
LSTM,32,0.0956,96.0
LSTM,33,0.111,95.44
LSTM,34,0.1188,95.11
LSTM,35,0.1143,95.33
LSTM,36,0.0986,96.0
LSTM,37,0.1,95.56
LSTM,38,0.1136,96.0
LSTM,39,0.1089,95.78
LSTM,40,0.1106,95.89
LSTM,41,0.1106,95.78
LSTM,42,0.1115,95.89
Mamba,1,1.1195,46.44
Mamba,2,0.7473,66.56
Mamba,3,0.5597,77.78
Mamba,4,0.3526,87.56
Mamba,5,0.3513,88.67
Mamba,6,0.3134,90.11
Mamba,7,0.3224,89.44
Mamba,8,0.2869,90.33
Mamba,9,0.2681,91.11
Mamba,10,0.3346,90.67
Mamba,11,0.3266,90.78
Mamba,12,0.2866,90.67
Mamba,13,0.2932,92.11
Mamba,14,0.2789,91.56
Mamba,15,0.2839,92.22
Mamba,16,0.2982,92.33
Mamba,17,0.3115,91.67
Mamba,18,0.3316,91.78
Mamba,19,0.3828,92.22
Transformer,1,0.2099,91.78
Transformer,2,0.1756,93.11
Transformer,3,0.172,92.67
Transformer,4,0.1637,93.56
Transformer,5,0.1507,93.56
Transformer,6,0.1896,92.0
Transformer,7,0.1631,93.11
Transformer,8,0.1686,92.44
Transformer,9,0.1539,93.67
Transformer,10,0.1419,94.0
Transformer,11,0.1736,93.22
Transformer,12,0.1675,92.89
Transformer,13,0.1418,94.33
Transformer,14,0.142,93.78
Transformer,15,0.1386,94.56
Transformer,16,0.1553,93.67
Transformer,17,0.1376,94.22
Transformer,18,0.1474,93.67
Transformer,19,0.1378,94.89
Transformer,20,0.142,94.67
Transformer,21,0.1897,92.67
Transformer,22,0.1434,94.33
Transformer,23,0.1359,94.56
Transformer,24,0.1473,93.78
Transformer,25,0.1356,94.78
Transformer,26,0.133,94.44
Transformer,27,0.1324,94.67
Transformer,28,0.1398,94.11
Transformer,29,0.1342,94.89
Transformer,30,0.1375,94.56
Transformer,31,0.1575,94.33
Transformer,32,0.145,94.56
Transformer,33,0.2142,91.0
Transformer,34,0.1367,95.0
Transformer,35,0.1292,95.22
Transformer,36,0.1334,95.11
Transformer,37,0.1344,94.89
Transformer,38,0.1291,95.33
Transformer,39,0.134,95.0
Transformer,40,0.1359,95.0
Transformer,41,0.1319,95.0
Transformer,42,0.1321,94.78
Transformer,43,0.13,95.22
Transformer,44,0.1329,94.89
Transformer,45,0.1286,95.0
Transformer,46,0.1257,95.33
Transformer,47,0.1272,95.22
Transformer,48,0.1263,95.11
Transformer,49,0.127,95.22
Transformer,50,0.1295,95.11
Transformer,51,0.1293,95.0
Transformer,52,0.127,95.22
Transformer,53,0.1296,95.22
Transformer,54,0.1318,94.89
Transformer,55,0.1262,95.33
Transformer,56,0.1289,95.22
1D-CNN (InceptionTime),1,0.2955,88.33
1D-CNN (InceptionTime),2,0.2256,91.44
1D-CNN (InceptionTime),3,0.1829,92.33
1D-CNN (InceptionTime),4,0.172,92.33
1D-CNN (InceptionTime),5,0.16,93.44
1D-CNN (InceptionTime),6,0.1496,93.33
1D-CNN (InceptionTime),7,0.1545,93.11
1D-CNN (InceptionTime),8,0.1292,94.11
1D-CNN (InceptionTime),9,0.1402,94.0
1D-CNN (InceptionTime),10,0.1301,94.44
1D-CNN (InceptionTime),11,0.1111,95.89
1D-CNN (InceptionTime),12,0.1178,95.22
1D-CNN (InceptionTime),13,0.1051,95.67
1D-CNN (InceptionTime),14,0.1116,96.0
1D-CNN (InceptionTime),15,0.121,95.33
1D-CNN (InceptionTime),16,0.2232,92.0
1D-CNN (InceptionTime),17,0.1125,95.78
1D-CNN (InceptionTime),18,0.1034,96.0
1D-CNN (InceptionTime),19,0.196,92.33
1D-CNN (InceptionTime),20,0.0938,96.44
1D-CNN (InceptionTime),21,0.0918,96.56
1D-CNN (InceptionTime),22,0.0922,95.89
1D-CNN (InceptionTime),23,0.1061,95.44
1D-CNN (InceptionTime),24,0.0863,96.56
1D-CNN (InceptionTime),25,0.1034,96.33
1D-CNN (InceptionTime),26,0.0918,96.56
1D-CNN (InceptionTime),27,0.0968,96.0
1D-CNN (InceptionTime),28,0.0959,96.22
1D-CNN (InceptionTime),29,0.0929,96.56
1D-CNN (InceptionTime),30,0.1104,96.33
1D-CNN (InceptionTime),31,0.0925,96.11
1D-CNN (InceptionTime),32,0.095,96.89
1D-CNN (InceptionTime),33,0.0979,96.0
1D-CNN (InceptionTime),34,0.1166,95.67
