Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.7177,65.89
LSTM,2,0.6392,71.0
LSTM,3,0.4561,82.67
LSTM,4,0.1818,92.89
LSTM,5,0.1808,91.56
LSTM,6,0.1532,93.78
LSTM,7,0.1485,93.78
LSTM,8,0.1905,92.78
LSTM,9,0.1634,93.33
LSTM,10,0.1575,93.89
LSTM,11,0.1439,93.67
LSTM,12,0.128,94.89
LSTM,13,0.2379,92.22
LSTM,14,0.1439,93.56
LSTM,15,0.1325,94.44
LSTM,16,0.1399,94.0
LSTM,17,0.1115,95.44
LSTM,18,0.1113,95.11
LSTM,19,0.1332,94.89
LSTM,20,0.1184,95.0
LSTM,21,0.131,94.89
LSTM,22,0.114,95.33
LSTM,23,0.1281,94.44
LSTM,24,0.1192,95.11
LSTM,25,0.1098,95.33
LSTM,26,0.0991,95.56
LSTM,27,0.0978,95.78
LSTM,28,0.0983,95.56
LSTM,29,0.1073,95.56
LSTM,30,0.1008,95.78
LSTM,31,0.11,95.89
LSTM,32,0.1076,95.33
LSTM,33,0.1136,94.78
LSTM,34,0.1147,95.22
LSTM,35,0.1195,95.33
LSTM,36,0.1287,95.67
LSTM,37,0.1208,95.33
Mamba,1,1.2823,40.67
Mamba,2,0.8919,57.44
Mamba,3,0.6372,71.89
Mamba,4,0.4851,80.11
Mamba,5,0.2484,90.11
Mamba,6,0.2069,92.11
Mamba,7,0.2173,91.67
Mamba,8,0.2026,92.11
Mamba,9,0.1931,92.22
Mamba,10,0.2055,92.33
Mamba,11,0.2027,91.89
Mamba,12,0.1912,92.11
Mamba,13,0.2067,92.44
Mamba,14,0.1967,92.56
Mamba,15,0.2075,92.44
Mamba,16,0.2199,92.56
Mamba,17,0.2588,91.67
Mamba,18,0.2098,91.44
Mamba,19,0.2153,92.33
Mamba,20,0.2155,92.33
Mamba,21,0.2239,92.11
Mamba,22,0.2422,92.11
Transformer,1,0.1904,91.11
Transformer,2,0.1972,90.89
Transformer,3,0.1898,91.67
Transformer,4,0.171,92.44
Transformer,5,0.2379,90.89
Transformer,6,0.1801,91.89
Transformer,7,0.1744,92.67
Transformer,8,0.1737,92.44
Transformer,9,0.2024,91.22
Transformer,10,0.1845,92.22
Transformer,11,0.1564,93.11
Transformer,12,0.161,93.0
Transformer,13,0.1536,93.44
Transformer,14,0.1472,93.56
Transformer,15,0.1506,93.67
Transformer,16,0.1512,93.33
Transformer,17,0.1457,93.67
Transformer,18,0.1473,93.78
Transformer,19,0.1483,93.67
Transformer,20,0.147,93.89
Transformer,21,0.1433,93.89
Transformer,22,0.1475,94.33
Transformer,23,0.1464,94.0
Transformer,24,0.1517,93.33
Transformer,25,0.1606,93.67
Transformer,26,0.1481,94.11
Transformer,27,0.1512,94.11
Transformer,28,0.1899,92.44
Transformer,29,0.1444,94.22
Transformer,30,0.1525,93.67
Transformer,31,0.1456,93.89
1D-CNN (InceptionTime),1,0.2724,87.78
1D-CNN (InceptionTime),2,0.2453,89.33
1D-CNN (InceptionTime),3,0.1649,92.33
1D-CNN (InceptionTime),4,0.15,93.22
1D-CNN (InceptionTime),5,0.1545,93.67
1D-CNN (InceptionTime),6,0.1425,94.0
1D-CNN (InceptionTime),7,0.1422,93.67
1D-CNN (InceptionTime),8,0.1308,94.67
1D-CNN (InceptionTime),9,0.12,95.0
1D-CNN (InceptionTime),10,0.1133,94.89
1D-CNN (InceptionTime),11,0.1058,95.89
1D-CNN (InceptionTime),12,0.1089,95.56
1D-CNN (InceptionTime),13,0.1642,93.33
1D-CNN (InceptionTime),14,0.1064,95.78
1D-CNN (InceptionTime),15,0.1011,96.0
1D-CNN (InceptionTime),16,0.1073,94.89
1D-CNN (InceptionTime),17,0.1198,94.78
1D-CNN (InceptionTime),18,0.0895,96.22
1D-CNN (InceptionTime),19,0.0961,96.44
1D-CNN (InceptionTime),20,0.0983,95.89
1D-CNN (InceptionTime),21,0.094,95.89
1D-CNN (InceptionTime),22,0.0797,96.78
1D-CNN (InceptionTime),23,0.104,96.0
1D-CNN (InceptionTime),24,0.079,96.33
1D-CNN (InceptionTime),25,0.0944,95.89
1D-CNN (InceptionTime),26,0.0885,96.22
1D-CNN (InceptionTime),27,0.0849,96.33
1D-CNN (InceptionTime),28,0.0989,96.78
1D-CNN (InceptionTime),29,0.1048,95.89
1D-CNN (InceptionTime),30,0.1012,96.67
1D-CNN (InceptionTime),31,0.0937,96.22
1D-CNN (InceptionTime),32,0.0981,96.56
1D-CNN (InceptionTime),33,0.0794,96.33
1D-CNN (InceptionTime),34,0.0758,96.44
1D-CNN (InceptionTime),35,0.0871,96.56
1D-CNN (InceptionTime),36,0.1001,96.0
1D-CNN (InceptionTime),37,0.0854,96.78
1D-CNN (InceptionTime),38,0.1159,96.78
1D-CNN (InceptionTime),39,0.087,96.67
1D-CNN (InceptionTime),40,0.0957,96.22
1D-CNN (InceptionTime),41,0.1006,96.11
1D-CNN (InceptionTime),42,0.1163,96.56
1D-CNN (InceptionTime),43,0.1211,96.0
1D-CNN (InceptionTime),44,0.1278,96.0
