Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.3299,32.67
LSTM,2,1.31,34.22
LSTM,3,1.2653,37.0
LSTM,4,1.1862,41.11
LSTM,5,1.106,44.89
LSTM,6,1.062,45.44
LSTM,7,0.9856,49.56
LSTM,8,0.9963,46.44
LSTM,9,0.8965,52.11
LSTM,10,0.9283,51.67
LSTM,11,0.8931,55.67
LSTM,12,0.9215,52.78
LSTM,13,0.8304,59.89
LSTM,14,0.8151,59.67
LSTM,15,0.7463,63.33
LSTM,16,0.733,63.67
LSTM,17,0.7121,65.78
LSTM,18,0.8641,56.78
LSTM,19,0.7842,59.78
LSTM,20,0.6048,68.56
LSTM,21,0.6706,65.89
LSTM,22,0.6399,66.0
LSTM,23,0.8285,62.67
LSTM,24,0.7897,60.44
LSTM,25,0.7269,66.78
LSTM,26,0.5862,71.0
LSTM,27,0.5912,70.78
LSTM,28,0.5779,70.22
LSTM,29,0.5373,74.33
LSTM,30,0.5159,75.33
LSTM,31,0.5322,75.11
LSTM,32,0.7083,63.89
LSTM,33,0.535,75.11
LSTM,34,0.4904,76.22
LSTM,35,0.5348,72.67
LSTM,36,0.4727,77.22
LSTM,37,0.575,71.67
LSTM,38,0.4815,77.56
LSTM,39,0.5674,70.89
LSTM,40,0.4742,77.11
LSTM,41,0.5256,74.67
LSTM,42,0.6395,67.0
LSTM,43,0.4126,80.22
LSTM,44,0.539,74.22
LSTM,45,0.4314,81.11
LSTM,46,0.4851,75.33
LSTM,47,0.44,78.78
LSTM,48,0.4491,78.11
LSTM,49,0.4279,78.44
LSTM,50,0.3792,83.0
LSTM,51,0.3809,82.89
LSTM,52,0.4146,80.0
LSTM,53,0.4279,80.56
LSTM,54,0.4366,78.89
LSTM,55,0.3922,81.56
LSTM,56,0.4108,81.22
LSTM,57,0.3798,82.44
LSTM,58,0.3461,85.33
LSTM,59,0.3586,84.33
LSTM,60,0.3492,84.56
LSTM,61,0.4008,81.11
LSTM,62,0.3397,85.22
LSTM,63,0.3608,85.33
LSTM,64,0.3414,85.0
LSTM,65,0.4127,81.78
LSTM,66,0.3918,83.56
LSTM,67,0.3539,84.44
LSTM,68,0.3595,84.11
LSTM,69,0.3377,85.78
LSTM,70,0.3409,85.89
LSTM,71,0.3399,85.11
LSTM,72,0.3882,84.44
LSTM,73,0.3377,85.56
LSTM,74,0.3388,84.89
LSTM,75,0.3571,85.67
LSTM,76,0.3287,86.67
LSTM,77,0.3321,86.22
LSTM,78,0.3217,85.67
LSTM,79,0.3273,86.0
LSTM,80,0.3227,86.22
LSTM,81,0.3485,84.67
LSTM,82,0.3229,86.11
LSTM,83,0.3286,86.22
LSTM,84,0.3433,85.78
LSTM,85,0.3254,86.67
LSTM,86,0.3274,86.56
LSTM,87,0.3233,86.56
LSTM,88,0.3293,86.44
Mamba,1,1.3351,34.0
Mamba,2,1.2313,38.0
Mamba,3,1.1577,41.11
Mamba,4,1.1052,45.89
Mamba,5,1.0843,45.22
Mamba,6,1.2144,42.89
Mamba,7,1.0658,46.0
Mamba,8,1.0656,46.67
Mamba,9,1.1176,46.11
Mamba,10,1.0086,49.33
Mamba,11,1.0094,49.78
Mamba,12,0.9969,50.67
Mamba,13,0.9721,51.89
Mamba,14,0.9862,50.78
Mamba,15,0.9637,51.22
