model,max_val_accuracy,final_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees (LightGBM),92.89,92.89,1,1,0.3691,,0.4139680862426758,1.239,False,0,30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.8452,0.9467,0.8931,1.0,1.0,1.0,0.8857,0.8267,0.8552,0.9953,0.9422,0.968,0.9316,0.9289,0.9291,0.9316,0.9289,0.9291,213.0,0.0,12.0,0.0,225.0,0.0,38.0,0.0,186.0,1.0,0.0,12.0
MiniRocket,95.22,95.22,1,1,,9996.0,0.5816,22.5373,False,0,30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.8704,0.9556,0.911,1.0,1.0,1.0,0.9463,0.8622,0.9023,1.0,0.9911,0.9955,0.9542,0.9522,0.9522,0.9542,0.9522,0.9522,215.0,0.0,10.0,0.0,225.0,0.0,31.0,0.0,194.0,1.0,0.0,1.0
LSTM,95.89,95.78,31,38,0.1157,94780.0,0.723114013671875,106.9168,True,0,30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.9013,0.9333,0.917,1.0,1.0,1.0,0.9309,0.8978,0.914,1.0,1.0,1.0,0.958,0.9578,0.9578,0.958,0.9578,0.9578,210.0,0.0,15.0,0.0,225.0,0.0,23.0,0.0,202.0,0.0,0.0,0.0
Mamba,93.56,93.56,23,23,0.1903,25018.0,0.1908721923828125,76.6473,True,0,30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.8613,0.9111,0.8855,0.9956,0.9956,0.9956,0.892,0.8444,0.8676,0.9955,0.9911,0.9933,0.9361,0.9356,0.9355,0.9361,0.9356,0.9355,205.0,0.0,20.0,0.0,224.0,1.0,33.0,1.0,190.0,0.0,0.0,2.0
Transformer,95.33,95.33,32,32,0.1274,405132.0,3.090911865234375,44.4944,True,0,30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.8617,0.9689,0.9121,1.0,1.0,1.0,0.9645,0.8444,0.9005,1.0,1.0,1.0,0.9565,0.9533,0.9532,0.9565,0.9533,0.9532,218.0,0.0,7.0,0.0,225.0,0.0,35.0,0.0,190.0,0.0,0.0,0.0
1D-CNN (InceptionTime),96.78,96.44,22,45,0.1239,473668.0,3.613800048828125,332.7315,True,0,30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.9072,0.9556,0.9307,1.0,1.0,1.0,0.9531,0.9022,0.9269,1.0,1.0,1.0,0.9651,0.9644,0.9644,0.9651,0.9644,0.9644,215.0,0.0,10.0,0.0,225.0,0.0,22.0,0.0,203.0,0.0,0.0,0.0
