Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,55.39,0.2183,0.5573,0.0,0.9705,44.43,0.2066,0.4993,0.0,23.98,2.4913,56.58,0.5378,19.85,0.1612,-10.96,-0.011699999999999988,Joint,Joint
LSTM,28.99,0.2057,0.3691,0.1911,0.176,41.61,0.2275,0.4959,0.1156,27.01,0.7952,54.36,0.5257,22.98,0.2059,12.620000000000001,0.021800000000000014,Cascade,Cascade
LightGBM,72.1,0.2095,0.6041,0.0,0.058,74.14,0.2129,0.6313,0.0,,0.508,74.14,0.4257,76.13,0.2882,2.0400000000000063,0.003400000000000014,Cascade,Cascade
MAMBA,35.54,0.2199,0.4436,0.1644,0.2923,38.41,0.2305,0.4736,0.1966,30.92,0.8868,51.5,0.5059,28.91,0.2412,2.8699999999999974,0.010599999999999998,Cascade,Cascade
MiniRocket,74.14,0.2129,0.6313,0.0,,74.13,0.213,0.6313,0.0,50.0,0.4774,74.14,0.426,76.44,0.2911,-0.010000000000005116,9.999999999998899e-05,Joint,Cascade
TRANSFORMER,35.47,0.226,0.4444,0.1733,0.0783,47.69,0.2123,0.5198,0.0178,22.2,0.5874,58.29,0.5385,21.19,0.1805,12.219999999999999,-0.013700000000000018,Cascade,Joint
