Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Stage2,22,1.0854,0.3571,0.3594,0.1353,1.0984
LSTM,Stage2,23,1.0826,0.3275,0.3495,0.1831,1.0999
LSTM,Stage2,24,1.082,0.3268,0.3493,0.2582,1.0959
LSTM,Stage2,25,1.0814,0.3339,0.3584,0.1458,1.0993
LSTM,Stage2,26,1.0786,0.3265,0.3627,0.1706,1.1005
LSTM,Stage2,27,1.0751,0.3245,0.3505,0.1849,1.0993
LSTM,Stage2,28,1.0742,0.3212,0.348,0.1745,1.1027
LSTM,Stage2,29,1.073,0.3215,0.3503,0.1664,1.1049
MAMBA,Joint,1,1.3876,0.0877,0.2,0.1134,1.3849
MAMBA,Joint,2,1.3858,0.0898,0.2699,0.1321,1.3866
MAMBA,Joint,3,1.3835,0.092,0.2809,0.1236,1.3881
MAMBA,Joint,4,1.3774,0.095,0.2802,0.1317,1.3747
MAMBA,Joint,5,1.3703,0.0958,0.2863,0.139,1.3671
MAMBA,Joint,6,1.365,0.0968,0.2516,0.1258,1.3597
MAMBA,Joint,7,1.3615,0.0969,0.2882,0.1364,1.3617
MAMBA,Joint,8,1.3573,0.0971,0.2969,0.1375,1.3649
MAMBA,Joint,9,1.3542,0.0984,0.2925,0.1322,1.3483
MAMBA,Joint,10,1.3514,0.0979,0.2975,0.1193,1.3523
MAMBA,Joint,11,1.3489,0.098,0.2611,0.1222,1.3432
MAMBA,Joint,12,1.3463,0.1,0.2438,0.1157,1.3411
MAMBA,Joint,13,1.3448,0.0994,0.3179,0.1362,1.3512
MAMBA,Joint,14,1.3435,0.1011,0.303,0.1291,1.3442
MAMBA,Joint,15,1.3423,0.1024,0.2984,0.1353,1.3411
MAMBA,Joint,16,1.341,0.1,0.2942,0.1228,1.3459
MAMBA,Joint,17,1.34,0.0983,0.2993,0.1302,1.3484
MAMBA,Joint,18,1.339,0.1004,0.2937,0.1286,1.3474
MAMBA,Joint,19,1.3354,0.1003,0.2811,0.1249,1.3433
MAMBA,Joint,20,1.3347,0.0995,0.294,0.1213,1.3477
MAMBA,Joint,21,1.3336,0.0989,0.2991,0.1163,1.3522
MAMBA,Joint,22,1.3331,0.0997,0.2998,0.125,1.3525
MAMBA,Stage1,1,0.6924,0.282,0.4815,0.3557,0.6906
MAMBA,Stage1,2,0.6894,0.29,0.6189,0.3949,0.6859
MAMBA,Stage1,3,0.6825,0.2918,0.7027,0.4124,0.6784
MAMBA,Stage1,4,0.6747,0.2947,0.8806,0.4417,0.6846
MAMBA,Stage1,5,0.6702,0.2962,0.8455,0.4388,0.6721
MAMBA,Stage1,6,0.6679,0.296,0.8913,0.4444,0.6745
MAMBA,Stage1,7,0.6656,0.3013,0.7603,0.4316,0.6589
MAMBA,Stage1,8,0.6634,0.2982,0.813,0.4364,0.6636
MAMBA,Stage1,9,0.6611,0.3007,0.822,0.4403,0.6575
MAMBA,Stage1,10,0.6589,0.2989,0.8714,0.4452,0.669
MAMBA,Stage1,11,0.6583,0.2993,0.8405,0.4414,0.6607
MAMBA,Stage1,12,0.6573,0.2979,0.8672,0.4434,0.6644
MAMBA,Stage1,13,0.6564,0.3024,0.8538,0.4466,0.6606
MAMBA,Stage1,14,0.655,0.3076,0.7499,0.4363,0.6516
MAMBA,Stage1,15,0.655,0.3037,0.814,0.4424,0.6556
MAMBA,Stage1,16,0.6533,0.3065,0.7618,0.4371,0.6538
MAMBA,Stage1,17,0.653,0.304,0.8166,0.4431,0.6561
MAMBA,Stage1,18,0.6524,0.3013,0.884,0.4494,0.6702
MAMBA,Stage1,19,0.652,0.3005,0.8783,0.4478,0.6699
MAMBA,Stage1,20,0.6518,0.3021,0.8341,0.4435,0.6579
MAMBA,Stage1,21,0.6504,0.3051,0.8064,0.4427,0.6555
MAMBA,Stage1,22,0.6503,0.3032,0.8214,0.443,0.6584
MAMBA,Stage1,23,0.6498,0.3075,0.7335,0.4334,0.6485
MAMBA,Stage1,24,0.6504,0.3056,0.7863,0.4402,0.6534
MAMBA,Stage1,25,0.6498,0.3047,0.8197,0.4442,0.6573
MAMBA,Stage1,26,0.6503,0.3041,0.8324,0.4454,0.6586
MAMBA,Stage1,27,0.6499,0.3028,0.8447,0.4458,0.6615
MAMBA,Stage1,28,0.6496,0.3059,0.8104,0.4441,0.655
MAMBA,Stage1,29,0.6498,0.3025,0.8525,0.4466,0.6645
MAMBA,Stage1,30,0.6489,0.3051,0.8152,0.444,0.6573
MAMBA,Stage1,31,0.6489,0.3061,0.7938,0.4418,0.6541
MAMBA,Stage1,32,0.6487,0.3058,0.7987,0.4423,0.6547
MAMBA,Stage1,33,0.6487,0.3059,0.8007,0.4427,0.6554
MAMBA,Stage2,1,1.101,0.331,0.3279,0.3182,1.0997
MAMBA,Stage2,2,1.0996,0.3302,0.3287,0.2689,1.0993
MAMBA,Stage2,3,1.099,0.329,0.3248,0.2846,1.0994
MAMBA,Stage2,4,1.0985,0.3251,0.3221,0.2906,1.0994
MAMBA,Stage2,5,1.0983,0.3321,0.3365,0.2774,1.0992
MAMBA,Stage2,6,1.0979,0.3308,0.3409,0.2558,1.0984
MAMBA,Stage2,7,1.0972,0.3286,0.3325,0.2876,1.0987
MAMBA,Stage2,8,1.0967,0.3303,0.3322,0.2598,1.0974
MAMBA,Stage2,9,1.0958,0.3296,0.3434,0.2463,1.0974
MAMBA,Stage2,10,1.0948,0.3302,0.3399,0.2243,1.0972
MAMBA,Stage2,11,1.0937,0.3287,0.3358,0.232,1.0973
MAMBA,Stage2,12,1.0926,0.3298,0.3448,0.2396,1.0973
MAMBA,Stage2,13,1.0918,0.3291,0.3384,0.243,1.0975
MAMBA,Stage2,14,1.0897,0.3352,0.3554,0.2616,1.0982
MAMBA,Stage2,15,1.0885,0.3337,0.342,0.2536,1.0989
MAMBA,Stage2,16,1.0882,0.3351,0.354,0.2827,1.0989
MAMBA,Stage2,17,1.0838,0.3326,0.3405,0.2482,1.101
MAMBA,Stage2,18,1.083,0.3337,0.3471,0.252,1.1021
MAMBA,Stage2,19,1.0823,0.3286,0.343,0.2531,1.1022
MAMBA,Stage2,20,1.0814,0.3307,0.3478,0.2401,1.1034
TRANSFORMER,Joint,1,1.4026,0.1031,0.2797,0.1157,1.364
TRANSFORMER,Joint,2,1.3653,0.1031,0.2568,0.11,1.3548
TRANSFORMER,Joint,3,1.3547,0.0994,0.3013,0.0956,1.3533
TRANSFORMER,Joint,4,1.3492,0.102,0.3122,0.1041,1.3498
TRANSFORMER,Joint,5,1.3461,0.1025,0.3185,0.1369,1.3518
TRANSFORMER,Joint,6,1.344,0.1029,0.3262,0.0742,1.3532
TRANSFORMER,Joint,7,1.3425,0.1021,0.3054,0.127,1.3456
TRANSFORMER,Joint,8,1.3416,0.1025,0.2923,0.0927,1.3389
TRANSFORMER,Joint,9,1.3406,0.1024,0.3157,0.1447,1.3508
TRANSFORMER,Joint,10,1.3404,0.104,0.3149,0.1374,1.3474
TRANSFORMER,Joint,11,1.3405,0.1055,0.2834,0.1154,1.3375
TRANSFORMER,Joint,12,1.3393,0.1008,0.3253,0.1054,1.3566
TRANSFORMER,Joint,13,1.3391,0.1021,0.3172,0.1427,1.3476
TRANSFORMER,Joint,14,1.3376,0.103,0.3465,0.1136,1.3635
TRANSFORMER,Joint,15,1.3383,0.1031,0.3088,0.1343,1.3494
TRANSFORMER,Joint,16,1.3388,0.1026,0.3037,0.1407,1.3406
TRANSFORMER,Joint,17,1.3372,0.1036,0.3013,0.1464,1.3442
TRANSFORMER,Joint,18,1.3314,0.1036,0.2947,0.1179,1.3411
TRANSFORMER,Joint,19,1.3301,0.1059,0.2684,0.1214,1.3326
TRANSFORMER,Joint,20,1.3305,0.1047,0.3136,0.139,1.3451
TRANSFORMER,Joint,21,1.3281,0.1023,0.3206,0.1284,1.3497
TRANSFORMER,Joint,22,1.328,0.1031,0.3191,0.1404,1.3493
TRANSFORMER,Joint,23,1.3281,0.1023,0.2914,0.0845,1.3424
TRANSFORMER,Joint,24,1.3282,0.1028,0.308,0.1394,1.3448
TRANSFORMER,Joint,25,1.3255,0.1028,0.3013,0.1167,1.3496
TRANSFORMER,Joint,26,1.321,0.1013,0.3127,0.1277,1.3533
TRANSFORMER,Joint,27,1.3206,0.1022,0.3144,0.1088,1.3528
TRANSFORMER,Joint,28,1.3199,0.103,0.2984,0.1163,1.3464
TRANSFORMER,Joint,29,1.3188,0.1042,0.3094,0.1464,1.3483
TRANSFORMER,Stage1,1,0.6861,0.3047,0.7614,0.4352,0.6876
TRANSFORMER,Stage1,2,0.6626,0.3103,0.5581,0.3988,0.6537
TRANSFORMER,Stage1,3,0.6564,0.3106,0.6468,0.4197,0.6614
TRANSFORMER,Stage1,4,0.6538,0.3102,0.6308,0.4159,0.6569
TRANSFORMER,Stage1,5,0.6537,0.3128,0.7129,0.4348,0.6524
TRANSFORMER,Stage1,6,0.6527,0.3091,0.8,0.4459,0.6696
TRANSFORMER,Stage1,7,0.6526,0.3177,0.5384,0.3996,0.643
TRANSFORMER,Stage1,8,0.6521,0.3106,0.7835,0.4449,0.6651
TRANSFORMER,Stage1,9,0.6529,0.3099,0.7749,0.4427,0.6605
TRANSFORMER,Stage1,10,0.652,0.3023,0.8673,0.4484,0.6911
TRANSFORMER,Stage1,11,0.6517,0.3117,0.7335,0.4375,0.6549
TRANSFORMER,Stage1,12,0.6515,0.3084,0.7827,0.4425,0.6658
TRANSFORMER,Stage1,13,0.6506,0.3136,0.6499,0.423,0.6489
TRANSFORMER,Stage1,14,0.6504,0.3151,0.7173,0.4378,0.6477
TRANSFORMER,Stage1,15,0.6497,0.3101,0.7746,0.4429,0.662
TRANSFORMER,Stage1,16,0.6495,0.3117,0.7545,0.4412,0.6576
TRANSFORMER,Stage1,17,0.6499,0.3103,0.7824,0.4444,0.665
TRANSFORMER,Stage2,1,1.1246,0.3321,0.3428,0.2862,1.1075
TRANSFORMER,Stage2,2,1.1046,0.3367,0.3491,0.3146,1.1096
TRANSFORMER,Stage2,3,1.1004,0.3351,0.3566,0.256,1.1016
TRANSFORMER,Stage2,4,1.0975,0.3455,0.3831,0.1875,1.0956
TRANSFORMER,Stage2,5,1.0941,0.3421,0.3707,0.2881,1.1065
TRANSFORMER,Stage2,6,1.0897,0.3386,0.3659,0.2974,1.109
TRANSFORMER,Stage2,7,1.0926,0.3286,0.3485,0.1977,1.0975
TRANSFORMER,Stage2,8,1.0906,0.3482,0.3871,0.2252,1.0973
TRANSFORMER,Stage2,9,1.0894,0.3322,0.3484,0.2397,1.1011
