Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,32.94,0.1695,0.4114,0.0,1.1054,48.17,0.2508,0.5442,0.0311,38.55,2.7425,57.42,0.5398,31.41,0.2455,15.230000000000004,0.08130000000000001,Cascade,Cascade
LSTM,31.54,0.2024,0.4037,0.1698,0.4823,36.94,0.1771,0.4579,0.0,5.15,1.359,53.5,0.5184,4.61,0.0723,5.399999999999999,-0.02529999999999999,Cascade,Joint
LightGBM,73.75,0.2122,0.6261,0.0,0.2258,74.53,0.2135,0.6366,0.0,,0.7265,74.53,0.427,78.97,0.2942,0.7800000000000011,0.0012999999999999956,Cascade,Cascade
MAMBA,39.4,0.2253,0.4827,0.166,0.3763,49.71,0.2334,0.5539,0.0936,21.34,1.1925,59.78,0.5447,20.13,0.1785,10.310000000000002,0.008099999999999996,Cascade,Cascade
MiniRocket,74.53,0.2135,0.6366,0.0,,74.53,0.2135,0.6366,0.0,,0.562,74.53,0.427,79.1,0.2946,0.0,0.0,Tie,Tie
TRANSFORMER,33.43,0.2192,0.43,0.2548,0.189,52.86,0.2444,0.5695,0.0667,30.37,0.8963,61.04,0.5465,25.95,0.213,19.43,0.0252,Cascade,Cascade
