Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3888,0.0683,0.2789,0.1097,1.3834
LSTM,Joint,2,1.3875,0.0189,0.1424,0.0332,1.3837
LSTM,Joint,3,1.3873,0.0185,0.1926,0.0338,1.3846
LSTM,Joint,4,1.3867,0.0854,0.3392,0.1264,1.3902
LSTM,Joint,5,1.3867,0.0887,0.2487,0.1259,1.3856
LSTM,Joint,6,1.3863,0.0963,0.0671,0.0613,1.3788
LSTM,Joint,7,1.3858,0.017,0.3327,0.0323,1.3951
LSTM,Joint,8,1.3839,0.0746,0.3047,0.1199,1.3878
LSTM,Joint,9,1.3837,0.0697,0.3196,0.0456,1.3823
LSTM,Joint,10,1.3737,0.0902,0.2487,0.1267,1.3637
LSTM,Joint,11,1.3646,0.02,0.3006,0.0375,1.3698
LSTM,Joint,12,1.3612,0.0873,0.2947,0.0569,1.3624
LSTM,Joint,13,1.3599,0.0204,0.2673,0.0379,1.3597
LSTM,Joint,14,1.3577,0.0987,0.2808,0.1424,1.3574
LSTM,Joint,15,1.358,0.0885,0.2801,0.0652,1.3578
LSTM,Joint,16,1.3563,0.0879,0.3068,0.0608,1.364
LSTM,Joint,17,1.3547,0.0996,0.2727,0.1254,1.3522
LSTM,Joint,18,1.3545,0.0874,0.2935,0.0616,1.3683
LSTM,Joint,19,1.354,0.0892,0.2873,0.0511,1.354
LSTM,Joint,20,1.3538,0.0949,0.2754,0.0563,1.3512
LSTM,Joint,21,1.3528,0.0916,0.2906,0.0768,1.3565
LSTM,Joint,22,1.3516,0.0931,0.2841,0.0533,1.3561
LSTM,Joint,23,1.352,0.0893,0.3052,0.0617,1.36
LSTM,Joint,24,1.352,0.0947,0.2753,0.0664,1.3492
LSTM,Joint,25,1.3504,0.0933,0.2877,0.0665,1.3493
LSTM,Joint,26,1.35,0.0972,0.2859,0.1086,1.3566
LSTM,Joint,27,1.3501,0.0917,0.3038,0.0814,1.3586
LSTM,Joint,28,1.3492,0.0901,0.299,0.0608,1.3596
LSTM,Joint,29,1.3493,0.0937,0.2853,0.0604,1.3535
LSTM,Joint,30,1.3486,0.0923,0.289,0.0706,1.3578
LSTM,Joint,31,1.3459,0.0923,0.2981,0.0617,1.3593
LSTM,Joint,32,1.3454,0.096,0.2846,0.0743,1.3532
LSTM,Joint,33,1.3449,0.0931,0.2961,0.0675,1.3588
LSTM,Joint,34,1.3443,0.0943,0.2913,0.071,1.3576
LSTM,Stage1,1,0.6937,0.0,0.0,0.0,0.6726
LSTM,Stage1,2,0.6933,0.2577,0.9163,0.4023,0.6995
LSTM,Stage1,3,0.693,0.0,0.0,0.0,0.6824
LSTM,Stage1,4,0.6931,0.0,0.0,0.0,0.6845
LSTM,Stage1,5,0.6927,0.2616,0.9905,0.4138,0.6992
LSTM,Stage1,6,0.6921,0.0,0.0,0.0,0.6792
LSTM,Stage1,7,0.6921,0.0,0.0,0.0,0.6802
LSTM,Stage1,8,0.6912,0.2993,0.1242,0.1755,0.6842
LSTM,Stage1,9,0.6875,0.2795,0.9378,0.4306,0.7144
LSTM,Stage1,10,0.684,0.3004,0.7582,0.4303,0.6742
LSTM,Stage1,11,0.6724,0.3151,0.1704,0.2212,0.6461
LSTM,Stage1,12,0.6683,0.3004,0.8133,0.4387,0.6671
LSTM,Stage1,13,0.6669,0.303,0.7788,0.4363,0.6755
LSTM,Stage1,14,0.6669,0.3053,0.7226,0.4292,0.6641
LSTM,Stage1,15,0.6662,0.2998,0.8136,0.4382,0.6809
LSTM,Stage1,16,0.6663,0.3027,0.7745,0.4353,0.6725
LSTM,Stage1,17,0.6655,0.3019,0.7748,0.4345,0.6754
LSTM,Stage1,18,0.6643,0.3071,0.6889,0.4249,0.6612
LSTM,Stage1,19,0.6642,0.3066,0.7161,0.4294,0.6619
LSTM,Stage1,20,0.6636,0.3062,0.7009,0.4262,0.6639
LSTM,Stage1,21,0.6636,0.3084,0.6654,0.4215,0.6564
LSTM,Stage2,1,1.1021,0.332,0.3377,0.2665,1.0985
LSTM,Stage2,2,1.1003,0.3355,0.3442,0.3103,1.0986
LSTM,Stage2,3,1.1,0.2705,0.3372,0.2819,1.0985
LSTM,Stage2,4,1.0997,0.0033,0.3333,0.0065,1.0982
LSTM,Stage2,5,1.0992,0.0688,0.3383,0.0941,1.0983
LSTM,Stage2,6,1.0992,0.3388,0.332,0.3217,1.0987
LSTM,Stage2,7,1.099,0.0033,0.3333,0.0065,1.0982
LSTM,Stage2,8,1.0991,0.3382,0.3459,0.2546,1.0984
