Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Stage2,15,0.001,0.9971,0.9999,0.9985,0.0011
LSTM,Stage2,16,0.0011,0.9971,0.9999,0.9985,0.0012
LSTM,Stage2,17,0.0009,0.9971,0.9999,0.9985,0.0011
LSTM,Stage2,18,0.0012,0.9971,0.9999,0.9985,0.0012
LSTM,Stage2,19,0.0008,0.9971,0.9999,0.9985,0.001
LSTM,Stage2,20,0.0309,0.996,0.9956,0.9958,0.0147
LSTM,Stage2,21,0.0068,0.9969,0.9994,0.9982,0.0025
LSTM,Stage2,22,0.0024,0.997,0.9996,0.9983,0.0015
LSTM,Stage2,23,0.0015,0.9963,0.9966,0.9964,0.0121
LSTM,Stage2,24,0.0011,0.997,0.9996,0.9983,0.0017
LSTM,Stage2,25,0.0009,0.9969,0.9994,0.9982,0.002
LSTM,Stage2,26,0.0009,0.9969,0.9994,0.9982,0.0016
LSTM,Stage2,27,0.0008,0.9969,0.9991,0.998,0.0019
LSTM,Stage2,28,0.0008,0.9969,0.9991,0.998,0.0022
LSTM,Stage2,29,0.0007,0.9969,0.9991,0.998,0.0022
MAMBA,Joint,1,0.5779,0.9184,0.9696,0.9426,0.0938
MAMBA,Joint,2,0.0662,0.9767,0.9854,0.981,0.0421
MAMBA,Joint,3,0.037,0.9662,0.9911,0.9782,0.0319
MAMBA,Joint,4,0.0291,0.9857,0.9957,0.9907,0.0285
MAMBA,Joint,5,0.0246,0.9906,0.9964,0.9935,0.0242
MAMBA,Joint,6,0.0265,0.9589,0.9928,0.9755,0.043
MAMBA,Joint,7,0.0205,0.993,0.9974,0.9952,0.0148
MAMBA,Joint,8,0.0203,0.9885,0.9966,0.9925,0.0179
MAMBA,Joint,9,0.0181,0.992,0.9977,0.9949,0.019
MAMBA,Joint,10,0.0356,0.9505,0.9853,0.9661,0.0397
MAMBA,Joint,11,0.0168,0.9913,0.9981,0.9947,0.0149
MAMBA,Joint,12,0.0136,0.9936,0.9977,0.9956,0.014
MAMBA,Joint,13,0.0125,0.9787,0.9994,0.9889,0.0244
MAMBA,Joint,14,0.0138,0.9927,0.9979,0.9953,0.012
MAMBA,Joint,15,0.0144,0.9909,0.998,0.9944,0.0158
MAMBA,Joint,16,0.0114,0.9629,0.9995,0.9803,0.0358
MAMBA,Joint,17,0.0137,0.9917,0.9982,0.995,0.0117
MAMBA,Joint,18,0.0115,0.9953,0.9979,0.9966,0.0127
MAMBA,Joint,19,0.0279,0.9787,0.9931,0.9858,0.022
MAMBA,Joint,20,0.0129,0.9941,0.9978,0.996,0.0107
MAMBA,Joint,21,0.0103,0.9943,0.9982,0.9962,0.0137
MAMBA,Joint,22,0.0098,0.9948,0.9982,0.9965,0.009
MAMBA,Joint,23,0.0115,0.9912,0.9982,0.9947,0.0149
MAMBA,Joint,24,0.0106,0.9926,0.9981,0.9954,0.0143
MAMBA,Joint,25,0.0097,0.9906,0.9967,0.9936,0.0173
MAMBA,Joint,26,0.0093,0.9934,0.9982,0.9958,0.0147
MAMBA,Joint,27,0.0278,0.9946,0.9977,0.9961,0.0121
MAMBA,Joint,28,0.0104,0.9962,0.9981,0.9972,0.0111
MAMBA,Joint,29,0.0081,0.9931,0.9982,0.9956,0.0121
MAMBA,Joint,30,0.0076,0.995,0.9982,0.9966,0.0108
MAMBA,Joint,31,0.0076,0.9944,0.9982,0.9963,0.0106
MAMBA,Joint,32,0.0074,0.9955,0.9982,0.9968,0.0099
MAMBA,Stage1,1,0.1837,0.9847,0.9961,0.9903,0.0335
MAMBA,Stage1,2,0.044,0.9854,0.9961,0.9907,0.0228
MAMBA,Stage1,3,0.0369,0.9866,0.9955,0.991,0.017
MAMBA,Stage1,4,0.0326,0.9876,0.9958,0.9917,0.0276
MAMBA,Stage1,5,0.0288,0.9909,0.9955,0.9932,0.017
MAMBA,Stage1,6,0.0269,0.9945,0.9958,0.9951,0.0142
MAMBA,Stage1,7,0.0241,0.9959,0.9959,0.9959,0.0106
MAMBA,Stage1,8,0.0217,0.9977,0.9961,0.9969,0.0147
MAMBA,Stage1,9,0.0208,0.9991,0.9961,0.9976,0.0112
MAMBA,Stage1,10,0.0189,0.9996,0.9961,0.9978,0.0116
MAMBA,Stage1,11,0.0171,0.9996,0.9949,0.9972,0.0117
MAMBA,Stage1,12,0.016,0.9999,0.9942,0.997,0.0109
MAMBA,Stage1,13,0.0179,0.9997,0.9959,0.9978,0.0118
MAMBA,Stage1,14,0.014,0.9999,0.9943,0.9971,0.0122
MAMBA,Stage1,15,0.0134,1.0,0.9941,0.997,0.0101
MAMBA,Stage1,16,0.0129,1.0,0.9948,0.9974,0.0086
MAMBA,Stage1,17,0.0143,0.999,0.9961,0.9975,0.0092
MAMBA,Stage1,18,0.0126,0.999,0.9961,0.9975,0.0101
MAMBA,Stage1,19,0.0132,0.9997,0.9961,0.9979,0.0085
MAMBA,Stage1,20,0.0126,0.9997,0.9961,0.9979,0.0089
MAMBA,Stage1,21,0.0124,0.9996,0.9961,0.9978,0.008
MAMBA,Stage1,22,0.0119,0.9996,0.9961,0.9978,0.0095
MAMBA,Stage1,23,0.0122,0.9997,0.9961,0.9979,0.0093
MAMBA,Stage1,24,0.0115,0.9993,0.9961,0.9977,0.0077
MAMBA,Stage1,25,0.0115,0.9996,0.9961,0.9978,0.01
MAMBA,Stage1,26,0.0111,0.9996,0.9961,0.9978,0.0079
MAMBA,Stage1,27,0.0111,0.999,0.9961,0.9975,0.0109
MAMBA,Stage1,28,0.0108,0.9994,0.9951,0.9972,0.0094
MAMBA,Stage1,29,0.0115,0.9946,0.9961,0.9954,0.0107
MAMBA,Stage1,30,0.0096,0.9991,0.9941,0.9966,0.0114
MAMBA,Stage1,31,0.0099,0.9987,0.9943,0.9965,0.0091
MAMBA,Stage1,32,0.0093,0.9991,0.9939,0.9965,0.0117
MAMBA,Stage1,33,0.0093,0.9987,0.9938,0.9962,0.0149
MAMBA,Stage1,34,0.009,0.9988,0.9933,0.9961,0.0144
MAMBA,Stage2,1,0.596,0.9077,0.9681,0.9353,0.112
MAMBA,Stage2,2,0.0512,0.9909,0.9938,0.9924,0.0196
MAMBA,Stage2,3,0.012,0.9939,0.9987,0.9963,0.0069
MAMBA,Stage2,4,0.0061,0.9954,0.997,0.9962,0.0068
MAMBA,Stage2,5,0.0075,0.9961,0.9978,0.997,0.0078
MAMBA,Stage2,6,0.0037,0.9973,0.9996,0.9985,0.0031
MAMBA,Stage2,7,0.0023,0.9961,0.9977,0.9969,0.0075
MAMBA,Stage2,8,0.0027,0.9965,0.9994,0.998,0.0039
MAMBA,Stage2,9,0.0059,0.9874,0.9972,0.9922,0.008
MAMBA,Stage2,10,0.0043,0.9976,0.9981,0.9978,0.0058
MAMBA,Stage2,11,0.0033,0.9973,0.9996,0.9985,0.0024
MAMBA,Stage2,12,0.002,0.9978,0.9997,0.9988,0.0017
MAMBA,Stage2,13,0.0015,0.998,0.9998,0.9989,0.0016
MAMBA,Stage2,14,0.0037,0.9973,0.9996,0.9985,0.0027
MAMBA,Stage2,15,0.0028,0.9978,0.9988,0.9983,0.0046
MAMBA,Stage2,16,0.0014,0.9978,0.9988,0.9983,0.0039
MAMBA,Stage2,17,0.0112,0.9975,0.9973,0.9974,0.0094
MAMBA,Stage2,18,0.0051,0.9962,0.9991,0.9977,0.0039
MAMBA,Stage2,19,0.0015,0.9975,0.9997,0.9986,0.0024
MAMBA,Stage2,20,0.0009,0.9973,0.9996,0.9985,0.0023
MAMBA,Stage2,21,0.0009,0.9978,0.9997,0.9988,0.0023
MAMBA,Stage2,22,0.0006,0.998,0.9998,0.9989,0.0021
MAMBA,Stage2,23,0.0006,0.998,0.9998,0.9989,0.002
