Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.4562,0.7644,0.5714,225
Decision Trees (LightGBM),chemical,0.3622,0.2044,0.2614,225
Decision Trees (LightGBM),electric,0.3537,0.36,0.3568,225
Decision Trees (LightGBM),impulsive,0.485,0.36,0.4133,225
Decision Trees (LightGBM),macro_avg,0.4143,0.4222,0.4007,900
Decision Trees (LightGBM),weighted_avg,0.4143,0.4222,0.4007,900
Decision Trees (LightGBM),t_no_thrust,172.0,5.0,46.0,2
Decision Trees (LightGBM),t_chemical,56.0,46.0,56.0,67
Decision Trees (LightGBM),t_electric,105.0,22.0,81.0,17
Decision Trees (LightGBM),t_impulsive,44.0,54.0,46.0,81
MiniRocket,no_thrust,0.9783,1.0,0.989,225
MiniRocket,chemical,1.0,1.0,1.0,225
MiniRocket,electric,1.0,0.9778,0.9888,225
MiniRocket,impulsive,1.0,1.0,1.0,225
MiniRocket,macro_avg,0.9946,0.9944,0.9944,900
MiniRocket,weighted_avg,0.9946,0.9944,0.9944,900
MiniRocket,t_no_thrust,225.0,0.0,0.0,0
MiniRocket,t_chemical,0.0,225.0,0.0,0
MiniRocket,t_electric,5.0,0.0,220.0,0
MiniRocket,t_impulsive,0.0,0.0,0.0,225
LSTM,no_thrust,0.2977,0.5067,0.375,225
LSTM,chemical,0.3012,0.1111,0.1623,225
LSTM,electric,0.2727,0.0533,0.0892,225
LSTM,impulsive,0.2872,0.4978,0.3642,225
LSTM,macro_avg,0.2897,0.2922,0.2477,900
LSTM,weighted_avg,0.2897,0.2922,0.2477,900
LSTM,t_no_thrust,114.0,21.0,11.0,79
LSTM,t_chemical,86.0,25.0,10.0,104
LSTM,t_electric,104.0,14.0,12.0,95
LSTM,t_impulsive,79.0,23.0,11.0,112
Mamba,no_thrust,0.6794,0.8667,0.7617,225
Mamba,chemical,0.4239,0.3467,0.3814,225
Mamba,electric,0.5792,0.52,0.548,225
Mamba,impulsive,0.4934,0.4978,0.4956,225
Mamba,macro_avg,0.544,0.5578,0.5467,900
Mamba,weighted_avg,0.544,0.5578,0.5467,900
Mamba,t_no_thrust,195.0,6.0,19.0,5
Mamba,t_chemical,18.0,78.0,40.0,89
Mamba,t_electric,59.0,28.0,117.0,21
Mamba,t_impulsive,15.0,72.0,26.0,112
Transformer,no_thrust,0.9139,0.9911,0.951,225
Transformer,chemical,0.55,0.44,0.4889,225
Transformer,electric,0.8511,0.8889,0.8696,225
Transformer,impulsive,0.61,0.6533,0.6309,225
Transformer,macro_avg,0.7312,0.7433,0.7351,900
Transformer,weighted_avg,0.7312,0.7433,0.7351,900
Transformer,t_no_thrust,223.0,1.0,1.0,0
Transformer,t_chemical,2.0,99.0,32.0,92
Transformer,t_electric,13.0,10.0,200.0,2
Transformer,t_impulsive,6.0,70.0,2.0,147
1D-CNN (InceptionTime),no_thrust,0.8664,0.8933,0.8796,225
1D-CNN (InceptionTime),chemical,0.8879,0.9156,0.9015,225
1D-CNN (InceptionTime),electric,0.8664,0.8933,0.8796,225
1D-CNN (InceptionTime),impulsive,0.9314,0.8444,0.8858,225
1D-CNN (InceptionTime),macro_avg,0.888,0.8867,0.8867,900
1D-CNN (InceptionTime),weighted_avg,0.888,0.8867,0.8867,900
1D-CNN (InceptionTime),t_no_thrust,201.0,1.0,22.0,1
1D-CNN (InceptionTime),t_chemical,3.0,206.0,5.0,11
1D-CNN (InceptionTime),t_electric,18.0,4.0,201.0,2
1D-CNN (InceptionTime),t_impulsive,10.0,21.0,4.0,190
