Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.4401,79.67
LSTM,2,0.1044,98.0
LSTM,3,0.0478,98.56
LSTM,4,0.0672,98.44
LSTM,5,0.0334,99.33
LSTM,6,0.0365,99.0
LSTM,7,0.0287,99.33
LSTM,8,0.0246,99.44
LSTM,9,0.0247,99.44
LSTM,10,0.0472,98.78
LSTM,11,0.0358,99.33
LSTM,12,0.0254,99.56
LSTM,13,0.0218,99.67
LSTM,14,0.0231,99.56
LSTM,15,0.0228,99.67
LSTM,16,0.0881,97.89
LSTM,17,0.0196,99.56
LSTM,18,0.0189,99.56
LSTM,19,0.0156,99.67
LSTM,20,0.0112,99.78
LSTM,21,0.0232,99.67
LSTM,22,0.0192,99.67
LSTM,23,0.0133,99.67
LSTM,24,0.014,99.78
LSTM,25,0.016,99.67
LSTM,26,0.0125,99.67
LSTM,27,0.0102,99.67
LSTM,28,0.0086,99.78
LSTM,29,0.0085,99.78
LSTM,30,0.0086,99.78
LSTM,31,0.0108,99.78
LSTM,32,0.0113,99.78
LSTM,33,0.0135,99.78
LSTM,34,0.0137,99.78
LSTM,35,0.013,99.78
LSTM,36,0.0138,99.78
LSTM,37,0.0128,99.78
LSTM,38,0.0129,99.78
LSTM,39,0.0129,99.78
Mamba,1,0.8761,57.78
Mamba,2,0.3247,88.0
Mamba,3,0.1409,96.56
Mamba,4,0.1171,97.56
Mamba,5,0.088,98.33
Mamba,6,0.0711,98.56
Mamba,7,0.0608,98.78
Mamba,8,0.1194,97.33
Mamba,9,0.0907,99.0
Mamba,10,0.1247,98.67
Mamba,11,0.126,98.89
Mamba,12,0.1235,98.78
Mamba,13,0.1255,99.0
Mamba,14,0.1421,98.89
Mamba,15,0.1434,98.78
Mamba,16,0.1404,99.11
Mamba,17,0.1542,99.0
Transformer,1,0.1034,96.11
Transformer,2,0.3152,86.56
Transformer,3,0.056,98.22
Transformer,4,0.0379,99.33
Transformer,5,0.0175,99.78
Transformer,6,0.0123,99.78
Transformer,7,0.0227,99.44
Transformer,8,0.0122,99.78
Transformer,9,0.0148,99.78
Transformer,10,0.008,99.78
Transformer,11,0.0092,99.78
Transformer,12,0.0093,99.78
Transformer,13,0.0087,99.78
Transformer,14,0.014,99.78
Transformer,15,0.0069,99.89
Transformer,16,0.0077,99.89
Transformer,17,0.0073,99.89
Transformer,18,0.0075,99.89
Transformer,19,0.0112,99.89
Transformer,20,0.0079,99.78
Transformer,21,0.0069,99.89
Transformer,22,0.0178,99.89
Transformer,23,0.0072,99.89
Transformer,24,0.0064,99.89
Transformer,25,0.0066,99.89
Transformer,26,0.0068,99.89
Transformer,27,0.0064,99.89
Transformer,28,0.0064,99.89
Transformer,29,0.017,99.44
Transformer,30,0.0092,99.89
Transformer,31,0.0066,99.89
Transformer,32,0.0103,99.89
Transformer,33,0.009,99.89
Transformer,34,0.0077,99.89
Transformer,35,0.0068,99.89
Transformer,36,0.0065,99.89
Transformer,37,0.0066,99.89
1D-CNN (InceptionTime),1,0.0624,98.44
1D-CNN (InceptionTime),2,0.0431,98.78
1D-CNN (InceptionTime),3,0.0368,99.22
1D-CNN (InceptionTime),4,0.0205,99.56
1D-CNN (InceptionTime),5,0.0412,98.67
1D-CNN (InceptionTime),6,0.0228,99.56
1D-CNN (InceptionTime),7,0.0295,99.22
1D-CNN (InceptionTime),8,0.0194,99.56
1D-CNN (InceptionTime),9,0.0196,99.56
1D-CNN (InceptionTime),10,0.0202,99.56
1D-CNN (InceptionTime),11,0.0185,99.56
1D-CNN (InceptionTime),12,0.0187,99.67
1D-CNN (InceptionTime),13,0.0213,99.56
1D-CNN (InceptionTime),14,0.0133,99.67
1D-CNN (InceptionTime),15,0.0142,99.67
1D-CNN (InceptionTime),16,0.0137,99.56
1D-CNN (InceptionTime),17,0.0216,99.56
1D-CNN (InceptionTime),18,0.0153,99.56
1D-CNN (InceptionTime),19,0.0293,99.44
1D-CNN (InceptionTime),20,0.0159,99.56
1D-CNN (InceptionTime),21,0.0181,99.56
1D-CNN (InceptionTime),22,0.0156,99.56
1D-CNN (InceptionTime),23,0.0131,99.67
1D-CNN (InceptionTime),24,0.0165,99.56
1D-CNN (InceptionTime),25,0.0221,99.56
1D-CNN (InceptionTime),26,0.0119,99.67
1D-CNN (InceptionTime),27,0.0134,99.56
1D-CNN (InceptionTime),28,0.0244,99.56
1D-CNN (InceptionTime),29,0.039,98.56
1D-CNN (InceptionTime),30,0.015,99.67
1D-CNN (InceptionTime),31,0.0233,99.56
1D-CNN (InceptionTime),32,0.0172,99.67
1D-CNN (InceptionTime),33,0.0163,99.56
1D-CNN (InceptionTime),34,0.0138,99.56
1D-CNN (InceptionTime),35,0.0174,99.56
1D-CNN (InceptionTime),36,0.0152,99.56
