Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,50.98,0.2506,0.5409,0.0007,0.9716,45.37,0.1972,0.5023,0.0,20.82,2.4678,57.53,0.5425,16.71,0.1366,-5.609999999999999,-0.0534,Joint,Joint
LSTM,32.47,0.2099,0.3855,0.0437,0.1759,47.88,0.2664,0.5409,0.0444,52.14,0.7824,55.87,0.5353,42.59,0.3,15.410000000000004,0.05650000000000002,Cascade,Cascade
LightGBM,72.56,0.2103,0.6103,0.0,0.0474,74.59,0.2136,0.6374,0.0,,0.5496,74.59,0.4272,77.06,0.2901,2.030000000000001,0.003300000000000025,Cascade,Cascade
MAMBA,41.27,0.2335,0.4655,0.0385,0.2342,39.21,0.2307,0.4848,0.1873,28.69,0.9088,52.48,0.5135,26.18,0.2255,-2.0600000000000023,-0.0028000000000000247,Joint,Joint
MiniRocket,74.66,0.2213,0.6391,0.0,,74.95,0.2534,0.6467,0.0,93.65,0.4718,74.98,0.4461,82.71,0.4659,0.29000000000000625,0.03210000000000002,Cascade,Cascade
TRANSFORMER,26.87,0.1931,0.3657,0.1869,0.0846,46.38,0.2437,0.5374,0.1591,28.94,0.6788,57.36,0.5415,21.01,0.1949,19.51,0.050600000000000006,Cascade,Cascade
