Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3886,0.015,0.3304,0.0044,1.3894
LSTM,Joint,2,1.3873,0.0832,0.2287,0.0477,1.3837
LSTM,Joint,3,1.3867,0.0865,0.2386,0.1193,1.385
LSTM,Joint,4,1.3861,0.0692,0.2811,0.1111,1.3827
LSTM,Joint,5,1.386,0.0829,0.2558,0.1151,1.3852
LSTM,Joint,6,1.3854,0.0868,0.0855,0.0557,1.3743
LSTM,Joint,7,1.383,0.0904,0.327,0.1319,1.3922
LSTM,Joint,8,1.3797,0.064,0.3021,0.0351,1.3787
LSTM,Joint,9,1.3752,0.0896,0.3095,0.0881,1.378
LSTM,Joint,10,1.3713,0.0869,0.3011,0.0859,1.3773
LSTM,Joint,11,1.3641,0.0902,0.2747,0.0553,1.3578
LSTM,Joint,12,1.362,0.1003,0.2699,0.1231,1.3556
LSTM,Joint,13,1.36,0.0945,0.2982,0.1184,1.3686
LSTM,Joint,14,1.3599,0.0989,0.2863,0.089,1.359
LSTM,Joint,15,1.3594,0.083,0.2993,0.062,1.3645
LSTM,Joint,16,1.3571,0.0212,0.288,0.0391,1.3607
LSTM,Joint,17,1.3569,0.0857,0.2921,0.0702,1.3628
LSTM,Joint,18,1.356,0.0916,0.2812,0.0924,1.3583
LSTM,Joint,19,1.354,0.0924,0.2707,0.0782,1.3542
LSTM,Joint,20,1.3535,0.0915,0.2825,0.0893,1.3615
LSTM,Joint,21,1.3523,0.0941,0.2731,0.1116,1.3617
LSTM,Joint,22,1.352,0.0929,0.2626,0.0711,1.3587
LSTM,Joint,23,1.352,0.0849,0.2818,0.0448,1.3617
LSTM,Joint,24,1.3508,0.0949,0.2688,0.0841,1.3573
LSTM,Joint,25,1.3501,0.0923,0.2831,0.0873,1.362
LSTM,Joint,26,1.3487,0.0911,0.2753,0.0772,1.3597
LSTM,Joint,27,1.3481,0.091,0.2787,0.0662,1.3615
LSTM,Joint,28,1.3482,0.0877,0.2795,0.0561,1.3636
LSTM,Joint,29,1.347,0.0944,0.2696,0.0806,1.3589
