model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,81,71,0.0264,0.0302,0.9911,0.9898,50500.0,0.385284423828125,189.5662,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LSTM,Stage1,cascade,87,76,0.0345,0.0356,0.9795,0.9784,50402.0,0.3845367431640625,203.1354,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LSTM,Stage2,cascade,38,27,0.0007,0.0007,1.0,1.0,50451.0,0.38491058349609375,88.4138,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Joint,joint,75,65,0.28,0.3003,0.843,0.8192,17044.0,0.130035400390625,260.5746,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Stage1,cascade,86,76,0.1443,0.1611,0.9221,0.9221,16786.0,0.1280670166015625,297.7879,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Stage2,cascade,63,53,0.0668,0.069,0.9793,0.9785,16915.0,0.12905120849609375,209.5853,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Joint,joint,100,100,0.019,0.019,0.9766,0.9716,288196.0,2.198760986328125,133.4727,False,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Stage1,cascade,70,60,0.0132,0.018,0.9962,0.9962,288066.0,2.1977691650390625,92.3409,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Stage2,cascade,81,61,0.0001,0.0001,1.0,1.0,288131.0,2.1982650756835938,105.7298,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Joint,joint,20,10,0.0157,0.0411,0.9979,0.9838,473092.0,3.609405517578125,155.2976,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Stage1,cascade,28,18,0.0127,0.0151,0.996,0.9959,472834.0,3.6074371337890625,217.4092,True,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Stage2,cascade,100,16,0.0,0.0,1.0,1.0,472963.0,3.6084213256835938,764.6956,False,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Joint,joint,0,-1,,,,,,0.40396595001220703,0.8075,False,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20476245880126953,0.489,False,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.3059701919555664,0.2794,False,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0857,,False,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0485,,False,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0671,7.0724,False,0,30min1500Energy_J2Energy_OE_EvalTest_Seed2,geo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed2.log
