Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,99.16,0.9896,0.9916,0.9857,1.1155,99.21,0.9894,0.9921,0.9773,99.62,2.7522,99.3,0.9908,99.62,0.994,0.04999999999999716,-0.000200000000000089,Cascade,Joint
LSTM,99.41,0.9941,0.994,0.9821,0.5404,99.55,0.9939,0.9955,0.9786,99.75,1.5807,99.62,0.9949,99.74,0.9973,0.14000000000000057,-0.00019999999999997797,Cascade,Joint
LightGBM,99.44,0.9872,0.9944,0.9738,0.1501,99.24,0.9909,0.9924,0.9629,99.99,0.6737,99.25,0.9899,99.99,0.9985,-0.20000000000000284,0.0037000000000000366,Joint,Cascade
MAMBA,98.7,0.9816,0.987,0.968,0.5919,99.21,0.987,0.9921,0.9751,99.34,1.605,99.37,0.9917,99.35,0.9912,0.5099999999999909,0.00539999999999996,Cascade,Cascade
MiniRocket,99.33,0.9722,0.9932,0.8489,,99.39,0.9885,0.9938,0.9556,99.95,0.568,99.4,0.992,99.94,0.9935,0.060000000000002274,0.016300000000000092,Cascade,Cascade
TRANSFORMER,99.57,0.9966,0.9957,0.9918,0.2303,99.19,0.993,0.9919,0.9794,100.0,0.9069,99.19,0.9893,100.0,1.0,-0.37999999999999545,-0.0036000000000000476,Joint,Joint
