Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
MAMBA,Joint,10,1.28,0.1171,0.3248,0.103,1.2718
MAMBA,Joint,11,1.2788,0.1146,0.3434,0.1382,1.2875
MAMBA,Joint,12,1.2761,0.1171,0.3451,0.1391,1.2862
MAMBA,Joint,13,1.2747,0.1161,0.3314,0.1364,1.2799
MAMBA,Joint,14,1.2745,0.1162,0.3229,0.1341,1.2785
MAMBA,Joint,15,1.2729,0.1136,0.3363,0.1198,1.2888
MAMBA,Joint,16,1.2727,0.1138,0.3348,0.1398,1.2861
MAMBA,Joint,17,1.2682,0.1148,0.3265,0.1365,1.2792
MAMBA,Joint,18,1.2678,0.1143,0.3319,0.1275,1.2833
MAMBA,Joint,19,1.2662,0.1128,0.3365,0.128,1.291
MAMBA,Joint,20,1.2665,0.1123,0.3363,0.121,1.2906
MAMBA,Stage1,1,0.6898,0.3369,0.7579,0.4665,0.6842
MAMBA,Stage1,2,0.6567,0.3509,0.7084,0.4693,0.6339
MAMBA,Stage1,3,0.6245,0.346,0.7955,0.4823,0.6306
MAMBA,Stage1,4,0.6087,0.3451,0.8211,0.486,0.6157
MAMBA,Stage1,5,0.6005,0.3441,0.8117,0.4833,0.6074
MAMBA,Stage1,6,0.596,0.3344,0.9155,0.4898,0.6279
MAMBA,Stage1,7,0.5939,0.3475,0.7942,0.4835,0.6012
MAMBA,Stage1,8,0.5929,0.342,0.8715,0.4912,0.6107
MAMBA,Stage1,9,0.5926,0.3381,0.8962,0.491,0.612
MAMBA,Stage1,10,0.5913,0.3401,0.883,0.4911,0.6095
MAMBA,Stage1,11,0.5905,0.3403,0.8886,0.4921,0.6079
MAMBA,Stage1,12,0.5903,0.3383,0.8967,0.4912,0.6095
MAMBA,Stage1,13,0.5904,0.344,0.8501,0.4898,0.6023
MAMBA,Stage1,14,0.5888,0.3387,0.8787,0.489,0.6053
MAMBA,Stage1,15,0.5887,0.3368,0.9009,0.4904,0.6101
MAMBA,Stage1,16,0.5885,0.3393,0.8907,0.4914,0.608
MAMBA,Stage1,17,0.5881,0.3416,0.8582,0.4887,0.6029
MAMBA,Stage2,1,1.101,0.3384,0.3336,0.3129,1.0986
MAMBA,Stage2,2,1.0998,0.3442,0.3483,0.329,1.0983
MAMBA,Stage2,3,1.0993,0.347,0.3512,0.2877,1.0976
MAMBA,Stage2,4,1.0984,0.3506,0.3646,0.3361,1.0967
MAMBA,Stage2,5,1.0975,0.3448,0.3638,0.2952,1.0951
MAMBA,Stage2,6,1.096,0.353,0.3732,0.2882,1.0933
MAMBA,Stage2,7,1.094,0.3446,0.3684,0.2631,1.0917
MAMBA,Stage2,8,1.0919,0.3451,0.3655,0.2776,1.0911
MAMBA,Stage2,9,1.0923,0.3449,0.3662,0.2857,1.0918
MAMBA,Stage2,10,1.0906,0.344,0.3692,0.2777,1.0908
MAMBA,Stage2,11,1.0891,0.3405,0.3672,0.2498,1.0911
MAMBA,Stage2,12,1.0884,0.3459,0.3713,0.2639,1.089
MAMBA,Stage2,13,1.0877,0.3494,0.3693,0.2623,1.0886
MAMBA,Stage2,14,1.0859,0.3494,0.3716,0.2563,1.0891
MAMBA,Stage2,15,1.0848,0.3444,0.3742,0.2423,1.0916
MAMBA,Stage2,16,1.0835,0.3464,0.3679,0.2656,1.0913
MAMBA,Stage2,17,1.0827,0.3431,0.3688,0.2521,1.0924
MAMBA,Stage2,18,1.0826,0.3432,0.3678,0.2483,1.0932
MAMBA,Stage2,19,1.0812,0.339,0.357,0.2668,1.0935
MAMBA,Stage2,20,1.0795,0.3449,0.3682,0.2521,1.0938
MAMBA,Stage2,21,1.0786,0.3435,0.368,0.2612,1.0951
MAMBA,Stage2,22,1.0786,0.3458,0.3681,0.2591,1.0956
