Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Stage2,4,0.166,0.9126,0.9395,0.9164,0.179
LSTM,Stage2,5,0.1619,0.9118,0.9388,0.9154,0.1833
LSTM,Stage2,6,0.1593,0.911,0.938,0.9145,0.1788
LSTM,Stage2,7,0.1605,0.9093,0.9358,0.9132,0.182
LSTM,Stage2,8,0.1606,0.9118,0.9388,0.9154,0.1757
LSTM,Stage2,9,0.1591,0.9118,0.9388,0.9154,0.1787
LSTM,Stage2,10,0.1579,0.8901,0.9056,0.8955,0.2902
LSTM,Stage2,11,0.1652,0.9118,0.9388,0.9154,0.1777
LSTM,Stage2,12,0.1579,0.9118,0.9388,0.9154,0.183
LSTM,Stage2,13,0.1576,0.911,0.938,0.9145,0.1799
LSTM,Stage2,14,0.1572,0.9118,0.9388,0.9154,0.1784
LSTM,Stage2,15,0.1547,0.9118,0.9388,0.9154,0.1801
LSTM,Stage2,16,0.1522,0.9106,0.9373,0.9143,0.1833
LSTM,Stage2,17,0.1549,0.9118,0.9388,0.9154,0.1826
LSTM,Stage2,18,0.1525,0.9118,0.9388,0.9154,0.1849
MAMBA,Joint,1,0.8032,0.6332,0.7859,0.6956,0.5331
MAMBA,Joint,2,0.4763,0.6515,0.8076,0.7174,0.4804
MAMBA,Joint,3,0.4174,0.6745,0.8295,0.7403,0.4512
MAMBA,Joint,4,0.3739,0.6935,0.8612,0.7626,0.4254
MAMBA,Joint,5,0.3415,0.7216,0.8571,0.7793,0.4077
MAMBA,Joint,6,0.3197,0.7127,0.8755,0.7769,0.4164
MAMBA,Joint,7,0.3004,0.6991,0.866,0.7694,0.4265
MAMBA,Joint,8,0.2923,0.7113,0.9008,0.7811,0.4384
MAMBA,Joint,9,0.2829,0.7452,0.8935,0.8006,0.4025
MAMBA,Joint,10,0.2745,0.7141,0.8907,0.7858,0.4016
MAMBA,Joint,11,0.2716,0.7437,0.8976,0.801,0.4002
MAMBA,Joint,12,0.2651,0.7578,0.89,0.8063,0.3835
MAMBA,Joint,13,0.2593,0.7543,0.8885,0.8061,0.3856
MAMBA,Joint,14,0.2581,0.7628,0.8996,0.8107,0.3954
MAMBA,Joint,15,0.2518,0.7491,0.8998,0.8066,0.382
MAMBA,Joint,16,0.2474,0.7589,0.8955,0.8093,0.3809
MAMBA,Joint,17,0.247,0.7459,0.9081,0.8027,0.4087
MAMBA,Joint,18,0.2407,0.7598,0.899,0.8099,0.386
MAMBA,Joint,19,0.2393,0.762,0.8984,0.811,0.3841
MAMBA,Joint,20,0.2387,0.7583,0.8804,0.8052,0.3747
MAMBA,Joint,21,0.2354,0.7499,0.9039,0.8068,0.4013
MAMBA,Joint,22,0.2346,0.7307,0.9055,0.8006,0.3936
MAMBA,Joint,23,0.2292,0.7659,0.8983,0.8144,0.3758
MAMBA,Joint,24,0.2289,0.7595,0.9006,0.8118,0.4118
MAMBA,Joint,25,0.2265,0.771,0.8846,0.8139,0.3532
MAMBA,Joint,26,0.223,0.7659,0.8801,0.8098,0.3818
MAMBA,Joint,27,0.2224,0.7628,0.8763,0.8087,0.354
MAMBA,Joint,28,0.2218,0.7519,0.9034,0.8086,0.3927
MAMBA,Joint,29,0.2174,0.7671,0.8943,0.8141,0.3862
MAMBA,Joint,30,0.2135,0.7566,0.8748,0.8041,0.3963
MAMBA,Joint,31,0.2135,0.7624,0.8729,0.8065,0.3736
MAMBA,Joint,32,0.2034,0.76,0.8914,0.8092,0.3981
MAMBA,Joint,33,0.198,0.7647,0.8831,0.8101,0.3966
MAMBA,Joint,34,0.1992,0.7612,0.8918,0.8101,0.4037
MAMBA,Joint,35,0.1961,0.7621,0.8787,0.8074,0.397
MAMBA,Stage1,1,0.533,0.6322,0.7616,0.6909,0.4345
MAMBA,Stage1,2,0.4411,0.6765,0.759,0.7154,0.4006
MAMBA,Stage1,3,0.3942,0.7291,0.7487,0.7388,0.3417
MAMBA,Stage1,4,0.3497,0.7393,0.7697,0.7542,0.3032
MAMBA,Stage1,5,0.3071,0.7786,0.7962,0.7873,0.2646
MAMBA,Stage1,6,0.2663,0.7068,0.8639,0.7775,0.2627
MAMBA,Stage1,7,0.2428,0.6992,0.8844,0.7809,0.2573
MAMBA,Stage1,8,0.2284,0.7115,0.8741,0.7845,0.2456
MAMBA,Stage1,9,0.2229,0.7353,0.8574,0.7917,0.2369
MAMBA,Stage1,10,0.219,0.7122,0.8921,0.7921,0.2407
MAMBA,Stage1,11,0.2135,0.7237,0.8947,0.8002,0.2357
MAMBA,Stage1,12,0.2107,0.7495,0.8784,0.8088,0.2257
MAMBA,Stage1,13,0.2065,0.7694,0.86,0.8122,0.2188
MAMBA,Stage1,14,0.2027,0.7604,0.8707,0.8118,0.2218
MAMBA,Stage1,15,0.2108,0.7627,0.8639,0.8101,0.2185
MAMBA,Stage1,16,0.2043,0.7557,0.8793,0.8128,0.2162
MAMBA,Stage1,17,0.1951,0.7622,0.8673,0.8114,0.2181
MAMBA,Stage1,18,0.1946,0.7291,0.9054,0.8077,0.23
MAMBA,Stage1,19,0.1903,0.7265,0.9097,0.8078,0.2295
MAMBA,Stage1,20,0.1899,0.7709,0.8686,0.8168,0.2184
MAMBA,Stage1,21,0.1877,0.7494,0.8934,0.8151,0.2168
MAMBA,Stage1,22,0.1855,0.7461,0.8943,0.8135,0.2163
MAMBA,Stage1,23,0.1784,0.7607,0.8887,0.8197,0.2128
MAMBA,Stage1,24,0.1768,0.7416,0.902,0.814,0.222
MAMBA,Stage1,25,0.1759,0.7468,0.9041,0.818,0.2165
MAMBA,Stage1,26,0.1751,0.7548,0.8921,0.8177,0.2137
MAMBA,Stage1,27,0.1739,0.7569,0.9011,0.8227,0.2176
MAMBA,Stage1,28,0.1732,0.7548,0.8908,0.8172,0.2176
MAMBA,Stage1,29,0.1716,0.7694,0.89,0.8253,0.2154
MAMBA,Stage1,30,0.1677,0.7604,0.8926,0.8212,0.2153
MAMBA,Stage1,31,0.1667,0.7588,0.8943,0.821,0.2187
MAMBA,Stage1,32,0.1667,0.7499,0.9024,0.8191,0.2231
MAMBA,Stage1,33,0.1651,0.7609,0.8908,0.8207,0.2196
MAMBA,Stage2,1,0.5865,0.8535,0.8589,0.8561,0.3234
MAMBA,Stage2,2,0.2448,0.8929,0.9184,0.896,0.2397
MAMBA,Stage2,3,0.2008,0.8956,0.9165,0.9017,0.2158
MAMBA,Stage2,4,0.1864,0.906,0.9326,0.9106,0.2059
MAMBA,Stage2,5,0.1762,0.9038,0.929,0.9091,0.2021
MAMBA,Stage2,6,0.17,0.9096,0.9371,0.9139,0.1946
MAMBA,Stage2,7,0.1638,0.9009,0.926,0.906,0.2035
MAMBA,Stage2,8,0.1622,0.9035,0.9283,0.909,0.2021
MAMBA,Stage2,9,0.1598,0.9104,0.9379,0.9149,0.1917
MAMBA,Stage2,10,0.1563,0.894,0.9182,0.9003,0.2097
MAMBA,Stage2,11,0.1583,0.906,0.9326,0.9106,0.206
MAMBA,Stage2,12,0.1525,0.9101,0.9371,0.9148,0.2009
MAMBA,Stage2,13,0.1507,0.9084,0.9356,0.9128,0.2001
MAMBA,Stage2,14,0.1517,0.9089,0.9356,0.9137,0.191
MAMBA,Stage2,15,0.1495,0.9104,0.9379,0.9149,0.199
MAMBA,Stage2,16,0.1488,0.9101,0.9371,0.9148,0.1975
MAMBA,Stage2,17,0.1472,0.9104,0.9384,0.9152,0.1998
MAMBA,Stage2,18,0.144,0.9064,0.9356,0.9123,0.2128
MAMBA,Stage2,19,0.1423,0.9003,0.9251,0.9063,0.2036
MAMBA,Stage2,20,0.1478,0.904,0.9321,0.9097,0.2046
MAMBA,Stage2,21,0.1344,0.9056,0.9336,0.9117,0.2159
MAMBA,Stage2,22,0.1305,0.9029,0.9263,0.9082,0.2209
MAMBA,Stage2,23,0.1285,0.9077,0.9353,0.9133,0.2265
MAMBA,Stage2,24,0.1275,0.8899,0.9122,0.8967,0.2257
TRANSFORMER,Joint,1,0.5618,0.6922,0.811,0.7462,0.4313
TRANSFORMER,Joint,2,0.3382,0.6496,0.7513,0.6223,0.4986
TRANSFORMER,Joint,3,0.3194,0.7741,0.8421,0.7875,0.3898
TRANSFORMER,Joint,4,0.2956,0.7785,0.8614,0.8048,0.35
TRANSFORMER,Joint,5,0.2822,0.8065,0.8579,0.8224,0.3259
TRANSFORMER,Joint,6,0.2929,0.7603,0.9033,0.8077,0.3524
TRANSFORMER,Joint,7,0.2884,0.7644,0.8997,0.8106,0.3559
TRANSFORMER,Joint,8,0.2826,0.7284,0.9295,0.7899,0.4189
TRANSFORMER,Joint,9,0.2838,0.7295,0.9339,0.7896,0.425
TRANSFORMER,Joint,10,0.271,0.7508,0.9296,0.8072,0.3793
TRANSFORMER,Joint,11,0.2735,0.7547,0.9063,0.8025,0.3567
TRANSFORMER,Joint,12,0.2567,0.783,0.8965,0.8223,0.3372
TRANSFORMER,Joint,13,0.2507,0.7585,0.9218,0.8116,0.3593
TRANSFORMER,Joint,14,0.2528,0.7615,0.9217,0.8143,0.3527
TRANSFORMER,Joint,15,0.2587,0.7771,0.8994,0.8185,0.3346
TRANSFORMER,Stage1,1,0.3678,0.6499,0.8938,0.7526,0.2905
TRANSFORMER,Stage1,2,0.2507,0.7006,0.9015,0.7885,0.255
TRANSFORMER,Stage1,3,0.2222,0.6976,0.9037,0.7874,0.2381
TRANSFORMER,Stage1,4,0.2166,0.703,0.9259,0.7992,0.2507
TRANSFORMER,Stage1,5,0.211,0.8376,0.8057,0.8213,0.2071
TRANSFORMER,Stage1,6,0.2078,0.7016,0.9199,0.7961,0.2317
TRANSFORMER,Stage1,7,0.2046,0.7947,0.8519,0.8223,0.1993
TRANSFORMER,Stage1,8,0.1988,0.6983,0.9384,0.8007,0.2206
TRANSFORMER,Stage1,9,0.199,0.8305,0.8262,0.8283,0.1941
TRANSFORMER,Stage1,10,0.2003,0.6773,0.9495,0.7906,0.2496
TRANSFORMER,Stage1,11,0.1947,0.6805,0.9521,0.7937,0.2347
TRANSFORMER,Stage1,12,0.1906,0.6918,0.9598,0.804,0.2241
TRANSFORMER,Stage1,13,0.1897,0.731,0.9328,0.8196,0.206
TRANSFORMER,Stage1,14,0.1875,0.7047,0.9461,0.8077,0.2215
TRANSFORMER,Stage1,15,0.1868,0.7923,0.8848,0.836,0.1892
TRANSFORMER,Stage1,16,0.1873,0.7094,0.9435,0.8098,0.2185
TRANSFORMER,Stage1,17,0.1788,0.6982,0.9469,0.8038,0.2477
TRANSFORMER,Stage1,18,0.1827,0.7413,0.9285,0.8244,0.2039
TRANSFORMER,Stage1,19,0.1779,0.7119,0.9491,0.8136,0.2057
TRANSFORMER,Stage1,20,0.1792,0.7196,0.9491,0.8185,0.2139
TRANSFORMER,Stage1,21,0.1748,0.7214,0.9435,0.8177,0.2071
TRANSFORMER,Stage1,22,0.1637,0.7262,0.9538,0.8246,0.2
TRANSFORMER,Stage1,23,0.1633,0.7342,0.9426,0.8255,0.1937
TRANSFORMER,Stage1,24,0.1613,0.7682,0.9238,0.8389,0.1824
TRANSFORMER,Stage1,25,0.1596,0.7388,0.9516,0.8318,0.1951
TRANSFORMER,Stage1,26,0.1584,0.7162,0.9679,0.8232,0.1971
TRANSFORMER,Stage1,27,0.1583,0.758,0.9426,0.8403,0.1836
TRANSFORMER,Stage1,28,0.1574,0.7702,0.9366,0.8453,0.1801
TRANSFORMER,Stage1,29,0.1547,0.7535,0.9486,0.8399,0.191
TRANSFORMER,Stage1,30,0.1551,0.7473,0.9482,0.8358,0.1899
TRANSFORMER,Stage1,31,0.1532,0.8003,0.9075,0.8506,0.1802
TRANSFORMER,Stage1,32,0.1529,0.7244,0.97,0.8294,0.2078
TRANSFORMER,Stage1,33,0.1525,0.7464,0.9461,0.8344,0.1914
TRANSFORMER,Stage1,34,0.1547,0.7465,0.9516,0.8367,0.1972
TRANSFORMER,Stage1,35,0.1466,0.7495,0.9465,0.8365,0.196
TRANSFORMER,Stage1,36,0.1433,0.7721,0.9384,0.8471,0.1881
TRANSFORMER,Stage1,37,0.1444,0.7729,0.9354,0.8464,0.1835
TRANSFORMER,Stage1,38,0.1425,0.7385,0.9551,0.8329,0.2009
TRANSFORMER,Stage2,1,0.4108,0.9001,0.9261,0.903,0.2328
TRANSFORMER,Stage2,2,0.23,0.8913,0.9177,0.8897,0.2265
TRANSFORMER,Stage2,3,0.2149,0.9003,0.9274,0.9007,0.2154
TRANSFORMER,Stage2,4,0.2155,0.8868,0.9125,0.8863,0.2135
TRANSFORMER,Stage2,5,0.2016,0.8787,0.8987,0.8835,0.3205
TRANSFORMER,Stage2,6,0.2126,0.9041,0.9306,0.9072,0.1869
TRANSFORMER,Stage2,7,0.1937,0.8879,0.9138,0.8831,0.2302
TRANSFORMER,Stage2,8,0.2016,0.8953,0.9221,0.8938,0.2072
TRANSFORMER,Stage2,9,0.2012,0.9118,0.9388,0.9154,0.183
TRANSFORMER,Stage2,10,0.2063,0.9086,0.9358,0.9115,0.1841
TRANSFORMER,Stage2,11,0.1976,0.9055,0.9327,0.9075,0.1881
TRANSFORMER,Stage2,12,0.1997,0.8981,0.9252,0.8977,0.2056
TRANSFORMER,Stage2,13,0.1909,0.9086,0.9358,0.9115,0.1831
TRANSFORMER,Stage2,14,0.181,0.9078,0.935,0.9105,0.1849
TRANSFORMER,Stage2,15,0.1895,0.8969,0.9237,0.8967,0.205
TRANSFORMER,Stage2,16,0.178,0.8989,0.9259,0.8987,0.204
TRANSFORMER,Stage2,17,0.17,0.9106,0.9373,0.9143,0.1845
TRANSFORMER,Stage2,18,0.1661,0.911,0.938,0.9145,0.1802
TRANSFORMER,Stage2,19,0.1699,0.911,0.938,0.9145,0.1782
TRANSFORMER,Stage2,20,0.172,0.9086,0.9358,0.9115,0.1851
TRANSFORMER,Stage2,21,0.1744,0.911,0.938,0.9145,0.1808
TRANSFORMER,Stage2,22,0.1721,0.9094,0.9365,0.9125,0.1797
TRANSFORMER,Stage2,23,0.1689,0.9078,0.935,0.9105,0.1866
TRANSFORMER,Stage2,24,0.1646,0.9126,0.9395,0.9164,0.1812
TRANSFORMER,Stage2,25,0.1698,0.9118,0.9388,0.9154,0.18
TRANSFORMER,Stage2,26,0.1637,0.911,0.938,0.9145,0.1809
