model,max_val_accuracy,final_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees (LightGBM),99.44,99.44,1,1,0.1677,,0.4540843963623047,4.8852,False,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,0.9911,0.9955,0.9956,0.9956,0.9956,1.0,0.9911,0.9955,0.9825,1.0,0.9912,0.9945,0.9944,0.9945,0.9945,0.9944,0.9945,223.0,0.0,0.0,0.0,224.0,0.0,0.0,1.0,223.0,0.0,0.0,0.0
MiniRocket,100.0,100.0,1,1,,9996.0,0.5941,38.5081,False,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
LSTM,100.0,100.0,44,57,0.0017,94780.0,0.723114013671875,493.3579,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
Mamba,99.89,99.78,16,22,0.0087,25018.0,0.1908721923828125,144.6689,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,1.0,1.0,1.0,0.9911,0.9955,1.0,1.0,1.0,0.9912,1.0,0.9956,0.9978,0.9978,0.9978,0.9978,0.9978,0.9978,225.0,0.0,0.0,0.0,223.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
Transformer,100.0,99.78,7,38,0.005,405132.0,3.090911865234375,86.7187,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,0.9956,0.9978,0.9956,1.0,0.9978,0.9956,0.9956,0.9956,1.0,1.0,1.0,0.9978,0.9978,0.9978,0.9978,0.9978,0.9978,224.0,0.0,1.0,0.0,225.0,0.0,0.0,1.0,224.0,0.0,0.0,0.0
1D-CNN (InceptionTime),100.0,100.0,27,27,0.001,473668.0,3.613800048828125,290.8873,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
