Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.4562,82.67
LSTM,2,0.1597,94.0
LSTM,3,0.0989,96.89
LSTM,4,0.0511,98.33
LSTM,5,0.0261,99.67
LSTM,6,0.0244,99.67
LSTM,7,0.0213,99.67
LSTM,8,0.0323,99.33
LSTM,9,0.0266,99.44
LSTM,10,0.0211,99.67
LSTM,11,0.0237,99.67
LSTM,12,0.0193,99.67
LSTM,13,0.0187,99.67
LSTM,14,0.0209,99.56
LSTM,15,0.0183,99.67
LSTM,16,0.0171,99.67
LSTM,17,0.0288,99.44
LSTM,18,0.0168,99.67
LSTM,19,0.0308,99.0
LSTM,20,0.0193,99.67
LSTM,21,0.0179,99.67
LSTM,22,0.0175,99.67
LSTM,23,0.019,99.67
LSTM,24,0.0162,99.67
LSTM,25,0.0171,99.67
LSTM,26,0.0177,99.67
LSTM,27,0.0164,99.67
LSTM,28,0.0165,99.67
LSTM,29,0.0177,99.67
LSTM,30,0.0154,99.67
LSTM,31,0.0674,98.0
LSTM,32,0.0192,99.67
LSTM,33,0.0182,99.67
LSTM,34,0.0167,99.67
LSTM,35,0.0145,99.67
LSTM,36,0.0166,99.67
LSTM,37,0.0187,99.67
LSTM,38,0.0172,99.67
LSTM,39,0.0167,99.67
LSTM,40,0.0135,99.67
LSTM,41,0.0162,99.67
LSTM,42,0.0185,99.67
LSTM,43,0.0136,99.67
LSTM,44,0.0182,99.67
LSTM,45,0.013,99.67
LSTM,46,0.0385,98.67
LSTM,47,0.0246,99.33
LSTM,48,0.0241,99.56
LSTM,49,0.0179,99.67
LSTM,50,0.0156,99.67
LSTM,51,0.0194,99.67
LSTM,52,0.0161,99.67
LSTM,53,0.0147,99.67
LSTM,54,0.0186,99.67
LSTM,55,0.0175,99.67
Mamba,1,0.7715,64.0
Mamba,2,0.4032,85.44
Mamba,3,0.3177,88.44
Mamba,4,0.2579,90.56
Mamba,5,0.2373,90.44
Mamba,6,0.2598,91.0
Mamba,7,0.2023,91.44
Mamba,8,0.2075,90.78
Mamba,9,0.1873,92.44
Mamba,10,0.1866,92.89
Mamba,11,0.2,93.0
Mamba,12,0.1991,92.89
Mamba,13,0.2191,92.33
Mamba,14,0.2078,92.56
Mamba,15,0.2142,92.0
Mamba,16,0.2039,92.78
Mamba,17,0.2076,93.33
Mamba,18,0.2004,94.22
Mamba,19,0.219,94.11
Mamba,20,0.222,92.78
Transformer,1,0.2961,85.56
Transformer,2,0.0355,99.56
Transformer,3,0.0223,99.67
Transformer,4,0.0968,96.56
Transformer,5,0.0208,99.67
Transformer,6,0.0352,99.11
Transformer,7,0.021,99.67
Transformer,8,0.0183,99.67
Transformer,9,0.044,98.67
Transformer,10,0.0174,99.67
Transformer,11,0.0196,99.67
Transformer,12,0.0341,99.11
Transformer,13,0.0171,99.67
Transformer,14,0.0172,99.67
Transformer,15,0.0159,99.67
Transformer,16,0.0163,99.67
Transformer,17,0.0173,99.67
Transformer,18,0.0169,99.67
Transformer,19,0.0167,99.67
Transformer,20,0.0165,99.67
Transformer,21,0.019,99.67
Transformer,22,0.017,99.67
Transformer,23,0.0171,99.67
Transformer,24,0.0168,99.67
Transformer,25,0.017,99.67
1D-CNN (InceptionTime),1,0.342,81.22
1D-CNN (InceptionTime),2,0.1812,91.89
1D-CNN (InceptionTime),3,0.204,92.0
1D-CNN (InceptionTime),4,0.1641,92.44
1D-CNN (InceptionTime),5,0.1661,92.22
1D-CNN (InceptionTime),6,0.1814,92.67
1D-CNN (InceptionTime),7,0.1629,93.33
1D-CNN (InceptionTime),8,0.1545,93.33
1D-CNN (InceptionTime),9,0.1484,93.56
1D-CNN (InceptionTime),10,0.1532,92.89
1D-CNN (InceptionTime),11,0.1638,93.33
1D-CNN (InceptionTime),12,0.1648,93.33
1D-CNN (InceptionTime),13,0.1763,93.33
1D-CNN (InceptionTime),14,0.1579,93.33
1D-CNN (InceptionTime),15,0.1415,94.33
1D-CNN (InceptionTime),16,0.1529,93.56
1D-CNN (InceptionTime),17,0.1622,93.56
1D-CNN (InceptionTime),18,0.1726,92.67
1D-CNN (InceptionTime),19,0.1772,93.78
1D-CNN (InceptionTime),20,0.1477,94.11
1D-CNN (InceptionTime),21,0.1724,93.0
1D-CNN (InceptionTime),22,0.1509,94.22
1D-CNN (InceptionTime),23,0.1561,94.0
1D-CNN (InceptionTime),24,0.1717,94.22
1D-CNN (InceptionTime),25,0.19,94.33
