Model,Epoch,Validation Loss,Validation Accuracy
Transformer,18,0.8652,60.78
Transformer,19,0.738,69.44
Transformer,20,0.7025,71.67
Transformer,21,0.7796,68.33
Transformer,22,0.7991,66.11
Transformer,23,0.5523,79.0
Transformer,24,0.7896,68.33
Transformer,25,0.8327,67.11
Transformer,26,0.6504,74.11
Transformer,27,0.5996,74.78
Transformer,28,0.663,71.0
Transformer,29,0.5085,79.89
Transformer,30,0.5509,79.89
Transformer,31,0.6502,72.89
Transformer,32,0.4774,80.89
Transformer,33,0.5592,74.22
Transformer,34,0.4451,82.0
Transformer,35,0.4281,83.44
Transformer,36,0.4123,83.78
Transformer,37,0.4287,83.56
Transformer,38,0.5127,78.0
Transformer,39,0.3942,83.0
Transformer,40,0.4069,84.33
Transformer,41,0.3775,86.67
Transformer,42,0.409,85.67
Transformer,43,0.4659,82.44
Transformer,44,0.5747,77.11
Transformer,45,0.5526,79.89
Transformer,46,0.4015,83.89
Transformer,47,0.3824,83.78
Transformer,48,0.3616,86.67
Transformer,49,0.3223,87.67
Transformer,50,0.3286,86.11
Transformer,51,0.3332,87.33
Transformer,52,0.3241,87.22
Transformer,53,0.3883,85.78
Transformer,54,0.3308,88.33
Transformer,55,0.3673,85.67
Transformer,56,0.3183,88.0
Transformer,57,0.3104,87.89
Transformer,58,0.3034,88.56
Transformer,59,0.3276,88.33
Transformer,60,0.2991,88.56
Transformer,61,0.3146,87.33
Transformer,62,0.3171,87.11
Transformer,63,0.322,87.78
Transformer,64,0.302,88.89
Transformer,65,0.3083,88.33
Transformer,66,0.298,88.89
Transformer,67,0.2969,88.22
Transformer,68,0.3124,88.89
Transformer,69,0.3728,86.44
Transformer,70,0.3124,88.89
Transformer,71,0.3205,87.78
Transformer,72,0.314,88.33
Transformer,73,0.3677,86.44
Transformer,74,0.2899,88.11
Transformer,75,0.298,89.22
Transformer,76,0.306,88.44
Transformer,77,0.2985,89.33
Transformer,78,0.3012,88.89
Transformer,79,0.3318,88.11
Transformer,80,0.3042,88.67
Transformer,81,0.2946,89.22
Transformer,82,0.2824,88.67
Transformer,83,0.2896,89.0
Transformer,84,0.2805,89.44
Transformer,85,0.2954,89.22
Transformer,86,0.2821,89.33
Transformer,87,0.2798,89.33
Transformer,88,0.2856,88.89
Transformer,89,0.2938,89.0
Transformer,90,0.2826,89.44
Transformer,91,0.2961,89.33
Transformer,92,0.288,89.11
Transformer,93,0.2764,89.56
Transformer,94,0.2866,89.44
Transformer,95,0.2916,88.89
Transformer,96,0.2876,89.44
Transformer,97,0.293,88.22
Transformer,98,0.3105,88.33
Transformer,99,0.3041,88.22
Transformer,100,0.2974,89.22
1D-CNN (InceptionTime),1,1.4346,25.0
1D-CNN (InceptionTime),2,1.403,25.33
1D-CNN (InceptionTime),3,1.3953,25.33
1D-CNN (InceptionTime),4,1.3982,26.22
1D-CNN (InceptionTime),5,1.3882,25.67
1D-CNN (InceptionTime),6,1.3869,26.78
1D-CNN (InceptionTime),7,1.3881,25.78
1D-CNN (InceptionTime),8,1.3785,27.22
1D-CNN (InceptionTime),9,1.3577,27.67
1D-CNN (InceptionTime),10,1.2265,39.78
1D-CNN (InceptionTime),11,1.0828,50.11
1D-CNN (InceptionTime),12,1.0052,55.22
1D-CNN (InceptionTime),13,0.8944,62.33
1D-CNN (InceptionTime),14,0.7764,70.67
1D-CNN (InceptionTime),15,0.7164,74.11
1D-CNN (InceptionTime),16,0.6215,77.44
1D-CNN (InceptionTime),17,0.7035,72.33
1D-CNN (InceptionTime),18,0.5621,78.22
1D-CNN (InceptionTime),19,0.571,77.89
1D-CNN (InceptionTime),20,0.5386,81.67
1D-CNN (InceptionTime),21,0.5535,79.22
1D-CNN (InceptionTime),22,0.5228,80.67
1D-CNN (InceptionTime),23,0.4903,82.33
1D-CNN (InceptionTime),24,0.4977,80.67
1D-CNN (InceptionTime),25,0.4904,81.44
1D-CNN (InceptionTime),26,0.4399,83.67
1D-CNN (InceptionTime),27,0.4967,80.78
1D-CNN (InceptionTime),28,0.4292,84.56
1D-CNN (InceptionTime),29,0.4128,84.22
1D-CNN (InceptionTime),30,0.3911,85.0
1D-CNN (InceptionTime),31,0.4275,84.44
1D-CNN (InceptionTime),32,0.4174,85.0
1D-CNN (InceptionTime),33,0.3937,86.33
1D-CNN (InceptionTime),34,0.4494,83.89
1D-CNN (InceptionTime),35,0.3904,84.56
1D-CNN (InceptionTime),36,0.3936,84.67
1D-CNN (InceptionTime),37,0.3877,85.89
1D-CNN (InceptionTime),38,0.432,83.78
1D-CNN (InceptionTime),39,0.4484,82.78
1D-CNN (InceptionTime),40,0.3757,85.56
1D-CNN (InceptionTime),41,0.4018,86.44
1D-CNN (InceptionTime),42,0.3783,86.44
1D-CNN (InceptionTime),43,0.4028,86.44
1D-CNN (InceptionTime),44,0.4012,86.0
1D-CNN (InceptionTime),45,0.3618,87.78
1D-CNN (InceptionTime),46,0.3707,87.44
1D-CNN (InceptionTime),47,0.3839,86.78
1D-CNN (InceptionTime),48,0.3347,89.11
1D-CNN (InceptionTime),49,0.3515,88.22
1D-CNN (InceptionTime),50,0.3953,87.33
1D-CNN (InceptionTime),51,0.325,89.0
1D-CNN (InceptionTime),52,0.3517,88.33
1D-CNN (InceptionTime),53,0.3628,88.22
1D-CNN (InceptionTime),54,0.3552,87.22
1D-CNN (InceptionTime),55,0.3155,90.0
1D-CNN (InceptionTime),56,0.3203,87.33
1D-CNN (InceptionTime),57,0.3601,88.22
1D-CNN (InceptionTime),58,0.3621,88.67
1D-CNN (InceptionTime),59,0.3145,90.0
1D-CNN (InceptionTime),60,0.3096,90.56
1D-CNN (InceptionTime),61,0.3295,90.56
1D-CNN (InceptionTime),62,0.3052,90.22
1D-CNN (InceptionTime),63,0.3279,89.67
1D-CNN (InceptionTime),64,0.3059,90.78
1D-CNN (InceptionTime),65,0.301,90.33
1D-CNN (InceptionTime),66,0.2955,91.44
1D-CNN (InceptionTime),67,0.3371,89.78
1D-CNN (InceptionTime),68,0.3524,90.11
1D-CNN (InceptionTime),69,0.3601,89.78
1D-CNN (InceptionTime),70,0.319,89.56
1D-CNN (InceptionTime),71,0.2921,91.22
1D-CNN (InceptionTime),72,0.3012,90.78
1D-CNN (InceptionTime),73,0.2984,90.0
1D-CNN (InceptionTime),74,0.3439,90.33
1D-CNN (InceptionTime),75,0.3683,89.78
1D-CNN (InceptionTime),76,0.2741,91.56
1D-CNN (InceptionTime),77,0.3426,90.22
1D-CNN (InceptionTime),78,0.3983,90.0
1D-CNN (InceptionTime),79,0.3014,91.67
1D-CNN (InceptionTime),80,0.294,92.11
1D-CNN (InceptionTime),81,0.3324,90.44
1D-CNN (InceptionTime),82,0.3591,91.33
1D-CNN (InceptionTime),83,0.3049,91.67
1D-CNN (InceptionTime),84,0.3052,92.0
1D-CNN (InceptionTime),85,0.291,92.67
1D-CNN (InceptionTime),86,0.3045,92.33
