Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,99.41,0.992,0.9942,0.992,0.9774,99.83,0.9978,0.9983,0.9935,99.93,2.4694,99.84,0.9979,99.93,0.9992,0.4200000000000017,0.005800000000000027,Cascade,Cascade
LSTM,98.82,0.9878,0.9882,0.9857,0.1785,99.25,0.991,0.9925,0.9897,99.78,0.8091,99.31,0.9909,99.78,0.9977,0.4300000000000068,0.0031999999999999806,Cascade,Cascade
LightGBM,74.29,0.4939,0.6423,0.0161,0.0686,75.41,0.3117,0.6566,0.0226,85.96,0.5224,75.53,0.4628,92.64,0.8869,1.1199999999999903,-0.18220000000000003,Cascade,Joint
MAMBA,92.46,0.9302,0.9255,0.8468,0.2518,95.2,0.922,0.9524,0.9165,98.98,0.9292,95.44,0.9404,98.25,0.9724,2.740000000000009,-0.008199999999999985,Cascade,Joint
MiniRocket,99.85,0.9986,0.9985,0.9941,,99.84,0.9984,0.9984,0.9943,100.0,0.4751,99.84,0.9979,100.0,1.0,-0.009999999999990905,-0.000200000000000089,Joint,Joint
TRANSFORMER,95.61,0.8593,0.9595,0.9932,0.0914,99.65,0.9963,0.9965,0.9941,99.99,0.5982,99.65,0.9954,99.99,0.9991,4.040000000000006,0.137,Cascade,Cascade
