model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,94,84,0.5511,0.5562,0.7546,0.7546,50500.0,0.385284423828125,97.158,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
LSTM,Stage1,cascade,22,12,0.5916,0.599,0.4957,0.4905,50402.0,0.3845367431640625,22.5382,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
LSTM,Stage2,cascade,75,65,0.0755,0.0841,0.9713,0.9681,50451.0,0.38491058349609375,76.8055,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
MAMBA,Joint,joint,59,49,0.6522,0.7218,0.7061,0.7061,17044.0,0.130035400390625,225.3523,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
MAMBA,Stage1,cascade,26,16,0.5889,0.5938,0.495,0.495,16786.0,0.1280670166015625,100.2761,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
MAMBA,Stage2,cascade,57,47,0.444,0.493,0.8388,0.8388,16915.0,0.12905120849609375,219.1554,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
TRANSFORMER,Joint,joint,68,58,0.5424,0.6164,0.4388,0.4195,288196.0,2.198760986328125,88.8531,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
TRANSFORMER,Stage1,cascade,12,2,0.5987,0.6095,0.4948,0.4902,288066.0,2.1977691650390625,15.5537,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
TRANSFORMER,Stage2,cascade,100,99,0.1476,0.1503,0.9446,0.9399,288131.0,2.1982650756835938,130.5923,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
CNN,Joint,joint,56,46,0.0872,0.1072,0.9642,0.9624,473092.0,3.609405517578125,204.6407,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
CNN,Stage1,cascade,41,31,0.0492,0.0593,0.9719,0.9691,472834.0,3.6074371337890625,145.8633,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
CNN,Stage2,cascade,30,20,0.0488,0.0568,0.9789,0.9766,472963.0,3.6084213256835938,108.6436,True,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
LightGBM,Joint,joint,0,-1,,,,,,0.39986515045166016,0.2865,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20280933380126953,0.1598,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.3009519577026367,0.1383,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0486,,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0672,2.0133,False,0,10min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_OE_EvalTest_Seed0.log
