log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
30min1500SeqData_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Std_Test_geo_Seed0.log,Transformer,25.0,25.0,1,15,1.3881,213092.0,1.625762939453125,19.6799,True,0,0.25,0.1244,0.1662,0.25,0.1289,0.1701,0.25,0.7467,0.3746,0.0,0.0,0.0,0.1875,0.25,0.1777,0.1875,0.25,0.1777,28.0,29.0,168.0,28.0,29.0,168.0,28.0,29.0,168.0,28.0,29.0,168.0
30min1500SeqData_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Std_Test_geo_Seed0.log,1D-CNN (InceptionTime),25.0,25.0,1,31,1.3863,472708.0,3.606475830078125,225.8473,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0267,0.0482,0.25,0.9733,0.3978,0.125,0.25,0.1115,0.125,0.25,0.1115,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2.log,Decision Trees (LightGBM),25.0,25.0,1,1,1.795,,0.4114408493041992,0.9105,False,0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2.log,MiniRocket,41.44,41.44,1,1,,9996.0,0.5813,22.7591,False,0,0.9308,0.6578,0.7708,0.0,0.0,0.0,0.0,0.0,0.0,0.3036,1.0,0.4658,0.3086,0.4144,0.3092,0.3086,0.4144,0.3092,148.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2.log,LSTM,25.0,77.44,72,75,1.9074,50500.0,0.385284423828125,164.1834,True,0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2.log,Mamba,25.0,56.67,47,58,8.758,17044.0,0.130035400390625,200.2225,True,0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2.log,Transformer,25.0,93.44,58,69,6.3423,288324.0,2.199737548828125,98.5881,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed2.log,1D-CNN (InceptionTime),25.0,92.56,45,47,2.4427,473092.0,3.609405517578125,347.325,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1.log,Decision Trees (LightGBM),25.0,25.0,1,1,1.908,,0.4116182327270508,0.9044,False,0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1.log,MiniRocket,54.11,54.11,1,1,,9996.0,0.5815,23.2301,False,0,0.6032,1.0,0.7525,0.6667,0.9156,0.7715,0.3231,0.1867,0.2366,0.1591,0.0622,0.0895,0.438,0.5411,0.4625,0.438,0.5411,0.4625,225.0,0.0,0.0,5.0,206.0,12.0,111.0,0.0,42.0,32.0,103.0,76.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1.log,LSTM,25.0,89.67,98,101,7.5526,50500.0,0.385284423828125,222.8727,False,0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1.log,Mamba,25.0,58.56,45,51,9.2274,17044.0,0.130035400390625,171.6455,True,0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1.log,Transformer,25.0,94.0,32,43,5.6517,288324.0,2.199737548828125,59.5231,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_Test_geo_Seed1.log,1D-CNN (InceptionTime),25.0,92.44,49,62,2.5318,473092.0,3.609405517578125,460.5444,True,0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,Decision Trees (LightGBM),63.44,63.44,1,1,0.9723,,0.4116182327270508,0.9047,False,0,0.5068,0.6667,0.5758,0.9181,0.9467,0.9322,0.441,0.3156,0.3679,0.6493,0.6089,0.6284,0.6288,0.6344,0.6261,0.6288,0.6344,0.6261,150.0,4.0,43.0,0.0,213.0,1.0,115.0,4.0,71.0,31.0,11.0,46.0
