Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.3842,27.5
LSTM,2,1.3823,32.5
LSTM,3,1.3813,25.0
LSTM,4,1.3783,43.28
LSTM,5,1.3704,36.72
LSTM,6,1.3269,37.5
LSTM,7,1.3064,35.47
LSTM,8,1.2729,36.56
LSTM,9,1.263,34.69
LSTM,10,1.2042,40.47
LSTM,11,1.0835,51.56
LSTM,12,0.9718,48.75
LSTM,13,0.8862,51.09
LSTM,14,0.8662,57.66
LSTM,15,0.863,53.75
LSTM,16,0.8451,59.69
LSTM,17,0.8619,54.38
LSTM,18,0.8547,58.59
LSTM,19,0.8759,55.0
LSTM,20,0.8301,58.44
LSTM,21,0.8051,59.06
LSTM,22,0.798,53.44
LSTM,23,0.841,55.16
LSTM,24,0.8347,57.81
LSTM,25,0.8633,56.09
LSTM,26,0.8296,56.72
LSTM,27,0.8294,56.56
LSTM,28,0.8129,60.0
LSTM,29,0.8054,57.5
LSTM,30,0.8058,57.34
LSTM,31,0.8219,60.0
LSTM,32,0.8191,57.97
Mamba,1,1.3857,27.34
Mamba,2,1.3837,28.28
Mamba,3,1.381,30.78
Mamba,4,1.3751,29.22
Mamba,5,1.3503,31.56
Mamba,6,1.3131,33.12
Mamba,7,1.2951,32.34
Mamba,8,1.2765,35.47
Mamba,9,1.265,35.16
Mamba,10,1.2446,37.81
Mamba,11,1.2167,40.31
Mamba,12,1.196,42.66
Mamba,13,1.1669,44.69
Mamba,14,1.1522,45.0
Mamba,15,1.1277,48.75
Mamba,16,1.1076,49.53
Mamba,17,1.0926,49.69
Mamba,18,1.0727,49.69
Mamba,19,1.0604,49.53
Mamba,20,1.0435,50.47
Mamba,21,1.0538,49.69
Mamba,22,1.0172,51.88
Mamba,23,1.033,50.94
Mamba,24,1.0194,50.94
Mamba,25,1.015,51.88
Mamba,26,0.9949,52.81
Mamba,27,1.0004,53.28
Mamba,28,0.9783,52.34
Mamba,29,0.9871,52.66
Mamba,30,0.9694,52.97
Mamba,31,0.9655,52.03
Mamba,32,0.9585,51.88
Mamba,33,0.9653,53.59
Mamba,34,0.9516,53.12
Mamba,35,0.9532,53.75
Mamba,36,0.9343,54.22
Mamba,37,0.9367,53.12
Mamba,38,0.9221,53.12
Mamba,39,0.9351,54.06
Mamba,40,0.9084,53.91
Mamba,41,0.9035,56.09
Mamba,42,0.8994,54.84
Mamba,43,0.8997,53.91
Mamba,44,0.9257,55.31
Mamba,45,0.8851,54.84
Mamba,46,0.8929,55.0
Mamba,47,0.9041,55.0
Mamba,48,0.911,54.69
Mamba,49,0.895,56.09
Mamba,50,0.9004,55.94
Mamba,51,0.8958,56.25
Mamba,52,0.8952,55.47
Mamba,53,0.905,55.47
Mamba,54,0.9106,55.62
Mamba,55,0.9146,55.0
Transformer,1,1.3887,25.16
Transformer,2,1.3769,30.0
Transformer,3,1.3549,31.88
Transformer,4,1.3705,30.62
Transformer,5,1.3348,33.59
Transformer,6,1.3334,32.03
Transformer,7,1.3129,34.84
Transformer,8,1.3068,36.25
Transformer,9,1.2734,38.28
Transformer,10,1.214,38.12
Transformer,11,1.1813,41.56
Transformer,12,1.2848,33.91
Transformer,13,1.1627,41.72
Transformer,14,1.1542,42.5
Transformer,15,1.1307,44.53
Transformer,16,1.2186,42.5
Transformer,17,1.1274,43.91
Transformer,18,1.1358,43.75
Transformer,19,1.192,41.72
Transformer,20,1.1257,41.56
Transformer,21,1.1356,42.19
Transformer,22,1.1007,45.78
Transformer,23,1.1043,46.56
Transformer,24,1.1493,42.34
Transformer,25,1.058,45.16
Transformer,26,1.0705,48.12
Transformer,27,1.0166,49.53
Transformer,28,1.0589,45.94
Transformer,29,1.0574,47.5
Transformer,30,1.1021,44.06
Transformer,31,0.9866,49.22
Transformer,32,0.9674,48.75
Transformer,33,1.026,47.81
Transformer,34,0.9537,48.28
Transformer,35,0.9366,49.69
Transformer,36,0.9515,50.47
Transformer,37,0.9978,49.38
Transformer,38,0.9083,53.28
Transformer,39,0.9822,51.25
Transformer,40,0.9044,52.66
Transformer,41,0.9045,50.78
Transformer,42,0.8809,53.28
