Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,99.3,0.9549,0.9931,0.8886,0.3129,99.34,0.9583,0.9936,0.8886,97.77,1.0574,99.91,0.9988,97.78,0.9454,0.04000000000000625,0.0034000000000000696,Cascade,Cascade
LSTM,99.91,0.9992,0.9991,0.9951,0.0985,99.91,0.9992,0.9991,0.9951,100.0,0.6288,99.91,0.9988,100.0,1.0,0.0,0.0,Tie,Tie
LightGBM,99.87,0.9969,0.9987,0.9926,0.0182,90.51,0.8077,0.8971,0.5956,99.93,0.4768,90.52,0.8562,99.93,0.9982,-9.36,-0.18920000000000003,Joint,Joint
MAMBA,99.19,0.9549,0.992,0.9068,0.2087,99.38,0.9649,0.9938,0.9227,98.12,0.8678,99.86,0.9981,98.13,0.9548,0.18999999999999773,0.010000000000000009,Cascade,Cascade
MiniRocket,99.8,0.9972,0.998,0.9933,,99.79,0.9964,0.9979,0.992,99.78,0.4765,99.84,0.998,99.78,0.9976,-0.009999999999990905,-0.0008000000000000229,Joint,Joint
TRANSFORMER,99.91,0.9992,0.9991,0.9951,0.071,99.91,0.9992,0.9991,0.9951,100.0,0.578,99.91,0.9988,100.0,1.0,0.0,0.0,Tie,Tie
