Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,97.72,0.9732,0.9774,0.9644,0.9888,97.34,0.9611,0.9736,0.9465,98.55,2.5237,97.7,0.9701,98.38,0.9785,-0.37999999999999545,-0.0121,Joint,Joint
LSTM,94.71,0.9287,0.9482,0.948,0.1797,57.71,0.4313,0.6086,0.48,98.79,0.7927,57.89,0.5416,97.93,0.9548,-36.99999999999999,-0.49739999999999995,Joint,Joint
LightGBM,72.46,0.3081,0.6161,0.0087,0.0582,74.2,0.2411,0.6396,0.0106,78.64,0.5384,74.28,0.4403,79.25,0.4346,1.740000000000009,-0.06699999999999998,Cascade,Joint
MAMBA,69.59,0.6945,0.7189,0.6908,0.245,52.78,0.5603,0.5659,0.4667,97.09,0.9053,53.25,0.5117,95.46,0.9135,-16.810000000000002,-0.13419999999999999,Joint,Joint
MiniRocket,98.14,0.9762,0.9815,0.9689,,98.03,0.9719,0.9804,0.9683,99.84,0.504,98.07,0.9749,99.84,0.9983,-0.10999999999999943,-0.0042999999999999705,Joint,Joint
TRANSFORMER,89.49,0.7354,0.9056,0.9592,0.0901,59.33,0.3825,0.6279,0.3644,96.56,0.6028,59.78,0.5461,96.08,0.8522,-30.159999999999997,-0.35290000000000005,Joint,Joint
