Model,label,precision,recall,f1,support
Decision Trees,no_thrust,0.5263,0.5,0.5128,160
Decision Trees,chemical,0.8152,0.9375,0.8721,160
Decision Trees,electric,0.5252,0.4562,0.4883,160
Decision Trees,impulsive,0.9515,0.9812,0.9662,160
Decision Trees,macro_avg,0.7046,0.7188,0.7098,640
Decision Trees,weighted_avg,0.7046,0.7188,0.7098,640
Decision Trees,t_no_thrust,80.0,15.0,65.0,0
Decision Trees,t_chemical,1.0,150.0,1.0,8
Decision Trees,t_electric,71.0,16.0,73.0,0
Decision Trees,t_impulsive,0.0,3.0,0.0,157
Nearest Neighbor,no_thrust,0.3595,0.3438,0.3514,160
Nearest Neighbor,chemical,0.4326,0.4813,0.4556,160
Nearest Neighbor,electric,0.3333,0.3,0.3158,160
Nearest Neighbor,impulsive,0.5152,0.5312,0.5231,160
Nearest Neighbor,macro_avg,0.4101,0.4141,0.4115,640
Nearest Neighbor,weighted_avg,0.4101,0.4141,0.4115,640
Nearest Neighbor,t_no_thrust,55.0,27.0,56.0,22
Nearest Neighbor,t_chemical,21.0,77.0,28.0,34
Nearest Neighbor,t_electric,59.0,29.0,48.0,24
Nearest Neighbor,t_impulsive,18.0,45.0,12.0,85
LSTM,no_thrust,0.2778,0.0312,0.0562,160
LSTM,chemical,0.4511,0.5188,0.4826,160
LSTM,electric,0.4804,0.6125,0.5385,160
LSTM,impulsive,0.594,0.8688,0.7056,160
LSTM,macro_avg,0.4508,0.5078,0.4457,640
LSTM,weighted_avg,0.4508,0.5078,0.4457,640
LSTM,t_no_thrust,5.0,38.0,100.0,17
LSTM,t_chemical,7.0,83.0,6.0,64
LSTM,t_electric,6.0,42.0,98.0,14
LSTM,t_impulsive,0.0,21.0,0.0,139
Mamba,no_thrust,0.4393,0.2938,0.3521,160
Mamba,chemical,0.6316,0.675,0.6526,160
Mamba,electric,0.4278,0.4813,0.4529,160
Mamba,impulsive,0.8352,0.95,0.8889,160
Mamba,macro_avg,0.5834,0.6,0.5866,640
Mamba,weighted_avg,0.5834,0.6,0.5866,640
Mamba,t_no_thrust,47.0,28.0,80.0,5
Mamba,t_chemical,9.0,108.0,23.0,20
Mamba,t_electric,51.0,27.0,77.0,5
Mamba,t_impulsive,0.0,8.0,0.0,152
Transformer,no_thrust,0.4386,0.3125,0.365,160
Transformer,chemical,0.6022,0.6813,0.6393,160
Transformer,electric,0.4395,0.4313,0.4353,160
Transformer,impulsive,0.6277,0.7375,0.6782,160
Transformer,macro_avg,0.527,0.5406,0.5294,640
Transformer,weighted_avg,0.527,0.5406,0.5294,640
Transformer,t_no_thrust,50.0,19.0,75.0,16
Transformer,t_chemical,10.0,109.0,7.0,34
Transformer,t_electric,48.0,23.0,69.0,20
Transformer,t_impulsive,6.0,30.0,6.0,118
MLP,0,0.3558,0.3625,0.3591,160
MLP,1,0.4167,0.4375,0.4268,160
MLP,2,0.3706,0.3312,0.3498,160
MLP,3,0.6265,0.65,0.638,160
MLP,macro_avg,0.4424,0.4453,0.4435,640
MLP,weighted_avg,0.4424,0.4453,0.4435,640
MLP,t_no_thrust,58.0,34.0,54.0,14
MLP,t_chemical,27.0,70.0,29.0,34
MLP,t_electric,57.0,36.0,53.0,14
MLP,t_impulsive,21.0,28.0,7.0,104
