Model,Epoch,Validation Loss,Validation Accuracy
Mamba,80,1.3864,25.0
Mamba,81,1.3864,25.0
Mamba,82,1.3864,25.0
Mamba,83,1.3864,25.0
Mamba,84,1.3864,25.0
Mamba,85,1.3864,25.0
Mamba,86,1.3864,25.0
Mamba,87,1.3864,25.0
Mamba,88,1.3864,25.0
Mamba,89,1.3864,25.0
Mamba,90,1.3864,25.0
Mamba,91,1.3864,25.0
Mamba,92,1.3864,25.0
Mamba,93,1.3864,25.0
Mamba,94,1.3864,25.0
Mamba,95,1.3864,25.0
Mamba,96,1.3864,25.0
Mamba,97,1.3864,25.0
Mamba,98,1.3864,25.0
Mamba,99,1.3864,25.0
Mamba,100,1.3864,25.0
Transformer,1,1.3984,25.0
Transformer,2,1.3978,25.0
Transformer,3,1.3938,25.0
Transformer,4,1.3894,25.0
Transformer,5,1.388,25.0
Transformer,6,1.3923,25.0
Transformer,7,1.3884,25.0
Transformer,8,1.389,25.0
Transformer,9,1.3875,25.0
Transformer,10,1.3902,25.0
Transformer,11,1.3876,25.0
Transformer,12,1.3898,25.0
Transformer,13,1.3875,25.0
Transformer,14,1.3875,25.0
Transformer,15,1.3891,25.0
Transformer,16,1.3869,25.0
Transformer,17,1.3865,25.0
Transformer,18,1.3865,25.0
Transformer,19,1.3876,25.0
Transformer,20,1.3869,25.0
Transformer,21,1.3866,25.0
Transformer,22,1.3874,25.0
Transformer,23,1.3867,25.0
Transformer,24,1.3865,25.0
Transformer,25,1.3865,25.0
Transformer,26,1.3864,25.0
Transformer,27,1.3864,25.16
Transformer,28,1.3864,25.0
Transformer,29,1.3866,25.0
Transformer,30,1.3865,25.0
Transformer,31,1.3864,25.0
Transformer,32,1.3865,25.0
Transformer,33,1.3864,25.0
Transformer,34,1.3864,25.16
Transformer,35,1.3864,25.0
Transformer,36,1.3864,25.0
Transformer,37,1.3864,25.0
Transformer,38,1.3864,25.0
Transformer,39,1.3864,25.0
Transformer,40,1.3864,25.0
Transformer,41,1.3864,25.0
Transformer,42,1.3864,25.0
Transformer,43,1.3864,25.0
Transformer,44,1.3864,25.0
Transformer,45,1.3864,25.0
Transformer,46,1.3864,25.0
Transformer,47,1.3864,25.0
Transformer,48,1.3864,25.0
Transformer,49,1.3864,25.0
Transformer,50,1.3864,25.0
Transformer,51,1.3864,25.16
Transformer,52,1.3864,25.16
Transformer,53,1.3863,25.0
Transformer,54,1.3864,25.0
Transformer,55,1.3864,25.0
Transformer,56,1.3864,25.0
Transformer,57,1.3864,25.16
Transformer,58,1.3864,25.0
Transformer,59,1.3863,25.0
Transformer,60,1.3864,24.84
Transformer,61,1.3864,25.0
Transformer,62,1.3864,25.0
Transformer,63,1.3864,25.16
Transformer,64,1.3864,25.0
Transformer,65,1.3864,25.0
Transformer,66,1.3864,25.0
Transformer,67,1.3864,25.0
Transformer,68,1.3864,25.0
Transformer,69,1.3864,25.0
MLP,1,0.2712,25.0
MLP,2,0.2747,25.0
MLP,3,0.2779,24.84
MLP,4,0.2799,25.0
MLP,5,0.2795,24.84
MLP,6,0.2787,25.0
MLP,7,0.2774,25.16
MLP,8,0.2767,25.0
MLP,9,0.2777,25.16
MLP,10,0.2789,25.0
MLP,11,0.2778,25.16
MLP,12,0.2762,25.0
MLP,13,0.2763,25.0
MLP,14,0.2761,25.0
MLP,15,0.2758,25.0
MLP,16,0.2766,25.16
MLP,17,0.277,24.84
MLP,18,0.2764,25.0
MLP,19,0.2773,25.0
MLP,20,0.2775,25.0
MLP,21,0.2774,25.0
MLP,22,0.2768,24.84
MLP,23,0.2755,25.0
MLP,24,0.2761,24.69
MLP,25,0.2764,25.0
MLP,26,0.2769,25.0
MLP,27,0.2765,25.16
MLP,28,0.277,25.0
MLP,29,0.2773,25.0
MLP,30,0.276,25.0
MLP,31,0.2758,25.0
MLP,32,0.2749,25.0
MLP,33,0.2756,25.16
MLP,34,0.2761,25.0
MLP,35,0.2762,25.0
MLP,36,0.2765,25.16
MLP,37,0.2766,25.0
MLP,38,0.277,25.0
MLP,39,0.2766,25.16
MLP,40,0.2765,25.0
MLP,41,0.2771,25.0
MLP,42,0.2776,25.0
MLP,43,0.2769,25.16
MLP,44,0.276,25.31
MLP,45,0.2755,25.31
MLP,46,0.2758,24.84
MLP,47,0.276,24.53
MLP,48,0.2767,25.16
MLP,49,0.2767,25.0
MLP,50,0.2761,25.0
MLP,51,0.2763,24.84
MLP,52,0.2766,24.84
MLP,53,0.2764,25.0
MLP,54,0.2766,24.53
MLP,55,0.276,25.0
MLP,56,0.2758,24.84
MLP,57,0.2759,25.31
MLP,58,0.2763,25.16
MLP,59,0.2765,25.0
MLP,60,0.2764,25.0
MLP,61,0.2763,24.84
MLP,62,0.2762,24.84
MLP,63,0.2766,24.84
MLP,64,0.2764,25.0
MLP,65,0.2764,24.84
MLP,66,0.2763,25.0
MLP,67,0.2763,25.0
MLP,68,0.2764,25.0
MLP,69,0.2764,24.69
MLP,70,0.2763,25.0
MLP,71,0.2764,25.0
MLP,72,0.2762,25.16
MLP,73,0.2764,25.0
MLP,74,0.2765,24.84
MLP,75,0.2764,25.16
MLP,76,0.2763,25.16
MLP,77,0.2764,25.16
MLP,78,0.2764,25.16
MLP,79,0.2765,25.16
MLP,80,0.2764,25.16
MLP,81,0.2766,25.31
MLP,82,0.2765,25.16
MLP,83,0.2765,25.16
MLP,84,0.2765,25.31
MLP,85,0.2765,24.84
MLP,86,0.2764,25.16
MLP,87,0.2764,25.16
MLP,88,0.2765,25.16
MLP,89,0.2765,25.16
MLP,90,0.2765,25.31
MLP,91,0.2765,25.31
MLP,92,0.2765,25.16
MLP,93,0.2764,25.16
MLP,94,0.2764,25.31
MLP,95,0.2764,25.31
MLP,96,0.2764,25.31
MLP,97,0.2765,25.31
MLP,98,0.2764,25.31
MLP,99,0.2764,25.31
MLP,100,0.2764,25.31
