model,max_val_accuracy,final_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,2_precision,2_recall,2_f1,3_precision,3_recall,3_f1
Decision Trees,27.19,27.19,1,1,1.3931,0,0.3936195373535156,1.2997,False,0,100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,0.264,0.2062,0.2316,0.2527,0.1437,0.1833,0.274,0.25,0.2614,0.2806,0.4875,0.3562,0.2678,0.2719,0.2581,0.2678,0.2719,0.2581,33.0,23.0,39.0,31.0,23.0,36.0,32.0,23.0,40.0,29.0,22.0,31.0,,,,,,,,,,,,
Nearest Neighbor,25.16,25.16,1,1,,0,6.0615,0.0619,False,0,100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,0.2512,0.3187,0.281,0.25,0.0563,0.0918,0.25,0.2875,0.2674,0.2535,0.3438,0.2918,0.2512,0.2516,0.233,0.2512,0.2516,0.233,51.0,9.0,46.0,50.0,9.0,47.0,51.0,9.0,46.0,51.0,9.0,45.0,,,,,,,,,,,,
LSTM,25.16,25.0,4,13,1.3866,18004,0.137359619140625,8.3225,True,0,100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,0.2553,0.075,0.1159,0.249,0.4062,0.3088,0.25,0.25,0.25,0.25,0.2687,0.259,0.2511,0.25,0.2334,0.2511,0.25,0.2334,12.0,65.0,40.0,12.0,65.0,40.0,12.0,65.0,40.0,11.0,66.0,40.0,,,,,,,,,,,,
Mamba,25.31,25.0,23,101,1.3864,6106,0.0465850830078125,47.0077,False,0,100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,0.2472,0.1375,0.1767,0.25,0.3812,0.302,0.2527,0.1437,0.1833,0.25,0.3375,0.2872,0.25,0.25,0.2373,0.25,0.25,0.2373,22.0,61.0,23.0,22.0,61.0,23.0,22.0,61.0,23.0,23.0,61.0,22.0,,,,,,,,,,,,
Transformer,25.16,25.0,27,70,1.3864,41940,0.319976806640625,55.6932,True,0,100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,0.25,0.0437,0.0745,0.25,0.65,0.3611,0.25,0.1062,0.1491,0.25,0.2,0.2222,0.25,0.25,0.2017,0.25,0.25,0.2017,7.0,104.0,17.0,7.0,104.0,17.0,7.0,104.0,17.0,7.0,104.0,17.0,,,,,,,,,,,,
MLP,25.31,25.31,45,101,0.2764,708,0.005401611328125,6.0618,False,0,100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,,,,,,,,,,,,,0.2532,0.2531,0.2507,0.2532,0.2531,0.2507,45.0,34.0,31.0,45.0,35.0,30.0,45.0,34.0,31.0,44.0,35.0,30.0,0.2514,0.2812,0.2655,0.2536,0.2188,0.2349,0.2541,0.1938,0.2199,0.2537,0.3187,0.2825
