model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,15,5,1.2675,1.2847,0.1667,0.1493,28660.0,0.218658447265625,14.2559,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
LSTM,Stage1,cascade,16,6,0.5938,0.6081,0.4914,0.4861,28586.0,0.2180938720703125,14.7954,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
LSTM,Stage2,cascade,12,2,1.098,1.0999,0.3272,0.28,28623.0,0.21837615966796875,10.8489,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
MAMBA,Joint,joint,24,14,1.2798,1.2909,0.1595,0.1302,12208.0,0.0931396484375,89.3973,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
MAMBA,Stage1,cascade,36,26,0.6006,0.6143,0.4899,0.4882,12014.0,0.0916595458984375,136.3617,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
MAMBA,Stage2,cascade,12,2,1.0991,1.1085,0.3066,0.2338,12111.0,0.09239959716796875,45.6791,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
TRANSFORMER,Joint,joint,13,3,1.2798,1.2925,0.1604,0.1496,212996.0,1.625030517578125,16.8533,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
TRANSFORMER,Stage1,cascade,23,13,0.5957,0.6011,0.4914,0.4859,212898.0,1.6242828369140625,30.0151,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
TRANSFORMER,Stage2,cascade,14,4,1.0987,1.1017,0.3354,0.2115,212947.0,1.6246566772460938,18.227,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
CNN,Joint,joint,19,9,1.2726,1.2903,0.1627,0.1371,472708.0,3.606475830078125,67.7272,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
CNN,Stage1,cascade,13,3,0.5959,0.6051,0.491,0.487,472450.0,3.6045074462890625,47.4234,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
CNN,Stage2,cascade,24,14,1.0985,1.1301,0.347,0.1887,472579.0,3.6054916381835938,86.8183,True,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
LightGBM,Joint,joint,0,-1,,,,,,0.39965248107910156,0.2552,False,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20281696319580078,0.1648,False,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.30037498474121094,0.1123,False,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0855,,False,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0484,,False,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0669,1.9654,False,0,10min1500EvalTest_Seed2,meo/10min-1500/10min1500EvalTest_Seed2.log
