Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3856,0.0814,0.3327,0.1208,1.3915
LSTM,Joint,2,1.3598,0.1035,0.2778,0.1033,1.3294
LSTM,Joint,3,1.3114,0.1149,0.2962,0.1637,1.2953
LSTM,Joint,4,1.2926,0.0345,0.3464,0.0626,1.2981
LSTM,Joint,5,1.2853,0.1166,0.2859,0.158,1.2675
LSTM,Joint,6,1.2834,0.1143,0.3497,0.1319,1.2925
LSTM,Joint,7,1.2816,0.1102,0.3446,0.1412,1.3023
LSTM,Joint,8,1.2792,0.1188,0.3536,0.1667,1.2765
LSTM,Joint,9,1.2795,0.1129,0.3167,0.11,1.2761
LSTM,Joint,10,1.2789,0.115,0.3396,0.0988,1.286
LSTM,Joint,11,1.2775,0.1102,0.3264,0.15,1.2908
LSTM,Joint,12,1.2763,0.1165,0.347,0.131,1.291
LSTM,Joint,13,1.2746,0.117,0.327,0.0638,1.277
LSTM,Joint,14,1.2745,0.1199,0.3443,0.1031,1.2836
LSTM,Joint,15,1.2746,0.115,0.3367,0.1493,1.2847
LSTM,Stage1,1,0.6788,0.3546,0.6411,0.4566,0.6385
LSTM,Stage1,2,0.6175,0.3393,0.8515,0.4852,0.6183
LSTM,Stage1,3,0.597,0.3319,0.9441,0.4912,0.6324
LSTM,Stage1,4,0.5936,0.3326,0.9313,0.4902,0.6221
LSTM,Stage1,5,0.5923,0.3332,0.8993,0.4862,0.6123
LSTM,Stage1,6,0.5919,0.3492,0.7678,0.4801,0.5938
LSTM,Stage1,7,0.5907,0.3267,0.991,0.4914,0.6318
LSTM,Stage1,8,0.5911,0.3326,0.9074,0.4868,0.6181
LSTM,Stage1,9,0.5895,0.3412,0.8498,0.4869,0.6037
LSTM,Stage1,10,0.5907,0.3343,0.9052,0.4883,0.6144
LSTM,Stage1,11,0.5892,0.3358,0.8835,0.4867,0.6036
LSTM,Stage1,12,0.5896,0.3414,0.8434,0.486,0.6
LSTM,Stage1,13,0.5881,0.3426,0.8434,0.4872,0.6031
LSTM,Stage1,14,0.5881,0.3425,0.8327,0.4854,0.5983
