Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.077,43.11
LSTM,2,1.0475,43.89
LSTM,3,1.0393,44.89
LSTM,4,1.0346,44.56
LSTM,5,1.0735,44.11
LSTM,6,1.0378,44.44
LSTM,7,1.0368,44.67
LSTM,8,1.0685,43.67
LSTM,9,1.0562,43.33
LSTM,10,1.0521,44.89
LSTM,11,1.0771,44.44
LSTM,12,1.0855,44.22
LSTM,13,1.0303,44.78
LSTM,14,1.0569,44.11
LSTM,15,1.0792,43.33
LSTM,16,1.0543,44.22
LSTM,17,1.0599,43.78
LSTM,18,1.0886,44.44
LSTM,19,1.0737,44.11
LSTM,20,1.087,44.44
LSTM,21,1.1226,44.22
LSTM,22,1.0818,43.67
LSTM,23,1.1127,44.89
Mamba,1,0.9998,46.22
Mamba,2,1.0477,46.89
Mamba,3,0.9223,51.44
Mamba,4,0.94,50.0
Mamba,5,0.8462,55.56
Mamba,6,0.8539,54.78
Mamba,7,0.8555,53.67
Mamba,8,0.8524,56.78
Mamba,9,0.9236,54.78
Mamba,10,0.8335,57.67
Mamba,11,0.8418,56.67
Mamba,12,0.8353,55.89
Mamba,13,0.8757,55.89
Mamba,14,0.8196,57.33
Mamba,15,0.8955,55.67
Mamba,16,0.8492,58.56
Mamba,17,0.8559,56.67
Mamba,18,0.8661,57.0
Mamba,19,0.9395,56.89
Mamba,20,0.8236,58.22
Mamba,21,0.794,60.11
Mamba,22,0.8134,61.22
Mamba,23,0.7855,61.22
Mamba,24,0.8412,59.56
Mamba,25,0.7876,60.11
Mamba,26,0.8691,60.44
Mamba,27,0.8041,61.0
Mamba,28,0.773,62.67
Mamba,29,0.7923,60.56
Mamba,30,0.7881,62.33
Mamba,31,0.7581,62.33
Mamba,32,0.7895,61.56
Mamba,33,0.8735,61.22
Mamba,34,0.8314,62.22
Mamba,35,0.9069,57.11
Mamba,36,0.7688,63.56
Mamba,37,0.816,64.33
Mamba,38,0.7482,65.67
Mamba,39,0.7512,67.0
Mamba,40,0.7869,67.0
Mamba,41,0.7423,64.78
