model,max_val_accuracy,final_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees (LightGBM),89.67,89.67,1,1,0.4411,,0.4558744430541992,4.6722,False,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.7672,0.8933,0.8255,0.9783,1.0,0.989,1.0,0.9867,0.9933,0.8548,0.7067,0.7737,0.9001,0.8967,0.8954,0.9001,0.8967,0.8954,201.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,222.0,61.0,5.0,0.0
MiniRocket,99.67,99.67,1,1,,9996.0,0.5945,35.1057,False,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.9868,1.0,0.9934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9867,0.9933,0.9967,0.9967,0.9967,0.9967,0.9967,0.9967,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,3.0,0.0,0.0
LSTM,100.0,100.0,35,35,0.0003,94780.0,0.723114013671875,301.7125,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
Mamba,99.22,99.22,25,25,0.0608,25018.0,0.1908721923828125,165.3035,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,0.9825,0.9956,0.989,0.9912,1.0,0.9956,0.9956,0.9956,0.9956,1.0,0.9778,0.9888,0.9923,0.9922,0.9922,0.9923,0.9922,0.9922,224.0,0.0,1.0,0.0,225.0,0.0,0.0,1.0,224.0,4.0,1.0,0.0
Transformer,100.0,100.0,36,36,0.0,405132.0,3.090911865234375,82.086,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
1D-CNN (InceptionTime),100.0,100.0,32,32,0.0007,473668.0,3.613800048828125,347.4805,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0,leo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed0.log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
