model,max_val_accuracy,final_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees (LightGBM),31.0,31.0,1,1,1.3496,,0.4369974136352539,2.2388,False,0,100min1500SeqData_Std_EvalTest_Seed1,leo/100min-1500/100min1500SeqData_Std_EvalTest_Seed1.log,0.2762,0.4222,0.3339,0.4048,0.4533,0.4277,0.2614,0.2044,0.2294,0.2812,0.16,0.204,0.3059,0.31,0.2987,0.3059,0.31,0.2987,95.0,49.0,47.0,61.0,102.0,38.0,94.0,51.0,46.0,94.0,50.0,45.0
MiniRocket,33.44,33.44,1,1,,9996.0,0.5914,31.5095,False,0,100min1500SeqData_Std_EvalTest_Seed1,leo/100min-1500/100min1500SeqData_Std_EvalTest_Seed1.log,0.2936,0.2844,0.2889,0.3795,0.7422,0.5023,0.304,0.1689,0.2171,0.2735,0.1422,0.1871,0.3127,0.3344,0.2989,0.3127,0.3344,0.2989,64.0,89.0,37.0,27.0,167.0,13.0,63.0,92.0,38.0,64.0,92.0,37.0
LSTM,25.78,25.44,15,25,1.3863,28660.0,0.218658447265625,132.9881,True,0,100min1500SeqData_Std_EvalTest_Seed1,leo/100min-1500/100min1500SeqData_Std_EvalTest_Seed1.log,0.0,0.0,0.0,0.2658,0.1867,0.2193,0.0,0.0,0.0,0.252,0.8311,0.3868,0.1295,0.2544,0.1515,0.1295,0.2544,0.1515,0.0,39.0,0.0,0.0,42.0,0.0,0.0,39.0,0.0,0.0,38.0,0.0
Mamba,26.0,25.78,11,13,1.3862,12208.0,0.0931396484375,54.2567,True,0,100min1500SeqData_Std_EvalTest_Seed1,leo/100min-1500/100min1500SeqData_Std_EvalTest_Seed1.log,0.2538,0.2933,0.2722,0.2669,0.3689,0.3097,0.2509,0.3067,0.276,0.2593,0.0622,0.1004,0.2577,0.2578,0.2396,0.2577,0.2578,0.2396,66.0,76.0,69.0,62.0,83.0,68.0,66.0,76.0,69.0,66.0,76.0,69.0
Transformer,25.78,25.0,4,22,1.3865,213092.0,1.625762939453125,39.1903,True,0,100min1500SeqData_Std_EvalTest_Seed1,leo/100min-1500/100min1500SeqData_Std_EvalTest_Seed1.log,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
1D-CNN (InceptionTime),26.11,25.0,21,24,1.3863,472708.0,3.606475830078125,256.8832,True,0,100min1500SeqData_Std_EvalTest_Seed1,leo/100min-1500/100min1500SeqData_Std_EvalTest_Seed1.log,0.25,0.0044,0.0087,0.0,0.0,0.0,0.25,0.04,0.069,0.25,0.9556,0.3963,0.1875,0.25,0.1185,0.1875,0.25,0.1185,1.0,0.0,9.0,1.0,0.0,9.0,1.0,0.0,9.0,1.0,0.0,9.0
