Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.3779,82.78
LSTM,2,0.0623,98.44
LSTM,3,0.0238,99.78
LSTM,4,0.0153,99.89
LSTM,5,0.014,99.89
LSTM,6,0.0175,99.67
LSTM,7,0.0252,99.67
LSTM,8,0.0247,99.22
LSTM,9,0.0121,99.89
LSTM,10,0.0107,99.89
LSTM,11,0.0124,99.89
LSTM,12,0.0144,99.78
LSTM,13,0.0447,98.67
LSTM,14,0.0124,99.89
LSTM,15,0.0112,99.89
LSTM,16,0.0108,99.89
LSTM,17,0.012,99.89
LSTM,18,0.0104,99.89
LSTM,19,0.0106,99.89
LSTM,20,0.0115,99.89
LSTM,21,0.0118,99.89
LSTM,22,0.0111,99.89
LSTM,23,0.0137,99.78
LSTM,24,0.0106,99.89
LSTM,25,0.0105,99.89
LSTM,26,0.0137,99.89
LSTM,27,0.0101,99.89
LSTM,28,0.0103,99.89
LSTM,29,0.0096,99.89
LSTM,30,0.0099,99.89
LSTM,31,0.0111,99.89
LSTM,32,0.012,99.89
LSTM,33,0.0112,99.89
LSTM,34,0.0101,99.89
LSTM,35,0.0093,99.89
LSTM,36,0.0115,99.89
LSTM,37,0.0138,99.89
LSTM,38,0.009,99.89
LSTM,39,0.0094,99.89
LSTM,40,0.0356,99.11
LSTM,41,0.0117,99.89
LSTM,42,0.0102,99.89
LSTM,43,0.0113,99.89
LSTM,44,0.0136,99.78
LSTM,45,0.0107,99.89
LSTM,46,0.0128,99.78
LSTM,47,0.0124,99.78
LSTM,48,0.0123,99.78
Mamba,1,0.5822,78.78
Mamba,2,0.2319,91.22
Mamba,3,0.1308,95.78
Mamba,4,0.077,97.33
Mamba,5,0.0774,97.67
Mamba,6,0.0623,97.67
Mamba,7,0.035,99.0
Mamba,8,0.0349,99.33
Mamba,9,0.0222,99.44
Mamba,10,0.0301,99.11
Mamba,11,0.0332,98.89
Mamba,12,0.0191,99.56
Mamba,13,0.1336,96.56
Mamba,14,0.0208,99.22
Mamba,15,0.0152,99.44
Mamba,16,0.01,99.78
Mamba,17,0.0126,99.67
Mamba,18,0.0373,99.56
Mamba,19,0.275,97.78
Mamba,20,0.1612,97.78
Mamba,21,0.048,98.67
Mamba,22,0.016,99.44
Mamba,23,0.0129,99.44
Mamba,24,0.0106,99.67
Mamba,25,0.0117,99.56
Mamba,26,0.0095,99.56
Mamba,27,0.0104,99.56
Mamba,28,0.0086,99.78
Mamba,29,0.0088,99.67
Mamba,30,0.0095,99.67
Mamba,31,0.0092,99.67
Mamba,32,0.01,99.78
Mamba,33,0.0097,99.78
Mamba,34,0.0101,99.67
Mamba,35,0.0098,99.67
Mamba,36,0.0091,99.67
Mamba,37,0.01,99.78
Mamba,38,0.0093,99.67
Transformer,1,0.3148,84.56
Transformer,2,0.0597,97.67
Transformer,3,0.047,98.56
Transformer,4,0.0215,99.56
Transformer,5,0.0149,99.67
Transformer,6,0.1012,96.22
Transformer,7,0.0099,99.67
Transformer,8,0.0173,99.33
Transformer,9,0.0115,99.78
Transformer,10,0.0061,99.89
Transformer,11,0.0061,99.67
Transformer,12,0.0081,100.0
Transformer,13,0.0018,100.0
Transformer,14,0.0314,99.0
Transformer,15,0.0026,99.89
Transformer,16,0.003,100.0
Transformer,17,0.0124,99.78
Transformer,18,0.0062,99.67
Transformer,19,0.0143,99.56
Transformer,20,0.0025,100.0
Transformer,21,0.007,99.89
Transformer,22,0.0008,100.0
Transformer,23,0.0021,100.0
Transformer,24,0.0031,100.0
Transformer,25,0.0023,100.0
Transformer,26,0.0045,100.0
Transformer,27,0.0091,99.89
Transformer,28,0.0038,100.0
Transformer,29,0.005,100.0
Transformer,30,0.0023,100.0
Transformer,31,0.002,100.0
Transformer,32,0.0028,100.0
1D-CNN (InceptionTime),1,0.0799,97.11
1D-CNN (InceptionTime),2,0.0095,99.89
1D-CNN (InceptionTime),3,0.0104,99.89
1D-CNN (InceptionTime),4,0.0115,99.89
1D-CNN (InceptionTime),5,0.0084,99.89
1D-CNN (InceptionTime),6,0.0103,99.78
1D-CNN (InceptionTime),7,0.0903,96.67
1D-CNN (InceptionTime),8,0.0099,99.89
1D-CNN (InceptionTime),9,0.0082,99.89
1D-CNN (InceptionTime),10,0.012,99.89
1D-CNN (InceptionTime),11,0.0093,99.89
1D-CNN (InceptionTime),12,0.016,99.89
1D-CNN (InceptionTime),13,0.0067,99.89
1D-CNN (InceptionTime),14,0.0062,99.89
1D-CNN (InceptionTime),15,0.0132,99.67
1D-CNN (InceptionTime),16,0.0062,99.89
1D-CNN (InceptionTime),17,0.0071,99.89
1D-CNN (InceptionTime),18,0.0072,99.89
1D-CNN (InceptionTime),19,0.0073,99.89
1D-CNN (InceptionTime),20,0.0092,99.78
1D-CNN (InceptionTime),21,0.0043,99.89
1D-CNN (InceptionTime),22,0.0086,99.89
1D-CNN (InceptionTime),23,0.0097,99.89
1D-CNN (InceptionTime),24,0.0103,99.89
1D-CNN (InceptionTime),25,0.0081,99.89
1D-CNN (InceptionTime),26,0.0065,99.89
1D-CNN (InceptionTime),27,0.0084,99.89
1D-CNN (InceptionTime),28,0.0067,99.89
1D-CNN (InceptionTime),29,0.0075,99.89
1D-CNN (InceptionTime),30,0.0093,99.89
1D-CNN (InceptionTime),31,0.0098,99.89
