Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,78,0.0352,0.9555,0.9906,0.9722,0.0628
LSTM,Joint,79,0.0363,0.9606,0.9932,0.9762,0.05
LSTM,Joint,80,0.0356,0.9622,0.9883,0.9747,0.0565
LSTM,Joint,81,0.0351,0.9579,0.9942,0.975,0.0568
LSTM,Joint,82,0.0348,0.9524,0.9936,0.9716,0.0698
LSTM,Joint,83,0.0309,0.9717,0.9906,0.9809,0.0432
LSTM,Joint,84,0.0288,0.9719,0.9911,0.9812,0.0419
LSTM,Joint,85,0.0287,0.9725,0.992,0.982,0.0431
LSTM,Joint,86,0.0285,0.9655,0.9908,0.9777,0.05
LSTM,Joint,87,0.0286,0.9706,0.9875,0.9789,0.0466
LSTM,Joint,88,0.0306,0.9672,0.992,0.9791,0.0457
LSTM,Joint,89,0.0275,0.9716,0.9847,0.978,0.0516
LSTM,Joint,90,0.0278,0.9697,0.9916,0.9803,0.0418
LSTM,Joint,91,0.0298,0.9621,0.9936,0.9771,0.0509
LSTM,Joint,92,0.0264,0.9598,0.9918,0.975,0.0594
LSTM,Joint,93,0.028,0.9595,0.9913,0.9747,0.0551
LSTM,Joint,94,0.0276,0.9696,0.9924,0.9806,0.0438
LSTM,Joint,95,0.0272,0.9719,0.9897,0.9806,0.0456
LSTM,Joint,96,0.0274,0.9715,0.9872,0.9791,0.049
LSTM,Joint,97,0.0252,0.9711,0.9924,0.9815,0.0406
LSTM,Joint,98,0.025,0.9699,0.9918,0.9805,0.044
LSTM,Joint,99,0.0257,0.9741,0.989,0.9814,0.0414
LSTM,Joint,100,0.0246,0.97,0.9918,0.9806,0.0444
LSTM,Stage1,1,0.6759,0.3553,0.7314,0.4782,0.6131
LSTM,Stage1,2,0.6001,0.3397,0.9182,0.4959,0.6389
LSTM,Stage1,3,0.5894,0.3453,0.9097,0.5006,0.6187
LSTM,Stage1,4,0.5798,0.3488,0.9657,0.5125,0.6073
LSTM,Stage1,5,0.5593,0.379,0.8292,0.5203,0.5495
LSTM,Stage1,6,0.5261,0.4204,0.8657,0.5659,0.5108
LSTM,Stage1,7,0.498,0.4443,0.9284,0.601,0.4731
LSTM,Stage1,8,0.4568,0.4514,0.9614,0.6143,0.4631
LSTM,Stage1,9,0.4234,0.5273,0.8894,0.662,0.3878
LSTM,Stage1,10,0.3901,0.5518,0.9169,0.689,0.3558
LSTM,Stage1,11,0.3702,0.5726,0.8805,0.6939,0.348
LSTM,Stage1,12,0.355,0.5499,0.8941,0.681,0.3723
LSTM,Stage1,13,0.3329,0.6318,0.7737,0.6956,0.331
LSTM,Stage1,14,0.3336,0.6412,0.8975,0.748,0.2917
LSTM,Stage1,15,0.3149,0.5898,0.9822,0.737,0.3127
LSTM,Stage1,16,0.3055,0.6802,0.922,0.7829,0.2702
LSTM,Stage1,17,0.2791,0.5824,0.9242,0.7145,0.376
LSTM,Stage1,18,0.275,0.5973,0.9407,0.7306,0.3307
LSTM,Stage1,19,0.2621,0.6615,0.9267,0.772,0.2783
LSTM,Stage1,20,0.2512,0.7759,0.8585,0.8151,0.2236
LSTM,Stage1,21,0.2313,0.78,0.9089,0.8395,0.2129
LSTM,Stage1,22,0.2304,0.7465,0.9407,0.8324,0.1959
LSTM,Stage1,23,0.2228,0.7349,0.9432,0.8261,0.2127
LSTM,Stage1,24,0.2034,0.7439,0.9428,0.8316,0.1961
LSTM,Stage1,25,0.1937,0.612,0.9746,0.7519,0.3292
LSTM,Stage1,26,0.214,0.7949,0.9441,0.8631,0.1722
LSTM,Stage1,27,0.1831,0.8699,0.9237,0.896,0.1415
LSTM,Stage1,28,0.1855,0.755,0.9729,0.8502,0.1796
LSTM,Stage1,29,0.1816,0.7164,0.9792,0.8274,0.1932
LSTM,Stage1,30,0.1864,0.6929,0.9695,0.8082,0.2423
LSTM,Stage1,31,0.1597,0.7549,0.9712,0.8495,0.1847
LSTM,Stage1,32,0.1737,0.7672,0.9161,0.8351,0.1786
LSTM,Stage1,33,0.1543,0.7148,0.9877,0.8294,0.204
LSTM,Stage1,34,0.1238,0.86,0.9445,0.9002,0.1204
LSTM,Stage1,35,0.1262,0.781,0.9898,0.8731,0.1484
LSTM,Stage1,36,0.1146,0.8332,0.9695,0.8962,0.1458
LSTM,Stage1,37,0.1253,0.8549,0.9462,0.8982,0.134
LSTM,Stage1,38,0.1131,0.8842,0.9869,0.9327,0.0953
LSTM,Stage1,39,0.1147,0.8976,0.9699,0.9324,0.098
LSTM,Stage1,40,0.1092,0.7467,0.9856,0.8497,0.2293
LSTM,Stage1,41,0.1126,0.7923,0.9826,0.8772,0.1494
LSTM,Stage1,42,0.1168,0.8161,0.9907,0.8949,0.1221
LSTM,Stage1,43,0.1098,0.9578,0.9034,0.9298,0.0983
LSTM,Stage1,44,0.1024,0.7475,0.9936,0.8532,0.181
LSTM,Stage1,45,0.0848,0.8032,0.986,0.8853,0.1438
LSTM,Stage1,46,0.0822,0.8435,0.9911,0.9114,0.1081
LSTM,Stage1,47,0.0837,0.941,0.9593,0.9501,0.0722
LSTM,Stage1,48,0.0767,0.8706,0.989,0.926,0.0848
LSTM,Stage1,49,0.0775,0.9561,0.9419,0.949,0.0765
LSTM,Stage1,50,0.0785,0.9012,0.9818,0.9398,0.078
LSTM,Stage1,51,0.0757,0.9032,0.9886,0.944,0.0769
LSTM,Stage1,52,0.0732,0.8838,0.9898,0.9338,0.0773
LSTM,Stage1,53,0.0734,0.9189,0.9847,0.9507,0.0658
LSTM,Stage1,54,0.0776,0.9112,0.9564,0.9332,0.0826
LSTM,Stage1,55,0.0688,0.8755,0.9894,0.929,0.0839
LSTM,Stage1,56,0.0717,0.8559,0.9712,0.9099,0.1107
LSTM,Stage1,57,0.065,0.9569,0.9784,0.9675,0.0561
LSTM,Stage1,58,0.0682,0.9494,0.9695,0.9593,0.0659
LSTM,Stage1,59,0.0678,0.9548,0.9483,0.9515,0.0693
LSTM,Stage1,60,0.0738,0.8896,0.9869,0.9357,0.0791
LSTM,Stage1,61,0.0692,0.9372,0.9809,0.9586,0.0593
LSTM,Stage1,62,0.0651,0.939,0.978,0.9581,0.0591
LSTM,Stage1,63,0.0681,0.8998,0.9894,0.9425,0.0771
LSTM,Stage1,64,0.0542,0.9063,0.9924,0.9474,0.0666
LSTM,Stage1,65,0.053,0.9593,0.9797,0.9694,0.0501
LSTM,Stage1,66,0.0485,0.9618,0.9708,0.9663,0.0512
LSTM,Stage1,67,0.0478,0.8834,0.989,0.9332,0.0862
LSTM,Stage1,68,0.0521,0.931,0.9771,0.9535,0.0605
LSTM,Stage1,69,0.0478,0.9553,0.9869,0.9708,0.0454
LSTM,Stage1,70,0.0508,0.9322,0.9903,0.9603,0.0528
LSTM,Stage1,71,0.0463,0.9636,0.975,0.9693,0.0507
LSTM,Stage1,72,0.0458,0.9144,0.9869,0.9493,0.0677
LSTM,Stage1,73,0.0475,0.9271,0.9869,0.9561,0.0545
