Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3837,0.0981,0.2551,0.1268,1.3786
LSTM,Joint,2,1.3668,0.1019,0.274,0.1469,1.3632
LSTM,Joint,3,1.3544,0.1074,0.1202,0.0667,1.3428
LSTM,Joint,4,1.3463,0.0983,0.2694,0.1157,1.3489
LSTM,Joint,5,1.3164,0.1232,0.2803,0.1326,1.3182
LSTM,Joint,6,1.2279,0.1434,0.3663,0.1193,1.179
LSTM,Joint,7,1.046,0.1277,0.2868,0.1342,1.2086
LSTM,Joint,8,0.9068,0.2079,0.7851,0.3048,0.8371
LSTM,Joint,9,0.7314,0.2489,0.8043,0.3519,0.7235
LSTM,Joint,10,0.741,0.2711,0.7514,0.3678,0.7315
LSTM,Joint,11,0.5945,0.3261,0.838,0.433,0.6106
LSTM,Joint,12,0.5262,0.3287,0.8529,0.437,0.577
LSTM,Joint,13,0.4638,0.3941,0.8512,0.4852,0.5445
LSTM,Joint,14,0.4916,0.3764,0.8745,0.472,0.5459
LSTM,Joint,15,0.431,0.4133,0.8267,0.4931,0.5098
LSTM,Joint,16,0.4002,0.4267,0.8774,0.5238,0.4627
LSTM,Joint,17,0.6592,0.3187,0.8185,0.4095,0.666
LSTM,Joint,18,0.4979,0.3727,0.896,0.4748,0.5585
LSTM,Joint,19,0.4,0.4186,0.8658,0.5096,0.4902
LSTM,Joint,20,0.3804,0.3791,0.8885,0.487,0.5097
LSTM,Joint,21,0.3716,0.4125,0.9058,0.5169,0.4718
LSTM,Joint,22,0.3483,0.4436,0.8894,0.5486,0.4437
LSTM,Joint,23,0.3198,0.4884,0.8974,0.5892,0.3945
LSTM,Joint,24,0.3193,0.3766,0.9097,0.4865,0.562
LSTM,Joint,25,0.2924,0.4957,0.9186,0.6018,0.3598
LSTM,Joint,26,0.298,0.5717,0.8368,0.6119,0.3324
LSTM,Joint,27,0.2781,0.419,0.9278,0.5299,0.5157
LSTM,Joint,28,0.2648,0.4774,0.896,0.5781,0.4196
LSTM,Joint,29,0.2587,0.5538,0.8793,0.6158,0.3096
LSTM,Joint,30,0.267,0.5652,0.8771,0.6206,0.3149
LSTM,Joint,31,0.2404,0.5157,0.9289,0.6174,0.3256
LSTM,Joint,32,0.2353,0.5355,0.9102,0.6157,0.3101
LSTM,Joint,33,0.2334,0.545,0.9314,0.6426,0.307
LSTM,Joint,34,0.2275,0.4874,0.9504,0.6063,0.4068
LSTM,Joint,35,0.2123,0.5477,0.9012,0.6289,0.299
LSTM,Joint,36,0.218,0.5958,0.918,0.6889,0.2743
LSTM,Joint,37,0.2013,0.5472,0.9236,0.6555,0.2937
LSTM,Joint,38,0.2033,0.6323,0.9216,0.6989,0.2337
LSTM,Joint,39,0.2011,0.5626,0.9339,0.6652,0.2928
LSTM,Joint,40,0.1858,0.6388,0.9187,0.6943,0.2017
LSTM,Joint,41,0.1897,0.6082,0.8961,0.6713,0.2509
LSTM,Joint,42,0.1822,0.6343,0.9389,0.7142,0.1984
LSTM,Joint,43,0.1872,0.5767,0.9445,0.6865,0.3523
LSTM,Joint,44,0.1877,0.6089,0.9516,0.6998,0.1986
LSTM,Joint,45,0.1631,0.644,0.9449,0.7247,0.1936
LSTM,Joint,46,0.1923,0.595,0.9172,0.6864,0.2931
LSTM,Joint,47,0.1531,0.6622,0.9498,0.7387,0.1649
LSTM,Joint,48,0.1612,0.6529,0.9087,0.7174,0.2235
