Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,99.53,0.9962,0.9952,0.979,0.9871,99.5,0.9958,0.995,0.9773,100.0,2.5193,99.5,0.9934,100.0,1.0,-0.030000000000001137,-0.00039999999999995595,Joint,Joint
LSTM,98.61,0.9877,0.9862,0.9752,0.1742,98.56,0.9843,0.9857,0.9701,99.9,0.7819,98.59,0.9814,99.85,0.9984,-0.04999999999999716,-0.0034000000000000696,Joint,Joint
LightGBM,73.67,0.48,0.6347,0.0123,0.0638,75.08,0.3137,0.6535,0.0216,84.94,0.5354,75.21,0.4619,92.88,0.8997,1.4099999999999966,-0.1663,Cascade,Joint
MAMBA,96.36,0.9532,0.9635,0.9011,0.2451,94.56,0.8981,0.9458,0.8715,97.37,0.9161,95.17,0.9368,97.07,0.9325,-1.7999999999999972,-0.05510000000000004,Joint,Joint
MiniRocket,99.25,0.9894,0.9925,0.9758,,99.24,0.9896,0.9924,0.975,99.99,0.4903,99.24,0.99,99.99,0.9991,-0.010000000000005116,0.000200000000000089,Joint,Cascade
TRANSFORMER,98.51,0.9497,0.9854,0.9828,0.0863,99.56,0.9927,0.9955,0.9811,99.97,0.6018,99.56,0.9942,99.97,0.9983,1.0499999999999972,0.04300000000000004,Cascade,Cascade
