Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
MAMBA,Joint,10,1.3754,0.0993,0.2089,0.0977,1.3697
MAMBA,Joint,11,1.3722,0.1071,0.1865,0.1053,1.3588
MAMBA,Joint,12,1.3706,0.0982,0.2179,0.0958,1.3685
MAMBA,Joint,13,1.3669,0.0985,0.3208,0.1256,1.3775
MAMBA,Joint,14,1.3653,0.1025,0.2441,0.1181,1.3617
MAMBA,Joint,15,1.3627,0.1014,0.3169,0.1295,1.3688
MAMBA,Joint,16,1.3607,0.1012,0.3145,0.1328,1.3666
MAMBA,Joint,17,1.3593,0.0989,0.3256,0.1191,1.3831
MAMBA,Joint,18,1.3543,0.1009,0.3052,0.1282,1.3689
MAMBA,Joint,19,1.3535,0.1019,0.3025,0.124,1.3618
MAMBA,Joint,20,1.3523,0.1035,0.2798,0.1222,1.3549
MAMBA,Joint,21,1.3515,0.1015,0.3162,0.1242,1.3676
MAMBA,Joint,22,1.3511,0.1023,0.2848,0.1207,1.3597
MAMBA,Joint,23,1.3495,0.1013,0.3049,0.1176,1.363
MAMBA,Joint,24,1.3491,0.1024,0.3037,0.1203,1.3631
MAMBA,Joint,25,1.3498,0.1014,0.2951,0.1199,1.3628
MAMBA,Joint,26,1.3488,0.1008,0.3157,0.1222,1.365
MAMBA,Joint,27,1.3467,0.1002,0.3161,0.1199,1.367
MAMBA,Joint,28,1.3463,0.1015,0.3083,0.1203,1.3629
MAMBA,Joint,29,1.3458,0.1026,0.3056,0.1241,1.3586
MAMBA,Joint,30,1.3458,0.0999,0.3147,0.1181,1.3686
MAMBA,Stage1,1,0.6944,0.2525,0.1933,0.219,0.6905
MAMBA,Stage1,2,0.6934,0.2632,0.0087,0.0168,0.6871
MAMBA,Stage1,3,0.6928,0.2978,0.0443,0.0771,0.6858
MAMBA,Stage1,4,0.6923,0.2623,0.0717,0.1127,0.6856
MAMBA,Stage1,5,0.6914,0.2807,0.4293,0.3395,0.6882
MAMBA,Stage1,6,0.6892,0.2718,0.9092,0.4185,0.7088
MAMBA,Stage1,7,0.6879,0.2945,0.2164,0.2494,0.6751
MAMBA,Stage1,8,0.6862,0.2937,0.2145,0.2479,0.6705
MAMBA,Stage1,9,0.683,0.2782,0.9317,0.4284,0.7239
MAMBA,Stage1,10,0.6813,0.3015,0.4302,0.3545,0.667
MAMBA,Stage1,11,0.6791,0.3026,0.4776,0.3704,0.6693
MAMBA,Stage1,12,0.6781,0.3088,0.4024,0.3495,0.6634
MAMBA,Stage1,13,0.6754,0.3077,0.5089,0.3835,0.6623
MAMBA,Stage1,14,0.6747,0.312,0.4001,0.3506,0.657
MAMBA,Stage1,15,0.6729,0.3054,0.5169,0.3839,0.6643
MAMBA,Stage1,16,0.6724,0.3081,0.4851,0.3769,0.6606
MAMBA,Stage1,17,0.672,0.3063,0.6247,0.411,0.6648
MAMBA,Stage1,18,0.6709,0.2975,0.8245,0.4373,0.6929
MAMBA,Stage1,19,0.6705,0.3045,0.754,0.4338,0.6749
MAMBA,Stage1,20,0.6704,0.3009,0.8035,0.4378,0.6843
MAMBA,Stage1,21,0.6682,0.304,0.7598,0.4342,0.6763
MAMBA,Stage1,22,0.6673,0.3099,0.6611,0.422,0.662
MAMBA,Stage1,23,0.6672,0.3072,0.7183,0.4303,0.6682
MAMBA,Stage1,24,0.667,0.3128,0.5852,0.4077,0.6554
MAMBA,Stage1,25,0.6671,0.3191,0.3097,0.3143,0.6433
MAMBA,Stage1,26,0.6672,0.3064,0.7364,0.4327,0.671
MAMBA,Stage1,27,0.6664,0.3057,0.7537,0.435,0.6755
MAMBA,Stage1,28,0.6659,0.3073,0.6469,0.4167,0.6668
MAMBA,Stage1,29,0.6663,0.3083,0.7122,0.4304,0.6659
MAMBA,Stage1,30,0.6664,0.3092,0.7042,0.4298,0.6643
MAMBA,Stage1,31,0.6662,0.3051,0.771,0.4372,0.6765
MAMBA,Stage1,32,0.6652,0.3063,0.7515,0.4352,0.6721
MAMBA,Stage1,33,0.6648,0.3082,0.7238,0.4323,0.6668
MAMBA,Stage1,34,0.6646,0.3067,0.7468,0.4348,0.6716
MAMBA,Stage1,35,0.6647,0.3094,0.6997,0.429,0.6638
MAMBA,Stage2,1,1.1007,0.3377,0.3271,0.2396,1.0991
MAMBA,Stage2,2,1.0997,0.3339,0.3435,0.3178,1.0988
MAMBA,Stage2,3,1.0993,0.3373,0.3296,0.2004,1.0987
MAMBA,Stage2,4,1.0991,0.3357,0.3396,0.2097,1.0985
MAMBA,Stage2,5,1.099,0.3341,0.3327,0.1498,1.0984
MAMBA,Stage2,6,1.0988,0.3305,0.3432,0.2592,1.0983
MAMBA,Stage2,7,1.0988,0.335,0.3454,0.2745,1.0985
MAMBA,Stage2,8,1.0989,0.3362,0.3424,0.1963,1.0981
MAMBA,Stage2,9,1.0983,0.3415,0.3368,0.082,1.0981
MAMBA,Stage2,10,1.0985,0.34,0.3418,0.1547,1.0978
MAMBA,Stage2,11,1.0985,0.3245,0.3293,0.2047,1.0979
MAMBA,Stage2,12,1.0977,0.3391,0.3404,0.1938,1.0974
MAMBA,Stage2,13,1.0973,0.3421,0.3303,0.1112,1.0973
MAMBA,Stage2,14,1.0967,0.3329,0.3492,0.2146,1.1013
MAMBA,Stage2,15,1.0964,0.336,0.3504,0.2958,1.0996
MAMBA,Stage2,16,1.0957,0.327,0.3431,0.2471,1.0999
MAMBA,Stage2,17,1.0948,0.3399,0.3567,0.2765,1.1025
MAMBA,Stage2,18,1.0934,0.3309,0.3371,0.1785,1.0985
MAMBA,Stage2,19,1.0914,0.3288,0.3638,0.2422,1.0975
MAMBA,Stage2,20,1.09,0.3281,0.3482,0.2418,1.0979
MAMBA,Stage2,21,1.0887,0.329,0.3479,0.2475,1.0988
MAMBA,Stage2,22,1.0872,0.3314,0.3458,0.2495,1.103
MAMBA,Stage2,23,1.0858,0.332,0.3541,0.2398,1.0979
TRANSFORMER,Joint,1,1.4063,0.0984,0.2362,0.0909,1.3674
TRANSFORMER,Joint,2,1.3776,0.1006,0.2946,0.1275,1.3803
TRANSFORMER,Joint,3,1.3696,0.1044,0.2466,0.062,1.3585
TRANSFORMER,Joint,4,1.3611,0.1026,0.2714,0.1105,1.3612
TRANSFORMER,Joint,5,1.3582,0.1017,0.2895,0.1283,1.3649
TRANSFORMER,Joint,6,1.356,0.0984,0.2933,0.118,1.3679
TRANSFORMER,Joint,7,1.355,0.0995,0.2853,0.0644,1.359
TRANSFORMER,Joint,8,1.3546,0.0979,0.3073,0.1207,1.3797
TRANSFORMER,Joint,9,1.3527,0.0986,0.252,0.0815,1.3492
TRANSFORMER,Joint,10,1.3518,0.0968,0.2743,0.1349,1.3621
TRANSFORMER,Joint,11,1.3513,0.101,0.3025,0.1126,1.3653
TRANSFORMER,Joint,12,1.3494,0.0951,0.2835,0.0808,1.3701
TRANSFORMER,Joint,13,1.3508,0.0985,0.2947,0.1229,1.3674
TRANSFORMER,Joint,14,1.3496,0.1002,0.2952,0.1208,1.3741
TRANSFORMER,Joint,15,1.3471,0.1025,0.2526,0.1173,1.3543
TRANSFORMER,Joint,16,1.3409,0.1002,0.2815,0.1187,1.3622
TRANSFORMER,Joint,17,1.3403,0.0969,0.2581,0.0599,1.3541
TRANSFORMER,Joint,18,1.3371,0.1021,0.2593,0.089,1.3523
