model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,36,26,1.3269,1.3411,0.1482,0.0834,28660.0,0.218658447265625,75.036,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
LSTM,Stage1,cascade,19,9,0.6286,0.6419,0.4523,0.4424,28586.0,0.2180938720703125,39.249,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
LSTM,Stage2,cascade,34,24,1.0871,1.0919,0.345,0.1828,28623.0,0.21837615966796875,69.3752,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
MAMBA,Joint,joint,17,7,1.3461,1.3545,0.1464,0.1249,12208.0,0.0931396484375,73.514,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
MAMBA,Stage1,cascade,33,23,0.6497,0.6534,0.4503,0.4485,12014.0,0.0916595458984375,127.0436,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
MAMBA,Stage2,cascade,16,6,1.0981,1.1028,0.3294,0.2784,12111.0,0.09239959716796875,64.71,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
TRANSFORMER,Joint,joint,18,8,1.3253,1.3437,0.1479,0.1443,212996.0,1.625030517578125,24.1429,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
TRANSFORMER,Stage1,cascade,27,17,0.6408,0.6552,0.4522,0.451,212898.0,1.6242828369140625,36.4089,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
TRANSFORMER,Stage2,cascade,31,21,1.0877,1.0897,0.3171,0.2036,212947.0,1.6246566772460938,41.6042,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
CNN,Joint,joint,18,8,1.3212,1.3566,0.1471,0.0833,472708.0,3.606475830078125,140.1065,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
CNN,Stage1,cascade,15,5,0.6219,0.6509,0.4522,0.4492,472450.0,3.6045074462890625,116.8012,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
CNN,Stage2,cascade,23,13,1.0884,1.1004,0.3259,0.2167,472579.0,3.6054916381835938,176.1613,True,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
LightGBM,Joint,joint,0,-1,,,,,,0.40074634552001953,0.5448,False,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.2043323516845703,0.3933,False,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.2996711730957031,0.1816,False,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0856,,False,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0484,,False,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.067,5.3915,False,0,30min1500EvalTest_Seed0,meo/30min-1500/30min1500EvalTest_Seed0.log
