Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,39.51,0.2159,0.4307,0.0015,0.9804,70.97,0.2232,0.6248,0.0,15.37,2.5204,72.33,0.4705,16.96,0.1532,31.46,0.007300000000000001,Cascade,Cascade
LSTM,34.37,0.2054,0.4037,0.006,0.1928,58.41,0.221,0.5752,0.0034,16.8,0.8106,64.81,0.5344,24.14,0.2149,24.04,0.015600000000000003,Cascade,Cascade
LightGBM,72.46,0.2101,0.6089,0.0,0.0471,74.41,0.2133,0.6349,0.0,,0.5131,74.41,0.4266,77.41,0.2909,1.9500000000000028,0.0031999999999999806,Cascade,Cascade
MAMBA,41.48,0.2392,0.4704,0.0267,0.2534,35.76,0.2186,0.4557,0.0831,30.82,0.9443,49.58,0.4911,30.43,0.2223,-5.719999999999999,-0.020600000000000007,Joint,Joint
MiniRocket,74.41,0.2133,0.6349,0.0,,74.41,0.2133,0.6349,0.0,,0.4909,74.41,0.4266,77.26,0.2935,0.0,0.0,Tie,Tie
TRANSFORMER,33.63,0.1987,0.4322,0.0888,0.0828,43.88,0.249,0.5138,0.0444,41.78,0.735,54.08,0.5236,34.31,0.2705,10.25,0.05030000000000001,Cascade,Cascade
