model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,19,9,1.2696,1.2751,0.1652,0.1069,28660.0,0.218658447265625,18.0972,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
LSTM,Stage1,cascade,25,15,0.5922,0.6053,0.4939,0.4893,28586.0,0.2180938720703125,23.7366,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
LSTM,Stage2,cascade,12,2,1.098,1.0982,0.2909,0.1551,28623.0,0.21837615966796875,11.0886,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
MAMBA,Joint,joint,18,8,1.2853,1.2926,0.1516,0.1237,12208.0,0.0931396484375,69.4866,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
MAMBA,Stage1,cascade,26,16,0.5984,0.605,0.493,0.4914,12014.0,0.0916595458984375,100.1011,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
MAMBA,Stage2,cascade,20,10,1.094,1.0987,0.2999,0.2647,12111.0,0.09239959716796875,77.3088,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
TRANSFORMER,Joint,joint,26,16,1.266,1.2814,0.1733,0.1257,212996.0,1.625030517578125,33.6574,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
TRANSFORMER,Stage1,cascade,18,8,0.5962,0.6158,0.4939,0.4939,212898.0,1.6242828369140625,23.9079,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
TRANSFORMER,Stage2,cascade,28,18,1.0868,1.0869,0.3349,0.2576,212947.0,1.6246566772460938,36.0734,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
CNN,Joint,joint,16,6,1.2715,1.2747,0.1725,0.1173,472708.0,3.606475830078125,58.225,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
CNN,Stage1,cascade,18,8,0.5932,0.6059,0.4937,0.4897,472450.0,3.6045074462890625,66.1522,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
CNN,Stage2,cascade,14,4,1.0913,1.1069,0.3393,0.2934,472579.0,3.6054916381835938,51.2597,True,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
LightGBM,Joint,joint,0,-1,,,,,,0.3997964859008789,0.2331,False,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20282268524169922,0.1183,False,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.30033302307128906,0.1317,False,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0855,,False,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0484,,False,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0669,2.0082,False,0,10min1500EvalTest_Seed2,geo/10min-1500/10min1500EvalTest_Seed2.log
