Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,0.6925,0.7007,0.8911,0.7689,0.434
LSTM,Joint,2,0.3057,0.7139,0.9084,0.7897,0.3875
LSTM,Joint,3,0.2712,0.7603,0.9198,0.8146,0.3744
LSTM,Joint,4,0.2576,0.7695,0.9174,0.8209,0.3485
LSTM,Joint,5,0.2519,0.768,0.9182,0.8199,0.3778
LSTM,Joint,6,0.2485,0.7506,0.9419,0.8114,0.3865
LSTM,Joint,7,0.245,0.7531,0.9391,0.813,0.3763
LSTM,Joint,8,0.2399,0.7669,0.9353,0.8236,0.3571
LSTM,Joint,9,0.2363,0.7581,0.9417,0.8179,0.3809
LSTM,Joint,10,0.2357,0.7855,0.9181,0.833,0.3246
LSTM,Joint,11,0.234,0.7891,0.9158,0.8349,0.3257
LSTM,Joint,12,0.231,0.775,0.9349,0.83,0.3323
LSTM,Joint,13,0.2277,0.7786,0.9329,0.8323,0.3298
LSTM,Joint,14,0.224,0.7883,0.9249,0.8372,0.3245
LSTM,Joint,15,0.2254,0.7689,0.9364,0.8262,0.3586
LSTM,Joint,16,0.2225,0.7885,0.9269,0.838,0.3271
LSTM,Joint,17,0.2176,0.783,0.9359,0.8366,0.333
LSTM,Joint,18,0.2162,0.7804,0.9353,0.8344,0.3311
LSTM,Joint,19,0.2134,0.7973,0.9207,0.8432,0.3097
LSTM,Joint,20,0.2108,0.7853,0.9344,0.838,0.3202
LSTM,Joint,21,0.2076,0.807,0.9054,0.8448,0.2989
LSTM,Joint,22,0.2055,0.8298,0.8766,0.8451,0.3072
LSTM,Joint,23,0.2046,0.8133,0.9042,0.8473,0.2904
LSTM,Joint,24,0.2,0.7931,0.9292,0.8423,0.3179
LSTM,Joint,25,0.199,0.8064,0.9192,0.8486,0.3144
LSTM,Joint,26,0.1975,0.7965,0.915,0.8413,0.3066
LSTM,Joint,27,0.1916,0.7959,0.9266,0.8443,0.3169
LSTM,Joint,28,0.1895,0.7889,0.9243,0.8388,0.3283
LSTM,Joint,29,0.1863,0.7858,0.9195,0.8359,0.3342
LSTM,Joint,30,0.1741,0.8007,0.9098,0.8426,0.337
LSTM,Joint,31,0.1726,0.7956,0.8819,0.831,0.3407
LSTM,Joint,32,0.1651,0.8008,0.9188,0.8452,0.3287
LSTM,Joint,33,0.1605,0.7886,0.9003,0.8324,0.341
LSTM,Stage1,1,0.4721,0.5702,0.8864,0.694,0.3914
LSTM,Stage1,2,0.2516,0.6725,0.9201,0.7771,0.2733
LSTM,Stage1,3,0.2178,0.79,0.8163,0.8029,0.2243
LSTM,Stage1,4,0.212,0.7098,0.8932,0.791,0.2465
LSTM,Stage1,5,0.2042,0.7973,0.8402,0.8182,0.2138
LSTM,Stage1,6,0.1999,0.7626,0.8757,0.8153,0.2168
LSTM,Stage1,7,0.1933,0.7441,0.9018,0.8154,0.2242
LSTM,Stage1,8,0.1868,0.6991,0.9509,0.8058,0.2225
LSTM,Stage1,9,0.1818,0.7728,0.8864,0.8257,0.2006
LSTM,Stage1,10,0.1779,0.8122,0.859,0.835,0.182
LSTM,Stage1,11,0.1729,0.6841,0.9697,0.8023,0.2089
LSTM,Stage1,12,0.1688,0.719,0.9487,0.818,0.202
LSTM,Stage1,13,0.1654,0.7068,0.962,0.8149,0.207
LSTM,Stage1,14,0.1617,0.7714,0.9141,0.8368,0.1777
LSTM,Stage1,15,0.1571,0.7491,0.927,0.8286,0.1805
LSTM,Stage1,16,0.1535,0.7286,0.9509,0.8251,0.1917
LSTM,Stage1,17,0.1491,0.8058,0.8736,0.8383,0.1836
LSTM,Stage1,18,0.1514,0.6885,0.9812,0.8092,0.2061
LSTM,Stage1,19,0.141,0.7649,0.9381,0.8427,0.1711
LSTM,Stage1,20,0.1361,0.7829,0.9304,0.8503,0.1726
LSTM,Stage1,21,0.1431,0.7274,0.9586,0.8271,0.1881
LSTM,Stage1,22,0.1362,0.7842,0.9158,0.8449,0.1787
LSTM,Stage1,23,0.1303,0.7775,0.921,0.8432,0.1792
LSTM,Stage1,24,0.1286,0.8062,0.915,0.8571,0.1674
