Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.1564,42.22
LSTM,2,1.0209,50.89
LSTM,3,0.9242,55.11
LSTM,4,0.8848,60.44
LSTM,5,0.8589,61.44
LSTM,6,0.852,57.89
LSTM,7,0.7641,63.33
LSTM,8,0.7538,66.67
LSTM,9,0.7166,65.33
LSTM,10,0.7658,64.11
LSTM,11,0.6986,66.67
LSTM,12,0.7499,65.78
LSTM,13,0.7216,63.44
LSTM,14,0.7046,66.44
LSTM,15,0.6815,67.22
LSTM,16,0.6593,69.56
LSTM,17,0.6364,69.56
LSTM,18,0.5576,75.67
LSTM,19,0.6477,71.67
LSTM,20,0.5776,76.33
LSTM,21,0.5509,77.44
LSTM,22,0.5475,72.89
LSTM,23,0.4766,79.67
LSTM,24,0.4728,80.11
LSTM,25,0.4734,80.33
LSTM,26,0.43,83.89
LSTM,27,0.4249,81.33
LSTM,28,0.4405,81.67
LSTM,29,0.3481,86.22
LSTM,30,0.4163,82.67
LSTM,31,0.3731,84.78
LSTM,32,0.3618,85.22
LSTM,33,0.3546,86.0
LSTM,34,0.3302,85.33
LSTM,35,0.4127,82.11
LSTM,36,0.3018,88.0
LSTM,37,0.2826,90.44
LSTM,38,0.2987,87.89
LSTM,39,0.2706,88.33
LSTM,40,0.2682,88.56
LSTM,41,0.2559,90.22
LSTM,42,0.3403,87.56
LSTM,43,0.2407,90.89
LSTM,44,0.2392,91.67
LSTM,45,0.2408,90.56
LSTM,46,0.2385,91.22
LSTM,47,0.192,93.11
LSTM,48,0.1872,93.78
LSTM,49,0.2337,90.44
LSTM,50,0.2639,89.33
LSTM,51,0.2171,91.67
LSTM,52,0.21,91.56
LSTM,53,0.2703,89.0
LSTM,54,0.2186,92.11
LSTM,55,0.1751,93.67
LSTM,56,0.159,94.33
LSTM,57,0.1534,94.56
LSTM,58,0.151,94.44
LSTM,59,0.237,91.56
LSTM,60,0.1645,94.33
LSTM,61,0.1852,93.0
LSTM,62,0.1545,95.11
LSTM,63,0.1434,95.44
LSTM,64,0.1723,94.33
LSTM,65,0.1632,94.11
LSTM,66,0.1496,94.67
LSTM,67,0.1653,94.89
LSTM,68,0.1263,96.0
LSTM,69,0.2117,93.11
LSTM,70,0.1657,94.44
LSTM,71,0.1602,93.78
LSTM,72,0.1717,93.67
LSTM,73,0.1305,96.11
LSTM,74,0.1948,92.56
LSTM,75,0.1084,97.0
LSTM,76,0.0986,96.33
LSTM,77,0.1184,96.0
LSTM,78,0.152,94.89
LSTM,79,0.1035,96.22
LSTM,80,0.1302,96.0
LSTM,81,0.1191,96.56
LSTM,82,0.1283,95.67
LSTM,83,0.0885,97.33
LSTM,84,0.1027,96.78
LSTM,85,0.0942,97.0
LSTM,86,0.102,96.67
LSTM,87,0.089,97.33
LSTM,88,0.1023,97.44
LSTM,89,0.0938,97.11
LSTM,90,0.0778,97.44
LSTM,91,0.0851,97.22
LSTM,92,0.0887,97.56
LSTM,93,0.0795,97.56
LSTM,94,0.0833,97.78
LSTM,95,0.0929,97.56
LSTM,96,0.0889,97.44
LSTM,97,0.0894,97.67
LSTM,98,0.0822,97.67
LSTM,99,0.0841,97.89
LSTM,100,0.0856,97.44
Mamba,1,1.3713,29.33
Mamba,2,1.0381,48.89
Mamba,3,0.9177,55.67
Mamba,4,0.9272,55.78
Mamba,5,0.9406,54.22
Mamba,6,0.8853,55.56
Mamba,7,0.841,58.11
Mamba,8,0.8279,60.11
Mamba,9,0.816,59.67
Mamba,10,0.8098,62.33
Mamba,11,0.777,64.33
Mamba,12,0.7794,62.78
Mamba,13,0.7838,63.0
Mamba,14,0.7473,63.11
Mamba,15,0.7453,63.33
Mamba,16,0.7164,67.0
Mamba,17,0.7179,66.56
Mamba,18,0.7297,64.56
Mamba,19,0.733,64.78
Mamba,20,0.7203,65.22
Mamba,21,0.7238,65.67
Mamba,22,0.7714,63.33
Mamba,23,0.6719,69.22
Mamba,24,0.6802,70.44
Mamba,25,0.7164,65.78
Mamba,26,0.6674,70.11
Mamba,27,0.672,68.11
Mamba,28,0.6915,68.22
Mamba,29,0.6657,69.67
Mamba,30,0.6254,72.22
