model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,100,98,0.0512,0.1817,0.9363,0.9087,50500.0,0.385284423828125,698.5144,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LSTM,Stage1,cascade,34,24,0.5002,0.5165,0.5168,0.5161,50402.0,0.3845367431640625,237.4366,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LSTM,Stage2,cascade,49,39,0.0043,0.0052,0.9904,0.9904,50451.0,0.38491058349609375,343.6735,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Joint,joint,57,47,0.5899,0.5989,0.5516,0.5516,17044.0,0.130035400390625,305.3353,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Stage1,cascade,41,31,0.5694,0.577,0.4734,0.4723,16786.0,0.1280670166015625,219.2414,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MAMBA,Stage2,cascade,43,33,0.2604,0.3688,0.7735,0.7604,16915.0,0.12905120849609375,229.369,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Joint,joint,75,65,0.0545,0.055,0.6938,0.6905,288196.0,2.198760986328125,165.0502,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Stage1,cascade,100,99,0.0797,0.0813,0.9136,0.91,288066.0,2.1977691650390625,218.0902,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
TRANSFORMER,Stage2,cascade,82,71,0.0001,0.0002,1.0,1.0,288131.0,2.1982650756835938,178.8048,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Joint,joint,54,44,0.0356,0.043,0.9574,0.9505,473092.0,3.609405517578125,611.6593,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Stage1,cascade,42,32,0.0433,0.0469,0.9382,0.9364,472834.0,3.6074371337890625,475.9575,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
CNN,Stage2,cascade,40,29,0.002,0.0024,0.9992,0.9992,472963.0,3.6084213256835938,440.7193,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Joint,joint,0,-1,,,,,,0.40502166748046875,2.679,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.2070913314819336,1.7423,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.3040952682495117,0.7075,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0857,,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0485,,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0671,19.1997,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed2,leo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed2.log
