model,macro_f1,min_thrust_class_recall,inference_time_s,cells_won,of_cells
MiniRocket,0.5450955555555556,0.3335696296296296,0.49769851851851854,14,45
CNN,0.5112548148148148,0.37754,2.073407407407408,11,45
LSTM,0.4682511111111111,0.3487281481481481,0.9433096296296296,4,45
MAMBA,0.4567259259259259,0.34677925925925923,1.0342933333333335,2,45
TRANSFORMER,0.44928370370370374,0.32979925925925924,0.6657696296296296,12,45
LightGBM,0.3902251851851852,0.13381555555555558,0.5518925925925926,2,45
