Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.2374,0.2274,0.6692,0.313,0.9902
LSTM,Joint,2,0.7782,0.2866,0.8139,0.3853,0.7022
LSTM,Joint,3,0.6372,0.2336,0.7207,0.3137,0.8663
LSTM,Joint,4,0.6034,0.3419,0.8782,0.4501,0.4912
LSTM,Joint,5,0.4431,0.4167,0.8902,0.5269,0.3941
LSTM,Joint,6,0.5158,0.3417,0.9103,0.4553,0.4688
LSTM,Joint,7,0.3601,0.4817,0.9251,0.5913,0.3022
LSTM,Joint,8,0.2542,0.4853,0.9552,0.6033,0.2599
LSTM,Joint,9,0.2266,0.5428,0.9418,0.6467,0.2161
LSTM,Joint,10,0.2659,0.4334,0.9595,0.5551,0.3299
LSTM,Joint,11,0.2466,0.5178,0.8947,0.5932,0.2975
LSTM,Joint,12,0.2491,0.4163,0.9287,0.5353,0.3366
LSTM,Joint,13,0.1933,0.5442,0.969,0.6562,0.1933
LSTM,Joint,14,0.1953,0.5491,0.949,0.6469,0.1901
LSTM,Joint,15,0.1482,0.6045,0.9713,0.7032,0.1456
LSTM,Joint,16,0.1186,0.6352,0.9726,0.7274,0.1276
LSTM,Joint,17,0.106,0.6517,0.9688,0.7395,0.1244
LSTM,Joint,18,0.1037,0.6199,0.981,0.7264,0.1457
LSTM,Joint,19,0.1219,0.6544,0.9788,0.7419,0.1193
LSTM,Joint,20,0.1168,0.4848,0.8676,0.5413,0.3554
LSTM,Joint,21,0.1124,0.6225,0.9719,0.7107,0.1245
LSTM,Joint,22,0.1014,0.7056,0.9642,0.7701,0.0944
LSTM,Joint,23,0.1006,0.6582,0.9794,0.7464,0.096
LSTM,Joint,24,0.0877,0.6801,0.978,0.7615,0.0939
LSTM,Joint,25,0.0904,0.7001,0.9836,0.7836,0.091
LSTM,Joint,26,0.0973,0.7115,0.9551,0.7664,0.0993
LSTM,Joint,27,0.0842,0.538,0.9362,0.6377,0.2331
LSTM,Joint,28,0.1153,0.7395,0.9796,0.8116,0.0787
LSTM,Joint,29,0.0687,0.7435,0.9877,0.8233,0.067
LSTM,Joint,30,0.0572,0.7891,0.9865,0.8583,0.054
LSTM,Joint,31,0.0775,0.7602,0.9861,0.8387,0.0711
LSTM,Joint,32,0.0774,0.7949,0.9732,0.8545,0.0661
LSTM,Joint,33,0.0462,0.78,0.9925,0.8576,0.0546
LSTM,Joint,34,0.0417,0.8242,0.9862,0.886,0.0448
LSTM,Joint,35,0.041,0.8568,0.9901,0.9112,0.0473
LSTM,Joint,36,0.054,0.6355,0.9491,0.6956,0.1835
LSTM,Joint,37,0.0722,0.8323,0.9844,0.8933,0.0598
LSTM,Joint,38,0.0425,0.8401,0.985,0.8976,0.0488
LSTM,Joint,39,0.0351,0.9077,0.9843,0.9411,0.0414
LSTM,Joint,40,0.0322,0.8902,0.9849,0.9315,0.0474
LSTM,Joint,41,0.0556,0.7157,0.9425,0.7781,0.1294
LSTM,Joint,42,0.0555,0.8065,0.9939,0.8882,0.1514
LSTM,Joint,43,0.0442,0.7138,0.9821,0.8085,0.0933
LSTM,Joint,44,0.0386,0.8321,0.9908,0.8921,0.0363
LSTM,Joint,45,0.0301,0.8906,0.9928,0.937,0.0402
LSTM,Joint,46,0.0624,0.9216,0.9898,0.9524,0.0317
