Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,94.85,0.9592,0.949,0.8928,0.9819,95.2,0.9612,0.952,0.8771,100.0,2.4775,95.2,0.9369,100.0,1.0,0.3500000000000085,0.0020000000000000018,Cascade,Cascade
LSTM,92.69,0.943,0.9281,0.8629,0.1942,92.9,0.9456,0.9308,0.8919,100.0,0.7953,92.9,0.91,100.0,1.0,0.21000000000000796,0.0026000000000000467,Cascade,Cascade
LightGBM,88.55,0.7814,0.8746,0.5359,0.053,88.57,0.748,0.8717,0.3822,96.25,0.5038,89.14,0.8355,97.59,0.8228,0.01999999999999602,-0.033399999999999985,Cascade,Joint
MAMBA,89.96,0.9235,0.9031,0.8534,0.2347,90.26,0.9251,0.9053,0.8367,99.92,0.8664,90.27,0.8774,99.93,0.9992,0.30000000000001137,0.0016000000000000458,Cascade,Cascade
MiniRocket,88.32,0.7189,0.8725,0.2844,,88.29,0.736,0.8731,0.4178,94.68,0.4731,89.17,0.8425,96.54,0.7853,-0.029999999999986926,0.017100000000000004,Joint,Cascade
TRANSFORMER,91.34,0.9355,0.9166,0.8964,0.0929,92.94,0.9448,0.9305,0.8652,100.0,0.59,92.94,0.9094,100.0,1.0,1.5999999999999943,0.009299999999999975,Cascade,Cascade
