Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,99.51,0.9958,0.9951,0.9736,0.3109,99.42,0.9951,0.9942,0.9808,100.0,1.0153,99.42,0.9925,100.0,1.0,-0.09000000000000341,-0.0007000000000000339,Joint,Joint
LSTM,99.51,0.9958,0.9951,0.9736,0.098,99.51,0.9958,0.9951,0.9736,100.0,0.6703,99.51,0.9936,100.0,1.0,0.0,0.0,Tie,Tie
LightGBM,99.44,0.9922,0.9944,0.9744,0.0176,90.38,0.8251,0.8958,0.6151,99.93,0.4513,90.39,0.8567,99.93,0.9983,-9.060000000000002,-0.16710000000000003,Joint,Joint
MAMBA,99.31,0.9905,0.9931,0.9724,0.2158,99.4,0.9905,0.994,0.9706,99.65,0.8046,99.49,0.9933,99.66,0.9931,0.09000000000000341,0.0,Cascade,Tie
MiniRocket,99.42,0.9951,0.9942,0.9688,,99.43,0.9952,0.9943,0.9694,100.0,0.441,99.43,0.9926,100.0,1.0,0.010000000000005116,9.999999999998899e-05,Cascade,Cascade
TRANSFORMER,99.51,0.9958,0.9951,0.9736,0.0706,99.51,0.9958,0.9951,0.9736,100.0,0.5379,99.51,0.9936,100.0,1.0,0.0,0.0,Tie,Tie
