Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
CNN,29.95,0.1581,0.3759,0.0093,1.095,74.1,0.2211,0.6424,0.0,19.87,2.7218,74.51,0.4459,15.69,0.1213,44.14999999999999,0.063,Cascade,Cascade
LSTM,38.88,0.2095,0.4694,0.0044,0.4939,39.2,0.1709,0.4783,0.0,1.9,1.3315,55.05,0.526,2.0,0.0339,0.3200000000000003,-0.038599999999999995,Cascade,Joint
LightGBM,74.3,0.2131,0.6335,0.0,0.16,75.12,0.2145,0.6445,0.0,,0.6746,75.12,0.429,79.14,0.2945,0.8200000000000074,0.0013999999999999846,Cascade,Cascade
MAMBA,35.55,0.2175,0.4476,0.1733,0.3796,50.8,0.2409,0.5646,0.1253,26.78,1.1588,59.67,0.5389,24.53,0.202,15.25,0.023400000000000004,Cascade,Cascade
MiniRocket,75.12,0.2145,0.6445,0.0,,75.12,0.2145,0.6445,0.0,,0.5312,75.12,0.429,79.08,0.2978,0.0,0.0,Tie,Tie
TRANSFORMER,37.39,0.2043,0.4611,0.0813,0.1884,64.62,0.2419,0.6197,0.0417,27.96,0.8144,68.51,0.5279,25.93,0.2137,27.230000000000004,0.037599999999999995,Cascade,Cascade
