model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,14,4,1.2806,1.2902,0.1534,0.1534,28660.0,0.218658447265625,13.0534,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
LSTM,Stage1,cascade,15,5,0.5983,0.6001,0.4924,0.489,28586.0,0.2180938720703125,14.0267,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
LSTM,Stage2,cascade,12,2,1.0983,1.0987,0.3249,0.2342,28623.0,0.21837615966796875,11.0824,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
MAMBA,Joint,joint,31,21,1.2806,1.2925,0.1447,0.1304,12208.0,0.0931396484375,110.7457,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
MAMBA,Stage1,cascade,25,15,0.5995,0.6121,0.4919,0.4901,12014.0,0.0916595458984375,86.6143,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
MAMBA,Stage2,cascade,17,7,1.095,1.1028,0.3372,0.2409,12111.0,0.09239959716796875,62.6103,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
TRANSFORMER,Joint,joint,20,10,1.266,1.2844,0.161,0.1324,212996.0,1.625030517578125,26.1501,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
TRANSFORMER,Stage1,cascade,18,8,0.5921,0.6115,0.4919,0.4898,212898.0,1.6242828369140625,23.3168,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
TRANSFORMER,Stage2,cascade,34,24,1.0996,1.1049,0.3145,0.2504,212947.0,1.6246566772460938,43.9707,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
CNN,Joint,joint,17,7,1.2715,1.2851,0.1596,0.1207,472708.0,3.606475830078125,61.8793,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
CNN,Stage1,cascade,15,5,0.5893,0.6086,0.492,0.492,472450.0,3.6045074462890625,53.714,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
CNN,Stage2,cascade,24,14,1.0982,1.1091,0.3263,0.1938,472579.0,3.6054916381835938,86.6664,True,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
LightGBM,Joint,joint,0,-1,,,,,,0.40032005310058594,0.2019,False,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.202911376953125,0.1426,False,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.30036354064941406,0.1025,False,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0856,,False,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0484,,False,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.067,2.5686,False,0,10min1500EvalTest_Seed0,geo/10min-1500/10min1500EvalTest_Seed0.log
