model,max_val_accuracy,final_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
Decision Trees (LightGBM),88.78,88.78,1,1,0.4081,,0.4558858871459961,4.7183,False,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,0.7192,0.9333,0.8124,0.9956,0.9956,0.9956,1.0,0.9867,0.9933,0.8882,0.6356,0.7409,0.9007,0.8878,0.8855,0.9007,0.8878,0.8855,210.0,0.0,0.0,0.0,224.0,0.0,0.0,1.0,222.0,82.0,0.0,0.0
MiniRocket,100.0,100.0,1,1,,9996.0,0.5941,32.0768,False,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
LSTM,77.89,75.56,18,29,0.3539,94780.0,0.723114013671875,246.5753,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,0.5211,0.3289,0.4033,0.9956,1.0,0.9978,1.0,0.9956,0.9978,0.5097,0.6978,0.5891,0.7566,0.7556,0.747,0.7566,0.7556,0.747,74.0,0.0,0.0,0.0,225.0,0.0,0.0,1.0,224.0,68.0,0.0,0.0
Mamba,99.44,99.44,33,33,0.0258,25018.0,0.1908721923828125,222.5811,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,1.0,1.0,0.9783,1.0,0.989,1.0,0.9778,0.9888,1.0,1.0,1.0,0.9946,0.9944,0.9944,0.9946,0.9944,0.9944,225.0,0.0,0.0,0.0,225.0,0.0,0.0,5.0,220.0,0.0,0.0,0.0
Transformer,100.0,100.0,20,20,0.0,405132.0,3.090911865234375,45.1565,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0
1D-CNN (InceptionTime),99.33,99.33,3,25,0.0322,473668.0,3.613800048828125,268.565,True,0,100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1.0,1.0,1.0,0.9782,0.9956,0.9868,1.0,0.9822,0.991,0.9956,0.9956,0.9956,0.9934,0.9933,0.9933,0.9934,0.9933,0.9933,225.0,0.0,0.0,0.0,224.0,0.0,0.0,4.0,221.0,0.0,1.0,0.0
